['edjohnson8890', 202584052, 'impression', '1', 241355258L, datetime.datetime(2013, 5, 27, 0, 18, 15), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241353645L, datetime.datetime(2013, 5, 27, 0, 18, 15), 0.00423570383291925, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241353724L, datetime.datetime(2013, 5, 27, 0, 18, 15), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241353430L, datetime.datetime(2013, 5, 27, 0, 18, 15), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '6', 241353406L, datetime.datetime(2013, 5, 27, 0, 18, 15), 0.00377693493686432, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241353639L, datetime.datetime(2013, 5, 27, 0, 18, 15), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'view_full_application_via_name', '3', 241353645L, datetime.datetime(2013, 5, 27, 0, 18, 18), 0.00423570383291925, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241353724L, datetime.datetime(2013, 5, 27, 0, 18, 33), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241353645L, datetime.datetime(2013, 5, 27, 0, 18, 33), 0.00423570383291925, False, 'time']
['edjohnson8890', 202584052, 'impression', '6', 241353406L, datetime.datetime(2013, 5, 27, 0, 18, 33), 0.00377693493686432, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241353430L, datetime.datetime(2013, 5, 27, 0, 18, 33), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241355258L, datetime.datetime(2013, 5, 27, 0, 18, 33), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241353639L, datetime.datetime(2013, 5, 27, 0, 18, 33), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'view_full_application_via_name', '2', 241353724L, datetime.datetime(2013, 5, 27, 0, 18, 37), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241355258L, datetime.datetime(2013, 5, 27, 0, 18, 58), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241353645L, datetime.datetime(2013, 5, 27, 0, 18, 58), 0.00423570383291925, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241353639L, datetime.datetime(2013, 5, 27, 0, 18, 58), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241353724L, datetime.datetime(2013, 5, 27, 0, 18, 58), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'impression', '6', 241353406L, datetime.datetime(2013, 5, 27, 0, 18, 58), 0.00377693493686432, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241353430L, datetime.datetime(2013, 5, 27, 0, 18, 58), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'view_full_application_via_name', '1', 241355258L, datetime.datetime(2013, 5, 27, 0, 19, 1), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241353645L, datetime.datetime(2013, 5, 27, 0, 19, 23), 0.00423570383291925, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241355258L, datetime.datetime(2013, 5, 27, 0, 19, 23), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241353639L, datetime.datetime(2013, 5, 27, 0, 19, 23), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241353430L, datetime.datetime(2013, 5, 27, 0, 19, 23), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '6', 241353406L, datetime.datetime(2013, 5, 27, 0, 19, 23), 0.00377693493686432, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241353724L, datetime.datetime(2013, 5, 27, 0, 19, 23), 0.050204100010276, False, 'time']

['edjohnson8890', 202584052, 'impression', '7', 241353406L, datetime.datetime(2013, 5, 27, 6, 51, 4), 0.00377693493686432, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241353430L, datetime.datetime(2013, 5, 27, 6, 51, 4), 0.0220063131425534, False, 'time']
