['jeremyessen', 202571051, 'impression', '1', 241121182L, datetime.datetime(2013, 5, 24, 5, 58, 40), 0.101277382598177, False, 'time']
['jeremyessen', 202571051, 'view_full_application_via_message', '5', 241065888L, datetime.datetime(2013, 5, 24, 5, 59, 4), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '1', 241121182L, datetime.datetime(2013, 5, 24, 5, 59, 29), 0.101277382598177, False, 'time']
['jeremyessen', 202571051, 'impression', '3', 241066878L, datetime.datetime(2013, 5, 24, 5, 59, 29), 0.147132368140932, False, 'time']
['jeremyessen', 202571051, 'impression', '5', 241065888L, datetime.datetime(2013, 5, 24, 5, 59, 29), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '2', 241095810L, datetime.datetime(2013, 5, 24, 5, 59, 29), 0.283069386854751, True, 'time']
['jeremyessen', 202571051, 'impression', '4', 241065915L, datetime.datetime(2013, 5, 24, 5, 59, 29), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'expand_tile', '2', 241095810L, datetime.datetime(2013, 5, 24, 5, 59, 35), 0.283069386854751, True, 'time']
['jeremyessen', 202571051, 'view_full_application', '2', 241095810L, datetime.datetime(2013, 5, 24, 5, 59, 39), 0.283069386854751, True, 'time']
['jeremyessen', 202571051, 'impression', '3', 241066878L, datetime.datetime(2013, 5, 24, 6, 5, 11), 0.147132368140932, False, 'time']
['jeremyessen', 202571051, 'impression', '1', 241121182L, datetime.datetime(2013, 5, 24, 6, 5, 11), 0.101277382598177, False, 'time']
['jeremyessen', 202571051, 'impression', '5', 241065888L, datetime.datetime(2013, 5, 24, 6, 5, 11), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '2', 241095810L, datetime.datetime(2013, 5, 24, 6, 5, 11), 0.283069386854751, True, 'time']
['jeremyessen', 202571051, 'impression', '4', 241065915L, datetime.datetime(2013, 5, 24, 6, 5, 11), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'expand_tile', '1', 241121182L, datetime.datetime(2013, 5, 24, 6, 5, 13), 0.101277382598177, False, 'time']
['jeremyessen', 202571051, 'view_full_application', '1', 241121182L, datetime.datetime(2013, 5, 24, 6, 5, 59), 0.101277382598177, False, 'time']
['jeremyessen', 202571051, 'impression', '1', 241121182L, datetime.datetime(2013, 5, 24, 6, 9, 48), 0.101277382598177, False, 'time']
['jeremyessen', 202571051, 'impression', '5', 241065888L, datetime.datetime(2013, 5, 24, 6, 9, 48), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '3', 241066878L, datetime.datetime(2013, 5, 24, 6, 9, 48), 0.147132368140932, False, 'time']
