['henk-mastenbroek', 202589005, 'impression', '7', 241478136L, datetime.datetime(2013, 5, 28, 12, 34, 17), 0.0626981667641237, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '4', 241478108L, datetime.datetime(2013, 5, 28, 12, 34, 17), 0.141446207610995, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '6', 241468049L, datetime.datetime(2013, 5, 28, 12, 34, 17), 0.120915031253176, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '2', 241467144L, datetime.datetime(2013, 5, 28, 12, 34, 17), 0.251609201764794, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '5', 241467753L, datetime.datetime(2013, 5, 28, 12, 34, 33), 0.127656028209588, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '4', 241468049L, datetime.datetime(2013, 5, 28, 12, 34, 33), 0.120915031253176, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '2', 241478108L, datetime.datetime(2013, 5, 28, 12, 34, 33), 0.141446207610995, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '6', 241467144L, datetime.datetime(2013, 5, 28, 12, 34, 33), 0.251609201764794, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '1', 241478136L, datetime.datetime(2013, 5, 28, 12, 34, 33), 0.0626981667641237, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '7', 241466972L, datetime.datetime(2013, 5, 28, 12, 34, 33), 0.18889953169328, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '3', 241474600L, datetime.datetime(2013, 5, 28, 12, 34, 33), 0.292207145240406, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '8', 241466859L, datetime.datetime(2013, 5, 28, 12, 34, 33), 0.0319789874310168, False, 'time']
['henk-mastenbroek', 202589005, 'view_full_application_via_name', '1', 241478136L, datetime.datetime(2013, 5, 28, 12, 35, 27), 0.0626981667641237, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '6', 241467144L, datetime.datetime(2013, 5, 28, 12, 44, 1), 0.251609201764794, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '2', 241478108L, datetime.datetime(2013, 5, 28, 12, 44, 1), 0.141446207610995, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '4', 241468049L, datetime.datetime(2013, 5, 28, 12, 44, 1), 0.120915031253176, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '5', 241467753L, datetime.datetime(2013, 5, 28, 12, 44, 1), 0.127656028209588, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '7', 241466972L, datetime.datetime(2013, 5, 28, 12, 44, 1), 0.18889953169328, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '8', 241466859L, datetime.datetime(2013, 5, 28, 12, 44, 1), 0.0319789874310168, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '3', 241474600L, datetime.datetime(2013, 5, 28, 12, 44, 1), 0.292207145240406, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '1', 241478136L, datetime.datetime(2013, 5, 28, 12, 44, 1), 0.0626981667641237, False, 'time']
['henk-mastenbroek', 202589005, 'view_full_application_via_name', '1', 241478136L, datetime.datetime(2013, 5, 28, 12, 44, 3), 0.0626981667641237, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '8', 241466859L, datetime.datetime(2013, 5, 28, 12, 54, 27), 0.0319789874310168, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '1', 241474600L, datetime.datetime(2013, 5, 28, 12, 54, 27), 0.292207145240406, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '2', 241467144L, datetime.datetime(2013, 5, 28, 12, 54, 27), 0.251609201764794, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '3', 241466972L, datetime.datetime(2013, 5, 28, 12, 54, 27), 0.18889953169328, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '7', 241478136L, datetime.datetime(2013, 5, 28, 12, 54, 27), 0.0626981667641237, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '4', 241478108L, datetime.datetime(2013, 5, 28, 12, 54, 27), 0.141446207610995, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '6', 241468049L, datetime.datetime(2013, 5, 28, 12, 54, 27), 0.120915031253176, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '5', 241467753L, datetime.datetime(2013, 5, 28, 12, 54, 27), 0.127656028209588, False, 'best']

['henk-mastenbroek', 202589005, 'impression', '8', 241466859L, datetime.datetime(2013, 5, 28, 15, 0, 17), 0.0319789874310168, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '1', 241474600L, datetime.datetime(2013, 5, 28, 15, 0, 17), 0.292207145240406, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '5', 241467753L, datetime.datetime(2013, 5, 28, 15, 0, 17), 0.127656028209588, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '7', 241478136L, datetime.datetime(2013, 5, 28, 15, 0, 17), 0.0626981667641237, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '3', 241466972L, datetime.datetime(2013, 5, 28, 15, 0, 17), 0.18889953169328, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '4', 241478108L, datetime.datetime(2013, 5, 28, 15, 0, 17), 0.141446207610995, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '6', 241468049L, datetime.datetime(2013, 5, 28, 15, 0, 17), 0.120915031253176, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '2', 241467144L, datetime.datetime(2013, 5, 28, 15, 0, 17), 0.251609201764794, False, 'best']
['henk-mastenbroek', 202589005, 'expand_tile', '1', 241474600L, datetime.datetime(2013, 5, 28, 15, 0, 31), 0.292207145240406, False, 'best']
['henk-mastenbroek', 202589005, 'view_full_application', '1', 241474600L, datetime.datetime(2013, 5, 28, 15, 0, 33), 0.292207145240406, False, 'best']
['henk-mastenbroek', 202589005, 'view_full_application', '1', 241474600L, datetime.datetime(2013, 5, 28, 15, 0, 38), 0.292207145240406, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '2', 241467144L, datetime.datetime(2013, 5, 28, 15, 12, 18), 0.251609201764794, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '6', 241468049L, datetime.datetime(2013, 5, 28, 15, 12, 18), 0.120915031253176, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '4', 241478108L, datetime.datetime(2013, 5, 28, 15, 12, 18), 0.141446207610995, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '5', 241467753L, datetime.datetime(2013, 5, 28, 15, 12, 18), 0.127656028209588, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '8', 241466859L, datetime.datetime(2013, 5, 28, 15, 12, 18), 0.0319789874310168, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '1', 241474600L, datetime.datetime(2013, 5, 28, 15, 12, 18), 0.292207145240406, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '3', 241466972L, datetime.datetime(2013, 5, 28, 15, 12, 18), 0.18889953169328, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '7', 241478136L, datetime.datetime(2013, 5, 28, 15, 12, 18), 0.0626981667641237, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '7', 241478136L, datetime.datetime(2013, 5, 28, 15, 13, 2), 0.0626981667641237, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '8', 241466859L, datetime.datetime(2013, 5, 28, 15, 13, 2), 0.0319789874310168, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '1', 241474600L, datetime.datetime(2013, 5, 28, 15, 13, 2), 0.292207145240406, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '2', 241467144L, datetime.datetime(2013, 5, 28, 15, 13, 2), 0.251609201764794, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '3', 241466972L, datetime.datetime(2013, 5, 28, 15, 13, 2), 0.18889953169328, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '5', 241467753L, datetime.datetime(2013, 5, 28, 15, 13, 2), 0.127656028209588, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '4', 241478108L, datetime.datetime(2013, 5, 28, 15, 13, 2), 0.141446207610995, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '6', 241468049L, datetime.datetime(2013, 5, 28, 15, 13, 2), 0.120915031253176, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '2', 241467144L, datetime.datetime(2013, 5, 28, 15, 13, 36), 0.251609201764794, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '7', 241478136L, datetime.datetime(2013, 5, 28, 15, 13, 36), 0.0626981667641237, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '5', 241467753L, datetime.datetime(2013, 5, 28, 15, 13, 36), 0.127656028209588, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '8', 241466859L, datetime.datetime(2013, 5, 28, 15, 13, 36), 0.0319789874310168, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '1', 241474600L, datetime.datetime(2013, 5, 28, 15, 13, 36), 0.292207145240406, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '4', 241478108L, datetime.datetime(2013, 5, 28, 15, 13, 36), 0.141446207610995, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '6', 241468049L, datetime.datetime(2013, 5, 28, 15, 13, 36), 0.120915031253176, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '3', 241466972L, datetime.datetime(2013, 5, 28, 15, 13, 36), 0.18889953169328, False, 'best']
['henk-mastenbroek', 202589005, 'expand_tile', '1', 241474600L, datetime.datetime(2013, 5, 28, 15, 13, 45), 0.292207145240406, False, 'best']
['henk-mastenbroek', 202589005, 'view_full_application', '1', 241474600L, datetime.datetime(2013, 5, 28, 15, 14, 19), 0.292207145240406, False, 'best']

['henk-mastenbroek', 202589005, 'impression', '6', 241468049L, datetime.datetime(2013, 5, 28, 17, 16, 33), 0.120915031253176, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '4', 241478108L, datetime.datetime(2013, 5, 28, 17, 16, 33), 0.141446207610995, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '2', 241467144L, datetime.datetime(2013, 5, 28, 17, 16, 33), 0.251609201764794, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '3', 241466972L, datetime.datetime(2013, 5, 28, 17, 16, 33), 0.18889953169328, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '7', 241478136L, datetime.datetime(2013, 5, 28, 17, 16, 33), 0.0626981667641237, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '5', 241467753L, datetime.datetime(2013, 5, 28, 17, 16, 33), 0.127656028209588, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '1', 241474600L, datetime.datetime(2013, 5, 28, 17, 16, 33), 0.292207145240406, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '8', 241466859L, datetime.datetime(2013, 5, 28, 17, 16, 33), 0.0319789874310168, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '7', 241466972L, datetime.datetime(2013, 5, 28, 17, 16, 40), 0.18889953169328, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '6', 241467144L, datetime.datetime(2013, 5, 28, 17, 16, 40), 0.251609201764794, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '8', 241466859L, datetime.datetime(2013, 5, 28, 17, 16, 40), 0.0319789874310168, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '3', 241474600L, datetime.datetime(2013, 5, 28, 17, 16, 40), 0.292207145240406, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '1', 241478136L, datetime.datetime(2013, 5, 28, 17, 16, 40), 0.0626981667641237, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '5', 241467753L, datetime.datetime(2013, 5, 28, 17, 16, 40), 0.127656028209588, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '2', 241478108L, datetime.datetime(2013, 5, 28, 17, 16, 40), 0.141446207610995, False, 'time']
['henk-mastenbroek', 202589005, 'impression', '4', 241468049L, datetime.datetime(2013, 5, 28, 17, 16, 40), 0.120915031253176, False, 'time']
['henk-mastenbroek', 202589005, 'view_full_application_via_name', '2', 241478108L, datetime.datetime(2013, 5, 28, 17, 16, 45), 0.141446207610995, False, 'time']

['henk-mastenbroek', 202589005, 'impression', '2', 241467144L, datetime.datetime(2013, 5, 28, 21, 34, 40), 0.251609201764794, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '3', 241466972L, datetime.datetime(2013, 5, 28, 21, 34, 40), 0.18889953169328, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '6', 241468049L, datetime.datetime(2013, 5, 28, 21, 34, 40), 0.120915031253176, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '4', 241478108L, datetime.datetime(2013, 5, 28, 21, 34, 40), 0.141446207610995, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '5', 241467753L, datetime.datetime(2013, 5, 28, 21, 34, 40), 0.127656028209588, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '8', 241466859L, datetime.datetime(2013, 5, 28, 21, 34, 40), 0.0319789874310168, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '1', 241474600L, datetime.datetime(2013, 5, 28, 21, 34, 40), 0.292207145240406, False, 'best']
['henk-mastenbroek', 202589005, 'impression', '7', 241478136L, datetime.datetime(2013, 5, 28, 21, 34, 40), 0.0626981667641237, False, 'best']

