['promotion2013', 202561652, 'collapse_tile', '6', 240907659L, datetime.datetime(2013, 5, 23, 5, 59, 43), 0.0699977752750668, False, 'time']
['promotion2013', 202561652, 'expand_tile', '6', 240907659L, datetime.datetime(2013, 5, 23, 5, 59, 44), 0.0699977752750668, False, 'time']
['promotion2013', 202561652, 'collapse_tile', '6', 240907659L, datetime.datetime(2013, 5, 23, 5, 59, 46), 0.0699977752750668, False, 'time']
['promotion2013', 202561652, 'expand_tile', '6', 240907659L, datetime.datetime(2013, 5, 23, 5, 59, 47), 0.0699977752750668, False, 'time']
['promotion2013', 202561652, 'expand_tile', '7', 240902569L, datetime.datetime(2013, 5, 23, 5, 59, 47), 0.0419915506611421, False, 'time']
['promotion2013', 202561652, 'collapse_tile', '6', 240907659L, datetime.datetime(2013, 5, 23, 5, 59, 51), 0.0699977752750668, False, 'time']
['promotion2013', 202561652, 'expand_tile', '6', 240907659L, datetime.datetime(2013, 5, 23, 5, 59, 59), 0.0699977752750668, False, 'time']
['promotion2013', 202561652, 'send_message', '6', 240907659L, datetime.datetime(2013, 5, 23, 6, 1, 48), 0.0699977752750668, False, 'time']
['promotion2013', 202561652, 'expand_tile', '6', 240907659L, datetime.datetime(2013, 5, 23, 6, 2, 54), 0.0699977752750668, False, 'time']
['promotion2013', 202561652, 'collapse_tile', '7', 240902569L, datetime.datetime(2013, 5, 23, 6, 3, 7), 0.0419915506611421, False, 'time']
['promotion2013', 202561652, 'hide', '8', 240901685L, datetime.datetime(2013, 5, 23, 6, 4, 33), 0.0618147125044582, False, 'time']
['promotion2013', 202561652, 'expand_tile', '9', 240898443L, datetime.datetime(2013, 5, 23, 6, 5, 47), 0.0192842203592507, False, 'time']
['promotion2013', 202561652, 'hide', '9', 240898443L, datetime.datetime(2013, 5, 23, 6, 6, 15), 0.0192842203592507, False, 'time']
['promotion2013', 202561652, 'expand_tile', '9', 240898443L, datetime.datetime(2013, 5, 23, 6, 6, 16), 0.0192842203592507, False, 'time']
['promotion2013', 202561652, 'expand_tile', '10', 240897621L, datetime.datetime(2013, 5, 23, 6, 6, 19), 0.0792621838318791, False, 'time']
['promotion2013', 202561652, 'send_message', '10', 240897621L, datetime.datetime(2013, 5, 23, 6, 8, 13), 0.0792621838318791, False, 'time']
['promotion2013', 202561652, 'expand_tile', '10', 240897621L, datetime.datetime(2013, 5, 23, 6, 9, 41), 0.0792621838318791, False, 'time']
['promotion2013', 202561652, 'hide', '7', 240902569L, datetime.datetime(2013, 5, 23, 6, 9, 47), 0.0419915506611421, False, 'time']
['promotion2013', 202561652, 'expand_tile', '11', 240894465L, datetime.datetime(2013, 5, 23, 6, 9, 52), 0.0334749187875082, False, 'time']
['promotion2013', 202561652, 'expand_tile', '12', 240889047L, datetime.datetime(2013, 5, 23, 6, 13, 3), 0.00287714359500057, False, 'time']
['promotion2013', 202561652, 'expand_tile', '12', 240889047L, datetime.datetime(2013, 5, 23, 6, 14, 50), 0.00287714359500057, False, 'time']
['promotion2013', 202561652, 'hide', '12', 240889047L, datetime.datetime(2013, 5, 23, 6, 14, 50), 0.00287714359500057, False, 'time']
['promotion2013', 202561652, 'expand_tile', '13', 240888348L, datetime.datetime(2013, 5, 23, 6, 14, 56), 0.0329649507534539, False, 'time']
['promotion2013', 202561652, 'expand_tile', '13', 240888348L, datetime.datetime(2013, 5, 23, 6, 15, 6), 0.0329649507534539, False, 'time']
['promotion2013', 202561652, 'hide', '13', 240888348L, datetime.datetime(2013, 5, 23, 6, 15, 6), 0.0329649507534539, False, 'time']
['promotion2013', 202561652, 'expand_tile', '14', 240886357L, datetime.datetime(2013, 5, 23, 6, 15, 7), 0.0444260503527061, False, 'time']
['promotion2013', 202561652, 'collapse_tile', '14', 240886357L, datetime.datetime(2013, 5, 23, 6, 15, 16), 0.0444260503527061, False, 'time']
