['emraan-zaman', 202584772, 'impression', '7', 241367215L, datetime.datetime(2013, 5, 27, 5, 51, 40), 0.0128807367323488, False, 'time']

['emraan-zaman', 202584772, 'impression', '3', 241375351L, datetime.datetime(2013, 5, 27, 11, 8, 49), 0.0153911417566106, False, 'time']
['emraan-zaman', 202584772, 'impression', '2', 241375660L, datetime.datetime(2013, 5, 27, 11, 8, 49), 0.0309015531712425, False, 'time']
['emraan-zaman', 202584772, 'impression', '8', 241367746L, datetime.datetime(2013, 5, 27, 11, 8, 49), 0.0364442403342251, False, 'time']
['emraan-zaman', 202584772, 'impression', '5', 241369252L, datetime.datetime(2013, 5, 27, 11, 8, 49), 0.00749348217063843, False, 'time']
['emraan-zaman', 202584772, 'impression', '9', 241367527L, datetime.datetime(2013, 5, 27, 11, 8, 49), 0.0325040745028317, False, 'time']
['emraan-zaman', 202584772, 'impression', '11', 241367164L, datetime.datetime(2013, 5, 27, 11, 8, 49), 0.0349435401747212, False, 'time']
['emraan-zaman', 202584772, 'impression', '7', 241368001L, datetime.datetime(2013, 5, 27, 11, 8, 49), 0.0228120072250133, True, 'time']
['emraan-zaman', 202584772, 'impression', '1', 241392485L, datetime.datetime(2013, 5, 27, 11, 8, 49), 0.0629796720580558, False, 'time']
['emraan-zaman', 202584772, 'impression', '6', 241368846L, datetime.datetime(2013, 5, 27, 11, 8, 49), 0.0271713332569677, False, 'time']
['emraan-zaman', 202584772, 'impression', '4', 241369306L, datetime.datetime(2013, 5, 27, 11, 8, 49), 0.0258409109295029, False, 'time']
['emraan-zaman', 202584772, 'impression', '10', 241367215L, datetime.datetime(2013, 5, 27, 11, 8, 49), 0.0128807367323488, False, 'time']
['emraan-zaman', 202584772, 'expand_tile', '6', 241368846L, datetime.datetime(2013, 5, 27, 11, 9, 42), 0.0271713332569677, False, 'time']
['emraan-zaman', 202584772, 'expand_tile', '3', 241375351L, datetime.datetime(2013, 5, 27, 11, 10, 42), 0.0153911417566106, False, 'time']
['emraan-zaman', 202584772, 'expand_tile', '2', 241375660L, datetime.datetime(2013, 5, 27, 11, 11, 9), 0.0309015531712425, False, 'time']
['emraan-zaman', 202584772, 'expand_tile', '1', 241392485L, datetime.datetime(2013, 5, 27, 11, 11, 18), 0.0629796720580558, False, 'time']
['emraan-zaman', 202584772, 'impression', '1', 241392485L, datetime.datetime(2013, 5, 27, 11, 11, 19), 0.0629796720580558, False, 'time']
['emraan-zaman', 202584772, 'impression', '5', 241369252L, datetime.datetime(2013, 5, 27, 11, 14, 29), 0.00749348217063843, False, 'time']
['emraan-zaman', 202584772, 'impression', '8', 241367746L, datetime.datetime(2013, 5, 27, 11, 14, 29), 0.0364442403342251, False, 'time']
['emraan-zaman', 202584772, 'impression', '6', 241368846L, datetime.datetime(2013, 5, 27, 11, 14, 29), 0.0271713332569677, False, 'time']
['emraan-zaman', 202584772, 'impression', '4', 241369306L, datetime.datetime(2013, 5, 27, 11, 14, 29), 0.0258409109295029, False, 'time']
['emraan-zaman', 202584772, 'impression', '10', 241367215L, datetime.datetime(2013, 5, 27, 11, 14, 29), 0.0128807367323488, False, 'time']
['emraan-zaman', 202584772, 'impression', '3', 241375351L, datetime.datetime(2013, 5, 27, 11, 14, 29), 0.0153911417566106, False, 'time']
['emraan-zaman', 202584772, 'impression', '2', 241375660L, datetime.datetime(2013, 5, 27, 11, 14, 29), 0.0309015531712425, False, 'time']
['emraan-zaman', 202584772, 'impression', '1', 241392485L, datetime.datetime(2013, 5, 27, 11, 14, 29), 0.0629796720580558, False, 'time']
['emraan-zaman', 202584772, 'impression', '7', 241368001L, datetime.datetime(2013, 5, 27, 11, 14, 29), 0.0228120072250133, True, 'time']
['emraan-zaman', 202584772, 'impression', '11', 241367164L, datetime.datetime(2013, 5, 27, 11, 14, 29), 0.0349435401747212, False, 'time']
['emraan-zaman', 202584772, 'impression', '9', 241367527L, datetime.datetime(2013, 5, 27, 11, 14, 29), 0.0325040745028317, False, 'time']
['emraan-zaman', 202584772, 'impression', '1', 241392485L, datetime.datetime(2013, 5, 27, 11, 14, 30), 0.0629796720580558, False, 'time']
['emraan-zaman', 202584772, 'expand_tile', '4', 241369306L, datetime.datetime(2013, 5, 27, 11, 14, 36), 0.0258409109295029, False, 'time']
['emraan-zaman', 202584772, 'impression', '4', 241369306L, datetime.datetime(2013, 5, 27, 11, 14, 47), 0.0258409109295029, False, 'time']

['emraan-zaman', 202584772, 'impression', '5', 241369252L, datetime.datetime(2013, 5, 27, 15, 1, 23), 0.00749348217063843, False, 'time']
['emraan-zaman', 202584772, 'impression', '11', 241367164L, datetime.datetime(2013, 5, 27, 15, 1, 23), 0.0349435401747212, False, 'time']
