['ecoblister', 202583175, 'impression', '2', 241387266L, datetime.datetime(2013, 5, 28, 16, 12, 17), 0.289457157102906, False, 'time']
['ecoblister', 202583175, 'impression', '5', 241342249L, datetime.datetime(2013, 5, 28, 16, 12, 17), 0.357554477034022, False, 'time']
['ecoblister', 202583175, 'impression', '1', 241394853L, datetime.datetime(2013, 5, 28, 16, 12, 17), 0.0616880578542826, False, 'time']
['ecoblister', 202583175, 'impression', '6', 241337531L, datetime.datetime(2013, 5, 28, 16, 12, 17), 0.127177938193279, False, 'time']
['ecoblister', 202583175, 'impression', '3', 241366120L, datetime.datetime(2013, 5, 28, 16, 12, 17), 0.124051474976522, False, 'time']
['ecoblister', 202583175, 'impression', '8', 241335145L, datetime.datetime(2013, 5, 28, 16, 12, 17), 0.0805109674690212, False, 'time']
['ecoblister', 202583175, 'hide', '8', 241335145L, datetime.datetime(2013, 5, 28, 16, 12, 26), 0.0805109674690212, False, 'time']
['ecoblister', 202583175, 'hide', '7', 241336039L, datetime.datetime(2013, 5, 28, 16, 12, 33), 0.486808306480771, False, 'time']
['ecoblister', 202583175, 'view_full_application_via_name', '6', 241337531L, datetime.datetime(2013, 5, 28, 16, 12, 36), 0.127177938193279, False, 'time']
['ecoblister', 202583175, 'impression', '7', 241334761L, datetime.datetime(2013, 5, 28, 16, 12, 42), 0.172749326269633, False, 'time']
['ecoblister', 202583175, 'impression', '2', 241387266L, datetime.datetime(2013, 5, 28, 16, 12, 42), 0.289457157102906, False, 'time']
['ecoblister', 202583175, 'impression', '4', 241347711L, datetime.datetime(2013, 5, 28, 16, 12, 42), 0.209220898740735, False, 'time']
['ecoblister', 202583175, 'impression', '6', 241337531L, datetime.datetime(2013, 5, 28, 16, 12, 42), 0.127177938193279, False, 'time']
['ecoblister', 202583175, 'impression', '5', 241342249L, datetime.datetime(2013, 5, 28, 16, 12, 42), 0.357554477034022, False, 'time']
['ecoblister', 202583175, 'impression', '1', 241394853L, datetime.datetime(2013, 5, 28, 16, 12, 42), 0.0616880578542826, False, 'time']
['ecoblister', 202583175, 'impression', '3', 241366120L, datetime.datetime(2013, 5, 28, 16, 12, 42), 0.124051474976522, False, 'time']
['ecoblister', 202583175, 'hide', '6', 241337531L, datetime.datetime(2013, 5, 28, 16, 12, 43), 0.127177938193279, False, 'time']
['ecoblister', 202583175, 'view_full_application_via_name', '5', 241342249L, datetime.datetime(2013, 5, 28, 16, 12, 47), 0.357554477034022, False, 'time']
['ecoblister', 202583175, 'impression', '3', 241366120L, datetime.datetime(2013, 5, 28, 16, 13, 10), 0.124051474976522, False, 'time']
['ecoblister', 202583175, 'impression', '4', 241347711L, datetime.datetime(2013, 5, 28, 16, 13, 10), 0.209220898740735, False, 'time']
['ecoblister', 202583175, 'impression', '2', 241387266L, datetime.datetime(2013, 5, 28, 16, 13, 10), 0.289457157102906, False, 'time']
['ecoblister', 202583175, 'impression', '6', 241334761L, datetime.datetime(2013, 5, 28, 16, 13, 10), 0.172749326269633, False, 'time']
['ecoblister', 202583175, 'impression', '1', 241394853L, datetime.datetime(2013, 5, 28, 16, 13, 10), 0.0616880578542826, False, 'time']
['ecoblister', 202583175, 'impression', '5', 241342249L, datetime.datetime(2013, 5, 28, 16, 13, 10), 0.357554477034022, False, 'time']
['ecoblister', 202583175, 'hide', '5', 241342249L, datetime.datetime(2013, 5, 28, 16, 13, 13), 0.357554477034022, False, 'time']
['ecoblister', 202583175, 'view_full_application_via_name', '4', 241347711L, datetime.datetime(2013, 5, 28, 16, 13, 18), 0.209220898740735, False, 'time']
['ecoblister', 202583175, 'impression', '4', 241347711L, datetime.datetime(2013, 5, 28, 16, 14, 13), 0.209220898740735, False, 'time']
['ecoblister', 202583175, 'impression', '1', 241394853L, datetime.datetime(2013, 5, 28, 16, 14, 13), 0.0616880578542826, False, 'time']
['ecoblister', 202583175, 'impression', '2', 241387266L, datetime.datetime(2013, 5, 28, 16, 14, 13), 0.289457157102906, False, 'time']
['ecoblister', 202583175, 'impression', '5', 241334761L, datetime.datetime(2013, 5, 28, 16, 14, 13), 0.172749326269633, False, 'time']
['ecoblister', 202583175, 'impression', '3', 241366120L, datetime.datetime(2013, 5, 28, 16, 14, 13), 0.124051474976522, False, 'time']
['ecoblister', 202583175, 'hide', '4', 241347711L, datetime.datetime(2013, 5, 28, 16, 14, 18), 0.209220898740735, False, 'time']
['ecoblister', 202583175, 'view_full_application_via_name', '3', 241366120L, datetime.datetime(2013, 5, 28, 16, 14, 20), 0.124051474976522, False, 'time']
['ecoblister', 202583175, 'impression', '3', 241366120L, datetime.datetime(2013, 5, 28, 16, 15, 13), 0.124051474976522, False, 'time']
['ecoblister', 202583175, 'impression', '4', 241334761L, datetime.datetime(2013, 5, 28, 16, 15, 13), 0.172749326269633, False, 'time']
['ecoblister', 202583175, 'impression', '2', 241387266L, datetime.datetime(2013, 5, 28, 16, 15, 13), 0.289457157102906, False, 'time']
['ecoblister', 202583175, 'impression', '1', 241394853L, datetime.datetime(2013, 5, 28, 16, 15, 13), 0.0616880578542826, False, 'time']
['ecoblister', 202583175, 'hide', '3', 241366120L, datetime.datetime(2013, 5, 28, 16, 15, 15), 0.124051474976522, False, 'time']
['ecoblister', 202583175, 'view_full_application_via_name', '2', 241387266L, datetime.datetime(2013, 5, 28, 16, 15, 17), 0.289457157102906, False, 'time']
['ecoblister', 202583175, 'impression', '2', 241387266L, datetime.datetime(2013, 5, 28, 16, 15, 34), 0.289457157102906, False, 'time']
['ecoblister', 202583175, 'impression', '3', 241334761L, datetime.datetime(2013, 5, 28, 16, 15, 34), 0.172749326269633, False, 'time']
['ecoblister', 202583175, 'impression', '1', 241394853L, datetime.datetime(2013, 5, 28, 16, 15, 34), 0.0616880578542826, False, 'time']
['ecoblister', 202583175, 'hide', '2', 241387266L, datetime.datetime(2013, 5, 28, 16, 15, 36), 0.289457157102906, False, 'time']
['ecoblister', 202583175, 'hide', '1', 241394853L, datetime.datetime(2013, 5, 28, 16, 15, 37), 0.0616880578542826, False, 'time']

