['garvintimothy', 202573214, 'impression', '1', 241134206L, datetime.datetime(2013, 5, 23, 22, 34, 8), 0.0183881889944223, False, 'time']
['garvintimothy', 202573214, 'impression', '14', 241113208L, datetime.datetime(2013, 5, 23, 22, 34, 8), 0.0674954131140358, False, 'time']
['garvintimothy', 202573214, 'impression', '2', 241132146L, datetime.datetime(2013, 5, 23, 22, 34, 8), 0.00964484630964527, False, 'time']

['garvintimothy', 202573214, 'impression', '15', 241112778L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.0505081340868865, False, 'time']
['garvintimothy', 202573214, 'impression', '1', 241134206L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.0183881889944223, False, 'time']
['garvintimothy', 202573214, 'impression', '5', 241128763L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.0160707151345382, False, 'time']
['garvintimothy', 202573214, 'impression', '8', 241114741L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.0164309205184208, False, 'time']
['garvintimothy', 202573214, 'impression', '4', 241130121L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.0278498065181198, False, 'time']
['garvintimothy', 202573214, 'impression', '3', 241130990L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.0421427684978188, False, 'time']
['garvintimothy', 202573214, 'impression', '11', 241113763L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.0463867504840034, False, 'time']
['garvintimothy', 202573214, 'impression', '6', 241123063L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.02282788528711, False, 'time']
['garvintimothy', 202573214, 'impression', '7', 241115054L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.0209716578599203, False, 'time']
['garvintimothy', 202573214, 'impression', '9', 241114366L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.0223839799843368, False, 'time']
['garvintimothy', 202573214, 'impression', '13', 241113208L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.0674954131140358, False, 'time']
['garvintimothy', 202573214, 'impression', '2', 241132146L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.00964484630964527, False, 'time']
['garvintimothy', 202573214, 'impression', '14', 241113097L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.0266563098466907, False, 'time']
['garvintimothy', 202573214, 'impression', '12', 241113329L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.0561314406097064, False, 'time']
['garvintimothy', 202573214, 'impression', '10', 241114100L, datetime.datetime(2013, 5, 24, 1, 47, 48), 0.0222458852194056, False, 'time']
['garvintimothy', 202573214, 'expand_tile', '1', 241134206L, datetime.datetime(2013, 5, 24, 1, 47, 59), 0.0183881889944223, False, 'time']
['garvintimothy', 202573214, 'impression', '4', 241130121L, datetime.datetime(2013, 5, 24, 1, 48, 7), 0.0278498065181198, False, 'time']
['garvintimothy', 202573214, 'view_full_application', '1', 241134206L, datetime.datetime(2013, 5, 24, 1, 48, 9), 0.0183881889944223, False, 'time']

