['jhr01', 202546721, 'view_full_application_via_name', '3', 240569256L, datetime.datetime(2013, 5, 16, 19, 52, 17), 0.073464147095966, False, 'best']
['jhr01', 202546721, 'impression', '4', 240570441L, datetime.datetime(2013, 5, 16, 19, 53, 27), 0.0859165647121352, False, 'best']
['jhr01', 202546721, 'impression', '3', 240570271L, datetime.datetime(2013, 5, 16, 19, 53, 27), 0.0325245087648289, False, 'best']
['jhr01', 202546721, 'impression', '1', 240566511L, datetime.datetime(2013, 5, 16, 19, 53, 27), 0.184749582371921, False, 'best']
['jhr01', 202546721, 'impression', '2', 240569813L, datetime.datetime(2013, 5, 16, 19, 53, 27), 0.0736289590238113, False, 'best']
['jhr01', 202546721, 'view_full_application_via_name', '2', 240569813L, datetime.datetime(2013, 5, 16, 19, 53, 30), 0.0736289590238113, False, 'best']
['jhr01', 202546721, 'impression', '2', 240569813L, datetime.datetime(2013, 5, 16, 19, 54, 50), 0.0736289590238113, False, 'best']
['jhr01', 202546721, 'impression', '1', 240566511L, datetime.datetime(2013, 5, 16, 19, 54, 50), 0.184749582371921, False, 'best']
['jhr01', 202546721, 'impression', '3', 240570271L, datetime.datetime(2013, 5, 16, 19, 54, 50), 0.0325245087648289, False, 'best']
['jhr01', 202546721, 'impression', '4', 240570441L, datetime.datetime(2013, 5, 16, 19, 54, 50), 0.0859165647121352, False, 'best']
['jhr01', 202546721, 'hide', '2', 240569813L, datetime.datetime(2013, 5, 16, 19, 54, 52), 0.0736289590238113, False, 'best']
['jhr01', 202546721, 'view_full_application_via_name', '3', 240570271L, datetime.datetime(2013, 5, 16, 19, 54, 54), 0.0325245087648289, False, 'best']
['jhr01', 202546721, 'impression', '1', 240566511L, datetime.datetime(2013, 5, 16, 19, 55, 5), 0.184749582371921, False, 'best']
['jhr01', 202546721, 'impression', '2', 240570441L, datetime.datetime(2013, 5, 16, 19, 55, 5), 0.0859165647121352, False, 'best']
['jhr01', 202546721, 'view_full_application_via_name', '2', 240570441L, datetime.datetime(2013, 5, 16, 19, 55, 9), 0.0859165647121352, False, 'best']
['jhr01', 202546721, 'impression', '2', 240570441L, datetime.datetime(2013, 5, 16, 19, 58, 18), 0.0859165647121352, False, 'best']
['jhr01', 202546721, 'impression', '1', 240566511L, datetime.datetime(2013, 5, 16, 19, 58, 18), 0.184749582371921, False, 'best']
['jhr01', 202546721, 'hide', '2', 240570441L, datetime.datetime(2013, 5, 16, 19, 58, 21), 0.0859165647121352, False, 'best']
['jhr01', 202546721, 'view_full_application_via_name', '1', 240566511L, datetime.datetime(2013, 5, 16, 19, 58, 24), 0.184749582371921, False, 'best']

['jhr01', 202546721, 'impression', '2', 240576610L, datetime.datetime(2013, 5, 16, 21, 27, 37), 0.122869333623284, False, 'best']
['jhr01', 202546721, 'impression', '1', 240572984L, datetime.datetime(2013, 5, 16, 21, 27, 37), 0.151518147480898, False, 'best']
['jhr01', 202546721, 'expand_tile', '2', 240576610L, datetime.datetime(2013, 5, 16, 21, 27, 42), 0.122869333623284, False, 'best']
['jhr01', 202546721, 'collapse_tile', '2', 240576610L, datetime.datetime(2013, 5, 16, 21, 27, 46), 0.122869333623284, False, 'best']
['jhr01', 202546721, 'expand_tile', '2', 240576610L, datetime.datetime(2013, 5, 16, 21, 27, 49), 0.122869333623284, False, 'best']
['jhr01', 202546721, 'view_full_application_via_name', '2', 240576610L, datetime.datetime(2013, 5, 16, 21, 27, 52), 0.122869333623284, False, 'best']
['jhr01', 202546721, 'impression', '1', 240572984L, datetime.datetime(2013, 5, 16, 21, 29, 23), 0.151518147480898, False, 'best']
['jhr01', 202546721, 'view_full_application_via_name', '1', 240572984L, datetime.datetime(2013, 5, 16, 21, 29, 24), 0.151518147480898, False, 'best']
['jhr01', 202546721, 'impression', '1', 240572984L, datetime.datetime(2013, 5, 16, 21, 32, 16), 0.151518147480898, False, 'best']
['jhr01', 202546721, 'hide', '-1', 240572984L, datetime.datetime(2013, 5, 16, 21, 32, 19), 0.151518147480898, False, 'best']

['jhr01', 202546721, 'impression', '2', 240597353L, datetime.datetime(2013, 5, 17, 5, 38, 35), 0.0312548692945162, False, 'best']
['jhr01', 202546721, 'impression', '1', 240577417L, datetime.datetime(2013, 5, 17, 5, 38, 35), 0.0563380817842533, False, 'best']
['jhr01', 202546721, 'view_full_application_via_name', '1', 240577417L, datetime.datetime(2013, 5, 17, 5, 38, 43), 0.0563380817842533, False, 'best']
['jhr01', 202546721, 'impression', '1', 240597353L, datetime.datetime(2013, 5, 17, 5, 40, 29), 0.0312548692945162, False, 'best']

['jhr01', 202546721, 'impression', '1', 240597353L, datetime.datetime(2013, 5, 17, 6, 19, 20), 0.0312548692945162, False, 'best']
['jhr01', 202546721, 'view_full_application_via_name', '1', 240597353L, datetime.datetime(2013, 5, 17, 6, 19, 26), 0.0312548692945162, False, 'best']
['jhr01', 202546721, 'impression', '1', 240597353L, datetime.datetime(2013, 5, 17, 6, 20, 16), 0.0312548692945162, False, 'best']
['jhr01', 202546721, 'hide', '-1', 240597353L, datetime.datetime(2013, 5, 17, 6, 20, 18), 0.0312548692945162, False, 'best']

['jhr01', 202546721, 'impression', '2', 240658426L, datetime.datetime(2013, 5, 20, 8, 29, 14), 0.314531784718568, False, 'best']
['jhr01', 202546721, 'impression', '10', 240779438L, datetime.datetime(2013, 5, 20, 8, 29, 14), 0.0309109714325931, False, 'best']
['jhr01', 202546721, 'impression', '9', 240759307L, datetime.datetime(2013, 5, 20, 8, 29, 14), 0.0753395729995861, False, 'best']
['jhr01', 202546721, 'impression', '3', 240701095L, datetime.datetime(2013, 5, 20, 8, 29, 14), 0.306503588615072, False, 'best']
['jhr01', 202546721, 'impression', '4', 240725152L, datetime.datetime(2013, 5, 20, 8, 29, 14), 0.216861653158764, False, 'best']
['jhr01', 202546721, 'impression', '1', 240599955L, datetime.datetime(2013, 5, 20, 8, 29, 14), 0.422440702643813, False, 'best']
['jhr01', 202546721, 'impression', '7', 240686446L, datetime.datetime(2013, 5, 20, 8, 29, 14), 0.132025506984046, False, 'best']
['jhr01', 202546721, 'impression', '5', 240643938L, datetime.datetime(2013, 5, 20, 8, 29, 14), 0.214064789800288, False, 'best']
['jhr01', 202546721, 'impression', '6', 240631184L, datetime.datetime(2013, 5, 20, 8, 29, 14), 0.193849452707461, False, 'best']
['jhr01', 202546721, 'impression', '8', 240745849L, datetime.datetime(2013, 5, 20, 8, 29, 14), 0.0777758670182356, False, 'best']
['jhr01', 202546721, 'view_full_application_via_name', '1', 240599955L, datetime.datetime(2013, 5, 20, 8, 30, 18), 0.422440702643813, False, 'best']
['jhr01', 202546721, 'impression', '10', 240779438L, datetime.datetime(2013, 5, 20, 8, 31, 5), 0.0309109714325931, False, 'best']
['jhr01', 202546721, 'impression', '9', 240759307L, datetime.datetime(2013, 5, 20, 8, 31, 5), 0.0753395729995861, False, 'best']
