['kmohanta', 202555875, 'impression', '12', 240767382L, datetime.datetime(2013, 5, 20, 15, 34, 20), 0.0644391960184272, False, 'best']
['kmohanta', 202555875, 'impression', '1', 240766426L, datetime.datetime(2013, 5, 20, 15, 34, 20), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'impression', '2', 240799993L, datetime.datetime(2013, 5, 20, 15, 34, 20), 0.316699132135283, False, 'best']
['kmohanta', 202555875, 'impression', '4', 240769608L, datetime.datetime(2013, 5, 20, 15, 34, 20), 0.163949961207343, False, 'best']
['kmohanta', 202555875, 'impression', '8', 240767827L, datetime.datetime(2013, 5, 20, 15, 34, 20), 0.101734351217285, False, 'best']
['kmohanta', 202555875, 'impression', '11', 240774465L, datetime.datetime(2013, 5, 20, 15, 34, 20), 0.0722687363631596, False, 'best']
['kmohanta', 202555875, 'impression', '9', 240767339L, datetime.datetime(2013, 5, 20, 15, 34, 20), 0.0967197695479225, False, 'best']
['kmohanta', 202555875, 'impression', '6', 240770113L, datetime.datetime(2013, 5, 20, 15, 34, 20), 0.142150950979071, False, 'best']
['kmohanta', 202555875, 'impression', '7', 240768561L, datetime.datetime(2013, 5, 20, 15, 34, 20), 0.124349052669826, False, 'best']
['kmohanta', 202555875, 'impression', '10', 240766545L, datetime.datetime(2013, 5, 20, 15, 34, 20), 0.0879931711015565, False, 'best']

['kmohanta', 202555875, 'impression', '10', 240774465L, datetime.datetime(2013, 5, 21, 15, 27, 4), 0.0722687363631596, False, 'best']
['kmohanta', 202555875, 'impression', '7', 240767827L, datetime.datetime(2013, 5, 21, 15, 27, 4), 0.101734351217285, False, 'best']
['kmohanta', 202555875, 'impression', '4', 240769608L, datetime.datetime(2013, 5, 21, 15, 27, 4), 0.163949961207343, False, 'best']
['kmohanta', 202555875, 'impression', '2', 240799993L, datetime.datetime(2013, 5, 21, 15, 27, 4), 0.316699132135283, False, 'best']
