['rachella_m', 202560999, 'impression', '2', 240871136L, datetime.datetime(2013, 5, 21, 7, 9, 7), 0.143977418710424, False, 'best']
['rachella_m', 202560999, 'impression', '4', 240873516L, datetime.datetime(2013, 5, 21, 7, 9, 7), 0.125565876835098, False, 'best']
['rachella_m', 202560999, 'view_full_application_via_name', '2', 240871136L, datetime.datetime(2013, 5, 21, 7, 9, 16), 0.143977418710424, False, 'best']
['rachella_m', 202560999, 'impression', '4', 240873516L, datetime.datetime(2013, 5, 21, 7, 12, 32), 0.125565876835098, False, 'best']
['rachella_m', 202560999, 'impression', '3', 240896278L, datetime.datetime(2013, 5, 21, 7, 12, 32), 0.134063134662772, False, 'best']
['rachella_m', 202560999, 'impression', '2', 240871136L, datetime.datetime(2013, 5, 21, 7, 12, 32), 0.143977418710424, False, 'best']
['rachella_m', 202560999, 'impression', '1', 240877206L, datetime.datetime(2013, 5, 21, 7, 12, 32), 0.317371838913697, False, 'best']
['rachella_m', 202560999, 'view_full_application_via_name', '3', 240896278L, datetime.datetime(2013, 5, 21, 7, 12, 54), 0.134063134662772, False, 'best']
['rachella_m', 202560999, 'impression', '3', 240896278L, datetime.datetime(2013, 5, 21, 7, 16, 58), 0.134063134662772, False, 'best']
['rachella_m', 202560999, 'impression', '2', 240871136L, datetime.datetime(2013, 5, 21, 7, 16, 58), 0.143977418710424, False, 'best']
['rachella_m', 202560999, 'impression', '4', 240873516L, datetime.datetime(2013, 5, 21, 7, 16, 58), 0.125565876835098, False, 'best']
['rachella_m', 202560999, 'impression', '1', 240877206L, datetime.datetime(2013, 5, 21, 7, 16, 58), 0.317371838913697, False, 'best']
['rachella_m', 202560999, 'view_full_application_via_name', '1', 240877206L, datetime.datetime(2013, 5, 21, 7, 17, 6), 0.317371838913697, False, 'best']
['rachella_m', 202560999, 'impression', '3', 240896278L, datetime.datetime(2013, 5, 21, 7, 20, 34), 0.134063134662772, False, 'best']
['rachella_m', 202560999, 'impression', '4', 240873516L, datetime.datetime(2013, 5, 21, 7, 20, 34), 0.125565876835098, False, 'best']
['rachella_m', 202560999, 'impression', '1', 240877206L, datetime.datetime(2013, 5, 21, 7, 20, 34), 0.317371838913697, False, 'best']
['rachella_m', 202560999, 'impression', '2', 240871136L, datetime.datetime(2013, 5, 21, 7, 20, 34), 0.143977418710424, False, 'best']
['rachella_m', 202560999, 'impression', '4', 240873516L, datetime.datetime(2013, 5, 21, 7, 34, 21), 0.125565876835098, False, 'best']
['rachella_m', 202560999, 'impression', '1', 240877206L, datetime.datetime(2013, 5, 21, 7, 34, 21), 0.317371838913697, False, 'best']
['rachella_m', 202560999, 'impression', '3', 240896278L, datetime.datetime(2013, 5, 21, 7, 34, 21), 0.134063134662772, False, 'best']
['rachella_m', 202560999, 'impression', '2', 240871136L, datetime.datetime(2013, 5, 21, 7, 34, 21), 0.143977418710424, False, 'best']
['rachella_m', 202560999, 'impression', '3', 240896278L, datetime.datetime(2013, 5, 21, 7, 58, 42), 0.134063134662772, False, 'best']
['rachella_m', 202560999, 'impression', '2', 240871136L, datetime.datetime(2013, 5, 21, 7, 58, 42), 0.143977418710424, False, 'best']
['rachella_m', 202560999, 'impression', '1', 240877206L, datetime.datetime(2013, 5, 21, 7, 58, 42), 0.317371838913697, False, 'best']
['rachella_m', 202560999, 'impression', '4', 240873516L, datetime.datetime(2013, 5, 21, 7, 58, 42), 0.125565876835098, False, 'best']
['rachella_m', 202560999, 'impression', '1', 240877206L, datetime.datetime(2013, 5, 21, 8, 6, 2), 0.317371838913697, False, 'best']
['rachella_m', 202560999, 'impression', '3', 240896278L, datetime.datetime(2013, 5, 21, 8, 12, 5), 0.134063134662772, False, 'best']
['rachella_m', 202560999, 'impression', '1', 240877206L, datetime.datetime(2013, 5, 21, 8, 12, 5), 0.317371838913697, False, 'best']
['rachella_m', 202560999, 'impression', '2', 240871136L, datetime.datetime(2013, 5, 21, 8, 12, 5), 0.143977418710424, False, 'best']
['rachella_m', 202560999, 'impression', '4', 240873516L, datetime.datetime(2013, 5, 21, 8, 12, 5), 0.125565876835098, False, 'best']
['rachella_m', 202560999, 'view_full_application_via_message', '1', 240877206L, datetime.datetime(2013, 5, 21, 8, 15), 0.317371838913697, False, 'best']

['rachella_m', 202560999, 'impression', '4', 240873516L, datetime.datetime(2013, 5, 21, 9, 32, 28), 0.125565876835098, False, 'best']
['rachella_m', 202560999, 'impression', '3', 240896278L, datetime.datetime(2013, 5, 21, 9, 32, 28), 0.134063134662772, False, 'best']
['rachella_m', 202560999, 'impression', '1', 240877206L, datetime.datetime(2013, 5, 21, 9, 32, 28), 0.317371838913697, False, 'best']
['rachella_m', 202560999, 'impression', '2', 240871136L, datetime.datetime(2013, 5, 21, 9, 32, 28), 0.143977418710424, False, 'best']

['rachella_m', 202560999, 'impression', '1', 240904831L, datetime.datetime(2013, 5, 21, 11, 48, 55), 0.36842695549896, False, 'best']
['rachella_m', 202560999, 'impression', '4', 240896278L, datetime.datetime(2013, 5, 21, 11, 48, 55), 0.134063134662772, False, 'best']
['rachella_m', 202560999, 'impression', '5', 240873516L, datetime.datetime(2013, 5, 21, 11, 48, 55), 0.125565876835098, False, 'best']
['rachella_m', 202560999, 'impression', '2', 240877206L, datetime.datetime(2013, 5, 21, 11, 48, 55), 0.317371838913697, False, 'best']
['rachella_m', 202560999, 'impression', '3', 240871136L, datetime.datetime(2013, 5, 21, 11, 48, 55), 0.143977418710424, False, 'best']
['rachella_m', 202560999, 'impression', '2', 240877206L, datetime.datetime(2013, 5, 21, 11, 49, 27), 0.317371838913697, False, 'best']
['rachella_m', 202560999, 'impression', '3', 240871136L, datetime.datetime(2013, 5, 21, 11, 49, 27), 0.143977418710424, False, 'best']
['rachella_m', 202560999, 'impression', '5', 240873516L, datetime.datetime(2013, 5, 21, 11, 49, 27), 0.125565876835098, False, 'best']
['rachella_m', 202560999, 'impression', '1', 240904831L, datetime.datetime(2013, 5, 21, 11, 49, 27), 0.36842695549896, False, 'best']
['rachella_m', 202560999, 'impression', '4', 240896278L, datetime.datetime(2013, 5, 21, 11, 49, 27), 0.134063134662772, False, 'best']
['rachella_m', 202560999, 'impression', '1', 240904831L, datetime.datetime(2013, 5, 21, 11, 49, 42), 0.36842695549896, False, 'best']

