['vj-kumar', 202582601, 'impression', '1', 241335019L, datetime.datetime(2013, 5, 27, 3, 27, 32), 0.0844370178809951, False, 'best']
['vj-kumar', 202582601, 'impression', '3', 241321904L, datetime.datetime(2013, 5, 27, 3, 27, 32), 0.0257871291265672, False, 'best']
['vj-kumar', 202582601, 'impression', '2', 241320374L, datetime.datetime(2013, 5, 27, 3, 27, 32), 0.074433928221965, False, 'best']
['vj-kumar', 202582601, 'impression', '4', 241320561L, datetime.datetime(2013, 5, 27, 3, 27, 32), 0.0118575292659005, False, 'best']
['vj-kumar', 202582601, 'impression', '5', 241326736L, datetime.datetime(2013, 5, 27, 3, 27, 32), 0.0083247104308545, False, 'best']
['vj-kumar', 202582601, 'impression', '4', 241320561L, datetime.datetime(2013, 5, 27, 3, 29, 43), 0.0118575292659005, False, 'best']
['vj-kumar', 202582601, 'impression', '1', 241335019L, datetime.datetime(2013, 5, 27, 3, 29, 43), 0.0844370178809951, False, 'best']
['vj-kumar', 202582601, 'impression', '3', 241321904L, datetime.datetime(2013, 5, 27, 3, 29, 43), 0.0257871291265672, False, 'best']
['vj-kumar', 202582601, 'impression', '2', 241320374L, datetime.datetime(2013, 5, 27, 3, 29, 43), 0.074433928221965, False, 'best']
['vj-kumar', 202582601, 'impression', '5', 241326736L, datetime.datetime(2013, 5, 27, 3, 29, 43), 0.0083247104308545, False, 'best']
['vj-kumar', 202582601, 'impression', '1', 241335019L, datetime.datetime(2013, 5, 27, 3, 31, 35), 0.0844370178809951, False, 'best']
['vj-kumar', 202582601, 'impression', '5', 241326736L, datetime.datetime(2013, 5, 27, 3, 31, 35), 0.0083247104308545, False, 'best']
['vj-kumar', 202582601, 'impression', '4', 241320561L, datetime.datetime(2013, 5, 27, 3, 31, 35), 0.0118575292659005, False, 'best']
['vj-kumar', 202582601, 'impression', '2', 241320374L, datetime.datetime(2013, 5, 27, 3, 31, 35), 0.074433928221965, False, 'best']
['vj-kumar', 202582601, 'impression', '3', 241321904L, datetime.datetime(2013, 5, 27, 3, 31, 35), 0.0257871291265672, False, 'best']

['vj-kumar', 202582601, 'impression', '1', 241335019L, datetime.datetime(2013, 5, 27, 16, 21, 19), 0.0844370178809951, False, 'best']
['vj-kumar', 202582601, 'impression', '4', 241326736L, datetime.datetime(2013, 5, 27, 16, 21, 19), 0.0083247104308545, False, 'best']
['vj-kumar', 202582601, 'impression', '3', 241320561L, datetime.datetime(2013, 5, 27, 16, 21, 19), 0.0118575292659005, False, 'best']
['vj-kumar', 202582601, 'impression', '2', 241321904L, datetime.datetime(2013, 5, 27, 16, 21, 19), 0.0257871291265672, False, 'best']
['vj-kumar', 202582601, 'impression', '3', 241320561L, datetime.datetime(2013, 5, 27, 16, 30), 0.0118575292659005, False, 'best']
['vj-kumar', 202582601, 'impression', '4', 241326736L, datetime.datetime(2013, 5, 27, 16, 30), 0.0083247104308545, False, 'best']
['vj-kumar', 202582601, 'impression', '2', 241321904L, datetime.datetime(2013, 5, 27, 16, 30), 0.0257871291265672, False, 'best']
['vj-kumar', 202582601, 'impression', '1', 241335019L, datetime.datetime(2013, 5, 27, 16, 30), 0.0844370178809951, False, 'best']

