['timlorrainej', 202562424, 'view_full_application_via_name', '2', 240933383L, datetime.datetime(2013, 5, 22, 0, 56, 53), 0.0591886154640358, False, 'time']
['timlorrainej', 202562424, 'impression', '3', 240909963L, datetime.datetime(2013, 5, 22, 0, 57, 17), 0.0591478008082896, False, 'time']
['timlorrainej', 202562424, 'impression', '6', 240906534L, datetime.datetime(2013, 5, 22, 0, 57, 17), 0.241948460402404, False, 'time']
['timlorrainej', 202562424, 'impression', '1', 240939708L, datetime.datetime(2013, 5, 22, 0, 57, 17), 0.212523181086334, True, 'time']
['timlorrainej', 202562424, 'impression', '4', 240908726L, datetime.datetime(2013, 5, 22, 0, 57, 17), 0.079684676192689, False, 'time']
['timlorrainej', 202562424, 'impression', '5', 240907636L, datetime.datetime(2013, 5, 22, 0, 57, 17), 0.0242598536799209, False, 'time']
['timlorrainej', 202562424, 'impression', '2', 240933383L, datetime.datetime(2013, 5, 22, 0, 57, 17), 0.0591886154640358, False, 'time']
['timlorrainej', 202562424, 'impression', '7', 240905657L, datetime.datetime(2013, 5, 22, 0, 57, 17), 0.0763474962523902, False, 'time']
['timlorrainej', 202562424, 'view_full_application_via_name', '1', 240939708L, datetime.datetime(2013, 5, 22, 0, 57, 19), 0.212523181086334, True, 'time']
['timlorrainej', 202562424, 'impression', '7', 240905657L, datetime.datetime(2013, 5, 22, 1, 2, 36), 0.0763474962523902, False, 'time']
['timlorrainej', 202562424, 'impression', '5', 240907636L, datetime.datetime(2013, 5, 22, 1, 2, 36), 0.0242598536799209, False, 'time']
['timlorrainej', 202562424, 'impression', '2', 240933383L, datetime.datetime(2013, 5, 22, 1, 2, 36), 0.0591886154640358, False, 'time']
['timlorrainej', 202562424, 'impression', '1', 240939708L, datetime.datetime(2013, 5, 22, 1, 2, 36), 0.212523181086334, True, 'time']
['timlorrainej', 202562424, 'impression', '3', 240909963L, datetime.datetime(2013, 5, 22, 1, 2, 36), 0.0591478008082896, False, 'time']
['timlorrainej', 202562424, 'impression', '4', 240908726L, datetime.datetime(2013, 5, 22, 1, 2, 36), 0.079684676192689, False, 'time']
['timlorrainej', 202562424, 'impression', '6', 240906534L, datetime.datetime(2013, 5, 22, 1, 2, 36), 0.241948460402404, False, 'time']
['timlorrainej', 202562424, 'shortlist', '1', 240939708L, datetime.datetime(2013, 5, 22, 1, 2, 40), 0.212523181086334, True, 'time']
['timlorrainej', 202562424, 'shortlist', '7', 240905657L, datetime.datetime(2013, 5, 22, 1, 2, 50), 0.0763474962523902, False, 'time']
['timlorrainej', 202562424, 'impression', '7', 240905657L, datetime.datetime(2013, 5, 22, 1, 3, 37), 0.0763474962523902, False, 'time']
['timlorrainej', 202562424, 'impression', '5', 240907636L, datetime.datetime(2013, 5, 22, 1, 3, 37), 0.0242598536799209, False, 'time']
['timlorrainej', 202562424, 'impression', '6', 240906534L, datetime.datetime(2013, 5, 22, 1, 3, 37), 0.241948460402404, False, 'time']
['timlorrainej', 202562424, 'impression', '1', 240939708L, datetime.datetime(2013, 5, 22, 1, 3, 37), 0.212523181086334, True, 'time']
['timlorrainej', 202562424, 'impression', '3', 240909963L, datetime.datetime(2013, 5, 22, 1, 3, 37), 0.0591478008082896, False, 'time']
