['garvin-nathaniel', 202594136, 'impression', '2', 241573912L, datetime.datetime(2013, 5, 29, 12, 29, 29), 0.161761824990924, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '4', 241573679L, datetime.datetime(2013, 5, 29, 12, 29, 29), 0.103571415141858, False, 'best']
['garvin-nathaniel', 202594136, 'view_full_application_via_name', '2', 241573912L, datetime.datetime(2013, 5, 29, 12, 29, 33), 0.161761824990924, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '2', 241573912L, datetime.datetime(2013, 5, 29, 12, 29, 57), 0.161761824990924, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '6', 241573662L, datetime.datetime(2013, 5, 29, 12, 29, 57), 0.0719350969962555, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '3', 241576549L, datetime.datetime(2013, 5, 29, 12, 29, 57), 0.148078732873013, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '1', 241578436L, datetime.datetime(2013, 5, 29, 12, 29, 57), 0.336929224349291, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '5', 241575977L, datetime.datetime(2013, 5, 29, 12, 29, 57), 0.0958347679574493, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '4', 241573679L, datetime.datetime(2013, 5, 29, 12, 29, 57), 0.103571415141858, False, 'best']
['garvin-nathaniel', 202594136, 'expand_tile', '1', 241578436L, datetime.datetime(2013, 5, 29, 12, 30, 3), 0.336929224349291, False, 'best']
['garvin-nathaniel', 202594136, 'view_full_application', '1', 241578436L, datetime.datetime(2013, 5, 29, 12, 30, 17), 0.336929224349291, False, 'best']

['garvin-nathaniel', 202594136, 'impression', '4', 241581794L, datetime.datetime(2013, 5, 29, 13, 1, 19), 0.0936740363982235, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '5', 241573662L, datetime.datetime(2013, 5, 29, 13, 1, 19), 0.0719350969962555, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '3', 241573679L, datetime.datetime(2013, 5, 29, 13, 1, 19), 0.103571415141858, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '2', 241582098L, datetime.datetime(2013, 5, 29, 13, 1, 19), 0.292195863487213, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '1', 241578436L, datetime.datetime(2013, 5, 29, 13, 1, 19), 0.336929224349291, False, 'best']
