['maggie21', 202585218, 'impression', '5', 241394554L, datetime.datetime(2013, 5, 27, 13, 21, 31), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '3', 241392656L, datetime.datetime(2013, 5, 27, 13, 21, 31), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '2', 241379815L, datetime.datetime(2013, 5, 27, 13, 21, 31), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '1', 241384736L, datetime.datetime(2013, 5, 27, 13, 21, 58), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '6', 241381520L, datetime.datetime(2013, 5, 27, 13, 23, 24), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '5', 241394554L, datetime.datetime(2013, 5, 27, 13, 23, 24), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '3', 241392656L, datetime.datetime(2013, 5, 27, 13, 23, 24), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '2', 241379815L, datetime.datetime(2013, 5, 27, 13, 23, 24), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '4', 241398343L, datetime.datetime(2013, 5, 27, 13, 23, 24), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '1', 241384736L, datetime.datetime(2013, 5, 27, 13, 23, 24), 0.209018952997397, False, 'best']

['maggie21', 202585218, 'impression', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '11', 241381520L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '6', 241417205L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.0940890145221737, False, 'best']
['maggie21', 202585218, 'impression', '1', 241405305L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'impression', '7', 241411290L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'impression', '5', 241392656L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '3', 241379815L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '4', 241413701L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.159679199489183, False, 'best']
['maggie21', 202585218, 'impression', '2', 241384736L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '8', 241417745L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'impression', '10', 241394554L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '1', 241405305L, datetime.datetime(2013, 5, 27, 21, 42, 47), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'impression', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '7', 241411290L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'impression', '6', 241417205L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.0940890145221737, False, 'best']
['maggie21', 202585218, 'impression', '11', 241381520L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '4', 241413701L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.159679199489183, False, 'best']
['maggie21', 202585218, 'impression', '2', 241384736L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '10', 241394554L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '8', 241417745L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'impression', '1', 241405305L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'impression', '5', 241392656L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '3', 241379815L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'shortlist', '1', 241405305L, datetime.datetime(2013, 5, 27, 21, 46, 36), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'expand_tile', '7', 241411290L, datetime.datetime(2013, 5, 27, 21, 46, 59), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'view_full_application', '7', 241411290L, datetime.datetime(2013, 5, 27, 21, 47, 18), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'impression', '11', 241381520L, datetime.datetime(2013, 5, 27, 21, 47, 43), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '6', 241417205L, datetime.datetime(2013, 5, 27, 21, 47, 43), 0.0940890145221737, False, 'best']
['maggie21', 202585218, 'impression', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 47, 43), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '10', 241394554L, datetime.datetime(2013, 5, 27, 21, 47, 43), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '8', 241417745L, datetime.datetime(2013, 5, 27, 21, 47, 43), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'impression', '1', 241405305L, datetime.datetime(2013, 5, 27, 21, 47, 43), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'impression', '7', 241411290L, datetime.datetime(2013, 5, 27, 21, 47, 43), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'impression', '4', 241413701L, datetime.datetime(2013, 5, 27, 21, 47, 43), 0.159679199489183, False, 'best']
['maggie21', 202585218, 'impression', '2', 241384736L, datetime.datetime(2013, 5, 27, 21, 47, 43), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '3', 241379815L, datetime.datetime(2013, 5, 27, 21, 47, 43), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '5', 241392656L, datetime.datetime(2013, 5, 27, 21, 47, 43), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'expand_tile', '8', 241417745L, datetime.datetime(2013, 5, 27, 21, 47, 49), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '8', 241417745L, datetime.datetime(2013, 5, 27, 21, 47, 50), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'impression', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 48, 24), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '8', 241417745L, datetime.datetime(2013, 5, 27, 21, 48, 24), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'impression', '10', 241394554L, datetime.datetime(2013, 5, 27, 21, 48, 24), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '7', 241411290L, datetime.datetime(2013, 5, 27, 21, 48, 24), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'impression', '1', 241405305L, datetime.datetime(2013, 5, 27, 21, 48, 24), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'impression', '6', 241417205L, datetime.datetime(2013, 5, 27, 21, 48, 24), 0.0940890145221737, False, 'best']
['maggie21', 202585218, 'impression', '11', 241381520L, datetime.datetime(2013, 5, 27, 21, 48, 24), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '3', 241379815L, datetime.datetime(2013, 5, 27, 21, 48, 24), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '5', 241392656L, datetime.datetime(2013, 5, 27, 21, 48, 24), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '2', 241384736L, datetime.datetime(2013, 5, 27, 21, 48, 24), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '4', 241413701L, datetime.datetime(2013, 5, 27, 21, 48, 24), 0.159679199489183, False, 'best']
['maggie21', 202585218, 'expand_tile', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 48, 26), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'expand_tile', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 48, 28), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'shortlist', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 48, 28), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'expand_tile', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 48, 34), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'unshortlist', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 48, 34), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'shortlist', '8', 241417745L, datetime.datetime(2013, 5, 27, 21, 48, 45), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '11', 241381520L, datetime.datetime(2013, 5, 27, 21, 48, 57), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '7', 241411290L, datetime.datetime(2013, 5, 27, 21, 49, 24), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'impression', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 49, 24), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '1', 241405305L, datetime.datetime(2013, 5, 27, 21, 49, 24), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'impression', '5', 241392656L, datetime.datetime(2013, 5, 27, 21, 49, 24), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '3', 241379815L, datetime.datetime(2013, 5, 27, 21, 49, 24), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '4', 241413701L, datetime.datetime(2013, 5, 27, 21, 49, 24), 0.159679199489183, False, 'best']
['maggie21', 202585218, 'impression', '2', 241384736L, datetime.datetime(2013, 5, 27, 21, 49, 24), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '11', 241381520L, datetime.datetime(2013, 5, 27, 21, 49, 24), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '6', 241417205L, datetime.datetime(2013, 5, 27, 21, 49, 24), 0.0940890145221737, False, 'best']
['maggie21', 202585218, 'impression', '8', 241417745L, datetime.datetime(2013, 5, 27, 21, 49, 24), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'impression', '10', 241394554L, datetime.datetime(2013, 5, 27, 21, 49, 24), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'shortlist', '11', 241381520L, datetime.datetime(2013, 5, 27, 21, 49, 26), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '7', 241411290L, datetime.datetime(2013, 5, 27, 21, 49, 38), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'impression', '8', 241417745L, datetime.datetime(2013, 5, 27, 21, 49, 57), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'impression', '10', 241394554L, datetime.datetime(2013, 5, 27, 21, 49, 57), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '11', 241381520L, datetime.datetime(2013, 5, 27, 21, 49, 57), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '6', 241417205L, datetime.datetime(2013, 5, 27, 21, 49, 57), 0.0940890145221737, False, 'best']
['maggie21', 202585218, 'impression', '3', 241379815L, datetime.datetime(2013, 5, 27, 21, 49, 57), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '5', 241392656L, datetime.datetime(2013, 5, 27, 21, 49, 57), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '7', 241411290L, datetime.datetime(2013, 5, 27, 21, 49, 57), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'impression', '2', 241384736L, datetime.datetime(2013, 5, 27, 21, 49, 57), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '4', 241413701L, datetime.datetime(2013, 5, 27, 21, 49, 57), 0.159679199489183, False, 'best']
['maggie21', 202585218, 'impression', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 49, 57), 0.0718458119087481, False, 'best']
