['mark_k_ent', 202594803, 'impression', '14', 241588553L, datetime.datetime(2013, 5, 29, 15, 3, 6), 0.071640942314212, False, 'best']
['mark_k_ent', 202594803, 'impression', '10', 241588422L, datetime.datetime(2013, 5, 29, 15, 3, 6), 0.0825726717352867, False, 'best']
['mark_k_ent', 202594803, 'impression', '4', 241588291L, datetime.datetime(2013, 5, 29, 15, 3, 6), 0.172639850685429, False, 'best']
['mark_k_ent', 202594803, 'impression', '11', 241589415L, datetime.datetime(2013, 5, 29, 15, 3, 6), 0.0801196819896264, False, 'best']
['mark_k_ent', 202594803, 'impression', '2', 241589246L, datetime.datetime(2013, 5, 29, 15, 3, 6), 0.202040477017451, False, 'best']
['mark_k_ent', 202594803, 'impression', '7', 241588532L, datetime.datetime(2013, 5, 29, 15, 3, 6), 0.0969721367612015, False, 'best']
['mark_k_ent', 202594803, 'impression', '12', 241588311L, datetime.datetime(2013, 5, 29, 15, 3, 6), 0.077146818607937, False, 'best']
['mark_k_ent', 202594803, 'impression', '20', 241590596L, datetime.datetime(2013, 5, 29, 15, 3, 6), 0.0580777835241525, False, 'best']
['mark_k_ent', 202594803, 'impression', '6', 241590652L, datetime.datetime(2013, 5, 29, 15, 3, 6), 0.112851125928158, False, 'best']
['mark_k_ent', 202594803, 'impression', '18', 241589560L, datetime.datetime(2013, 5, 29, 15, 3, 6), 0.0600270837170343, False, 'best']
['mark_k_ent', 202594803, 'impression', '19', 241590276L, datetime.datetime(2013, 5, 29, 15, 3, 6), 0.0586749414106057, False, 'best']
['mark_k_ent', 202594803, 'impression', '9', 241589368L, datetime.datetime(2013, 5, 29, 15, 3, 6), 0.0887262209635805, False, 'best']
['mark_k_ent', 202594803, 'impression', '5', 241590775L, datetime.datetime(2013, 5, 29, 15, 3, 6), 0.114822965686983, False, 'best']
['mark_k_ent', 202594803, 'impression', '1', 241588725L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.203754849728543, False, 'best']
['mark_k_ent', 202594803, 'impression', '17', 241590765L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.0673065535995659, False, 'best']
['mark_k_ent', 202594803, 'impression', '7', 241590652L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.112851125928158, False, 'best']
['mark_k_ent', 202594803, 'impression', '20', 241589560L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.0600270837170343, False, 'best']
['mark_k_ent', 202594803, 'impression', '13', 241588311L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.077146818607937, False, 'best']
['mark_k_ent', 202594803, 'impression', '8', 241588532L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.0969721367612015, False, 'best']
['mark_k_ent', 202594803, 'impression', '2', 241589246L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.202040477017451, False, 'best']
['mark_k_ent', 202594803, 'impression', '6', 241590775L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.114822965686983, False, 'best']
['mark_k_ent', 202594803, 'impression', '10', 241589368L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.0887262209635805, False, 'best']
['mark_k_ent', 202594803, 'impression', '12', 241589415L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.0801196819896264, False, 'best']
['mark_k_ent', 202594803, 'impression', '4', 241588291L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.172639850685429, False, 'best']
['mark_k_ent', 202594803, 'impression', '3', 241588482L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.187184940941567, False, 'best']
['mark_k_ent', 202594803, 'impression', '9', 241588357L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.0899365252360584, False, 'best']
['mark_k_ent', 202594803, 'impression', '5', 241591532L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.14100865974599, False, 'best']
['mark_k_ent', 202594803, 'impression', '16', 241588424L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.071569371339364, False, 'best']
['mark_k_ent', 202594803, 'impression', '19', 241591207L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.0654316428682919, False, 'best']
['mark_k_ent', 202594803, 'impression', '18', 241590358L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.0666817188569143, False, 'best']
['mark_k_ent', 202594803, 'impression', '14', 241588262L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.0744238408577049, False, 'best']
['mark_k_ent', 202594803, 'impression', '15', 241588553L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.071640942314212, False, 'best']
['mark_k_ent', 202594803, 'impression', '11', 241588422L, datetime.datetime(2013, 5, 29, 15, 17, 3), 0.0825726717352867, False, 'best']
['mark_k_ent', 202594803, 'impression', '12', 241590297L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0559548671349759, False, 'time']
['mark_k_ent', 202594803, 'impression', '15', 241589885L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0279022163848775, False, 'time']
['mark_k_ent', 202594803, 'impression', '20', 241589246L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.202040477017451, False, 'time']
['mark_k_ent', 202594803, 'impression', '8', 241590652L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.112851125928158, False, 'time']
['mark_k_ent', 202594803, 'impression', '9', 241590596L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0580777835241525, False, 'time']
['mark_k_ent', 202594803, 'impression', '4', 241591070L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0490251412153522, False, 'time']
['mark_k_ent', 202594803, 'impression', '16', 241589560L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0600270837170343, False, 'time']
['mark_k_ent', 202594803, 'impression', '17', 241589415L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0801196819896264, False, 'time']
['mark_k_ent', 202594803, 'impression', '6', 241590765L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0673065535995659, False, 'time']
['mark_k_ent', 202594803, 'impression', '11', 241590358L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0666817188569143, False, 'time']
['mark_k_ent', 202594803, 'impression', '3', 241591207L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0654316428682919, False, 'time']
['mark_k_ent', 202594803, 'impression', '13', 241590294L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0253122372811866, False, 'time']
['mark_k_ent', 202594803, 'impression', '10', 241590486L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0246227431978348, False, 'time']
['mark_k_ent', 202594803, 'impression', '19', 241589281L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0438161905268458, False, 'time']
['mark_k_ent', 202594803, 'impression', '1', 241591694L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0270867340449162, False, 'time']
['mark_k_ent', 202594803, 'impression', '14', 241590276L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0586749414106057, False, 'time']
['mark_k_ent', 202594803, 'impression', '5', 241590775L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.114822965686983, False, 'time']
['mark_k_ent', 202594803, 'impression', '18', 241589368L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.0887262209635805, False, 'time']
['mark_k_ent', 202594803, 'impression', '2', 241591532L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.14100865974599, False, 'time']
['mark_k_ent', 202594803, 'impression', '7', 241590723L, datetime.datetime(2013, 5, 29, 15, 17, 55), 0.030757293321004, False, 'time']
['mark_k_ent', 202594803, 'expand_tile', '1', 241591694L, datetime.datetime(2013, 5, 29, 15, 17, 59), 0.0270867340449162, False, 'time']
['mark_k_ent', 202594803, 'expand_tile', '3', 241591207L, datetime.datetime(2013, 5, 29, 15, 18, 15), 0.0654316428682919, False, 'time']
['mark_k_ent', 202594803, 'expand_tile', '7', 241590723L, datetime.datetime(2013, 5, 29, 15, 18, 34), 0.030757293321004, False, 'time']
['mark_k_ent', 202594803, 'expand_tile', '8', 241590652L, datetime.datetime(2013, 5, 29, 15, 18, 52), 0.112851125928158, False, 'time']
['mark_k_ent', 202594803, 'impression', '17', 241588424L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.071569371339364, False, 'best']
['mark_k_ent', 202594803, 'impression', '5', 241591532L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.14100865974599, False, 'best']
['mark_k_ent', 202594803, 'impression', '7', 241590652L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.112851125928158, False, 'best']
['mark_k_ent', 202594803, 'impression', '14', 241588311L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.077146818607937, False, 'best']
['mark_k_ent', 202594803, 'impression', '9', 241588532L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.0969721367612015, False, 'best']
['mark_k_ent', 202594803, 'impression', '2', 241589246L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.202040477017451, False, 'best']
['mark_k_ent', 202594803, 'impression', '11', 241589368L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.0887262209635805, False, 'best']
['mark_k_ent', 202594803, 'impression', '6', 241590775L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.114822965686983, False, 'best']
['mark_k_ent', 202594803, 'impression', '8', 241592042L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.104527728907713, False, 'best']
['mark_k_ent', 202594803, 'impression', '3', 241588482L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.187184940941567, False, 'best']
['mark_k_ent', 202594803, 'impression', '10', 241588357L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.0899365252360584, False, 'best']
['mark_k_ent', 202594803, 'impression', '4', 241588291L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.172639850685429, False, 'best']
['mark_k_ent', 202594803, 'impression', '13', 241589415L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.0801196819896264, False, 'best']
['mark_k_ent', 202594803, 'impression', '19', 241590358L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.0666817188569143, False, 'best']
['mark_k_ent', 202594803, 'impression', '16', 241588553L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.071640942314212, False, 'best']
['mark_k_ent', 202594803, 'impression', '20', 241591207L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.0654316428682919, False, 'best']
['mark_k_ent', 202594803, 'impression', '15', 241588262L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.0744238408577049, False, 'best']
['mark_k_ent', 202594803, 'impression', '12', 241588422L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.0825726717352867, False, 'best']
['mark_k_ent', 202594803, 'impression', '1', 241588725L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.203754849728543, False, 'best']
['mark_k_ent', 202594803, 'impression', '18', 241590765L, datetime.datetime(2013, 5, 29, 15, 24, 17), 0.0673065535995659, False, 'best']
['mark_k_ent', 202594803, 'expand_tile', '5', 241591532L, datetime.datetime(2013, 5, 29, 15, 24, 23), 0.14100865974599, False, 'best']
['mark_k_ent', 202594803, 'expand_tile', '4', 241588291L, datetime.datetime(2013, 5, 29, 15, 24, 27), 0.172639850685429, False, 'best']
['mark_k_ent', 202594803, 'expand_tile', '3', 241588482L, datetime.datetime(2013, 5, 29, 15, 24, 30), 0.187184940941567, False, 'best']
['mark_k_ent', 202594803, 'expand_tile', '2', 241589246L, datetime.datetime(2013, 5, 29, 15, 24, 38), 0.202040477017451, False, 'best']
['mark_k_ent', 202594803, 'impression', '2', 241589246L, datetime.datetime(2013, 5, 29, 15, 24, 39), 0.202040477017451, False, 'best']
['mark_k_ent', 202594803, 'expand_tile', '1', 241588725L, datetime.datetime(2013, 5, 29, 15, 24, 40), 0.203754849728543, False, 'best']
['mark_k_ent', 202594803, 'impression', '17', 241588553L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.071640942314212, False, 'best']
['mark_k_ent', 202594803, 'impression', '13', 241588422L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.0825726717352867, False, 'best']
['mark_k_ent', 202594803, 'impression', '20', 241590358L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.0666817188569143, False, 'best']
['mark_k_ent', 202594803, 'impression', '16', 241588262L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.0744238408577049, False, 'best']
['mark_k_ent', 202594803, 'impression', '14', 241589415L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.0801196819896264, False, 'best']
['mark_k_ent', 202594803, 'impression', '4', 241588291L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.172639850685429, False, 'best']
['mark_k_ent', 202594803, 'impression', '15', 241588311L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.077146818607937, False, 'best']
['mark_k_ent', 202594803, 'impression', '10', 241588532L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.0969721367612015, False, 'best']
['mark_k_ent', 202594803, 'impression', '2', 241589246L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.202040477017451, False, 'best']
['mark_k_ent', 202594803, 'impression', '7', 241590652L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.112851125928158, False, 'best']
['mark_k_ent', 202594803, 'impression', '3', 241588482L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.187184940941567, False, 'best']
['mark_k_ent', 202594803, 'impression', '11', 241588357L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.0899365252360584, False, 'best']
['mark_k_ent', 202594803, 'impression', '9', 241592381L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.102351709204166, False, 'best']
['mark_k_ent', 202594803, 'impression', '12', 241589368L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.0887262209635805, False, 'best']
['mark_k_ent', 202594803, 'impression', '8', 241592042L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.104527728907713, False, 'best']
['mark_k_ent', 202594803, 'impression', '6', 241590775L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.114822965686983, False, 'best']
['mark_k_ent', 202594803, 'impression', '5', 241591532L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.14100865974599, False, 'best']
['mark_k_ent', 202594803, 'impression', '18', 241588424L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.071569371339364, False, 'best']
['mark_k_ent', 202594803, 'impression', '1', 241588725L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.203754849728543, False, 'best']
['mark_k_ent', 202594803, 'impression', '19', 241590765L, datetime.datetime(2013, 5, 29, 15, 28, 33), 0.0673065535995659, False, 'best']
['mark_k_ent', 202594803, 'impression', '16', 241590294L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0253122372811866, False, 'time']
['mark_k_ent', 202594803, 'impression', '14', 241590358L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0666817188569143, False, 'time']
['mark_k_ent', 202594803, 'impression', '6', 241591207L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0654316428682919, False, 'time']
['mark_k_ent', 202594803, 'impression', '1', 241592518L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0183656151332102, False, 'time']
['mark_k_ent', 202594803, 'impression', '13', 241590486L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0246227431978348, False, 'time']
['mark_k_ent', 202594803, 'impression', '19', 241589560L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0600270837170343, False, 'time']
['mark_k_ent', 202594803, 'impression', '11', 241590652L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.112851125928158, False, 'time']
['mark_k_ent', 202594803, 'impression', '18', 241589885L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0279022163848775, False, 'time']
['mark_k_ent', 202594803, 'impression', '12', 241590596L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0580777835241525, False, 'time']
['mark_k_ent', 202594803, 'impression', '7', 241591070L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0490251412153522, False, 'time']
['mark_k_ent', 202594803, 'impression', '9', 241590765L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0673065535995659, False, 'time']
['mark_k_ent', 202594803, 'impression', '15', 241590297L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0559548671349759, False, 'time']
['mark_k_ent', 202594803, 'impression', '17', 241590276L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0586749414106057, False, 'time']
['mark_k_ent', 202594803, 'impression', '3', 241592042L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.104527728907713, False, 'time']
['mark_k_ent', 202594803, 'impression', '8', 241590775L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.114822965686983, False, 'time']
['mark_k_ent', 202594803, 'impression', '20', 241589415L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0801196819896264, False, 'time']
['mark_k_ent', 202594803, 'impression', '2', 241592381L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.102351709204166, False, 'time']
['mark_k_ent', 202594803, 'impression', '4', 241591694L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.0270867340449162, False, 'time']
['mark_k_ent', 202594803, 'impression', '5', 241591532L, datetime.datetime(2013, 5, 29, 15, 28, 37), 0.14100865974599, False, 'time']
