['sbtb', 202565454, 'view_full_application_via_name', '2', 240963701L, datetime.datetime(2013, 5, 22, 4, 44, 45), 0.219476177431865, False, 'best']
['sbtb', 202565454, 'impression', '2', 240963701L, datetime.datetime(2013, 5, 22, 4, 53, 5), 0.219476177431865, False, 'best']
['sbtb', 202565454, 'impression', '3', 240973309L, datetime.datetime(2013, 5, 22, 4, 53, 5), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 22, 4, 53, 5), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '2', 240963701L, datetime.datetime(2013, 5, 22, 5, 0, 56), 0.219476177431865, False, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 22, 5, 0, 56), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '3', 240973309L, datetime.datetime(2013, 5, 22, 5, 0, 56), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '2', 240963701L, datetime.datetime(2013, 5, 22, 5, 1), 0.219476177431865, False, 'best']
['sbtb', 202565454, 'view_full_application_via_name', '2', 240963701L, datetime.datetime(2013, 5, 22, 5, 1, 3), 0.219476177431865, False, 'best']
['sbtb', 202565454, 'impression', '2', 240973309L, datetime.datetime(2013, 5, 22, 5, 1, 25), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 22, 5, 1, 25), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'view_full_application_via_name', '2', 240973309L, datetime.datetime(2013, 5, 22, 5, 1, 34), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 22, 5, 14, 37), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982759L, datetime.datetime(2013, 5, 22, 5, 14, 37), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', '3', 240973309L, datetime.datetime(2013, 5, 22, 5, 14, 37), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'shortlist', '2', 240982759L, datetime.datetime(2013, 5, 22, 5, 14, 48), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', '2', 240982759L, datetime.datetime(2013, 5, 22, 5, 15, 4), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', None, 240982759L, datetime.datetime(2013, 5, 22, 5, 15, 4), 0.215266485774516, True, 'best']

['sbtb', 202565454, 'impression', '3', 240973309L, datetime.datetime(2013, 5, 22, 6, 12, 25), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982759L, datetime.datetime(2013, 5, 22, 6, 12, 25), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 22, 6, 12, 25), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982759L, datetime.datetime(2013, 5, 22, 6, 12, 51), 0.215266485774516, True, 'best']

['sbtb', 202565454, 'impression', '4', 240994637L, datetime.datetime(2013, 5, 22, 13, 36, 29), 0.0567930060881193, False, 'best']
['sbtb', 202565454, 'impression', '5', 240973309L, datetime.datetime(2013, 5, 22, 13, 36, 29), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 22, 13, 36, 29), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 22, 13, 36, 29), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '3', 240982759L, datetime.datetime(2013, 5, 22, 13, 36, 29), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'view_full_application_via_name', '4', 240994637L, datetime.datetime(2013, 5, 22, 13, 36, 42), 0.0567930060881193, False, 'best']

['sbtb', 202565454, 'impression', '3', 240982759L, datetime.datetime(2013, 5, 22, 18, 20, 33), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', '4', 240994637L, datetime.datetime(2013, 5, 22, 18, 20, 33), 0.0567930060881193, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 22, 18, 20, 33), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 22, 18, 20, 33), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'impression', '5', 240973309L, datetime.datetime(2013, 5, 22, 18, 20, 33), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 22, 18, 20, 33), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'shortlist', '2', 240982654L, datetime.datetime(2013, 5, 22, 18, 20, 36), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'view_full_application_via_name', '4', 240994637L, datetime.datetime(2013, 5, 22, 18, 20, 39), 0.0567930060881193, False, 'best']

['sbtb', 202565454, 'impression', '4', 240994637L, datetime.datetime(2013, 5, 22, 19, 18, 13), 0.0567930060881193, False, 'best']
