['beautigalleria', 202587869, 'impression', '6', 241437649L, datetime.datetime(2013, 5, 28, 0, 17, 4), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241438084L, datetime.datetime(2013, 5, 28, 0, 17, 4), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241437791L, datetime.datetime(2013, 5, 28, 0, 17, 4), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '6', 241437649L, datetime.datetime(2013, 5, 28, 0, 17, 20), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '5', 241437788L, datetime.datetime(2013, 5, 28, 0, 17, 27), 0.438962003866315, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241437791L, datetime.datetime(2013, 5, 28, 0, 18, 14), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '4', 241437791L, datetime.datetime(2013, 5, 28, 0, 18, 15), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241437791L, datetime.datetime(2013, 5, 28, 0, 18, 20), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '3', 241438084L, datetime.datetime(2013, 5, 28, 0, 18, 21), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'view_full_application', '3', 241438084L, datetime.datetime(2013, 5, 28, 0, 20, 42), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', '5', 241437791L, datetime.datetime(2013, 5, 28, 0, 22, 53), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241438084L, datetime.datetime(2013, 5, 28, 0, 22, 53), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241438159L, datetime.datetime(2013, 5, 28, 0, 22, 53), 0.330963003071732, False, 'time']
['beautigalleria', 202587869, 'impression', '6', 241437788L, datetime.datetime(2013, 5, 28, 0, 22, 53), 0.438962003866315, False, 'time']
['beautigalleria', 202587869, 'impression', '7', 241437649L, datetime.datetime(2013, 5, 28, 0, 22, 53), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241438677L, datetime.datetime(2013, 5, 28, 0, 22, 53), 0.290587830530605, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241438295L, datetime.datetime(2013, 5, 28, 0, 22, 53), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'shortlist', '4', 241438084L, datetime.datetime(2013, 5, 28, 0, 23), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241438084L, datetime.datetime(2013, 5, 28, 0, 23, 5), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', None, 241438084L, datetime.datetime(2013, 5, 28, 0, 23, 5), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '1', 241438677L, datetime.datetime(2013, 5, 28, 0, 23, 13), 0.290587830530605, False, 'time']
['beautigalleria', 202587869, 'view_full_application', '1', 241438677L, datetime.datetime(2013, 5, 28, 0, 23, 27), 0.290587830530605, False, 'time']
['beautigalleria', 202587869, 'impression', '6', 241437788L, datetime.datetime(2013, 5, 28, 0, 24, 31), 0.438962003866315, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241438159L, datetime.datetime(2013, 5, 28, 0, 24, 31), 0.330963003071732, False, 'time']
['beautigalleria', 202587869, 'impression', '7', 241437649L, datetime.datetime(2013, 5, 28, 0, 24, 31), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241438677L, datetime.datetime(2013, 5, 28, 0, 24, 31), 0.290587830530605, False, 'time']
['beautigalleria', 202587869, 'impression', '5', 241437791L, datetime.datetime(2013, 5, 28, 0, 24, 31), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241438084L, datetime.datetime(2013, 5, 28, 0, 24, 31), 0.308301404783085, False, 'time']
