['ksaekon', 202566584, 'impression', '2', 240979125L, datetime.datetime(2013, 5, 22, 4, 15, 4), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '1', 240979572L, datetime.datetime(2013, 5, 22, 4, 15, 12), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '2', 240979125L, datetime.datetime(2013, 5, 22, 4, 17, 32), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978940L, datetime.datetime(2013, 5, 22, 4, 17, 32), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '5', 240978205L, datetime.datetime(2013, 5, 22, 4, 17, 32), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240979572L, datetime.datetime(2013, 5, 22, 4, 17, 32), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '4', 240978752L, datetime.datetime(2013, 5, 22, 4, 17, 32), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '2', 240979125L, datetime.datetime(2013, 5, 22, 4, 17, 42), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240979125L, datetime.datetime(2013, 5, 22, 4, 18, 4), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978940L, datetime.datetime(2013, 5, 22, 4, 18, 4), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240979572L, datetime.datetime(2013, 5, 22, 4, 18, 4), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '5', 240978205L, datetime.datetime(2013, 5, 22, 4, 18, 4), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '4', 240978752L, datetime.datetime(2013, 5, 22, 4, 18, 4), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '1', 240979572L, datetime.datetime(2013, 5, 22, 4, 18, 8), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '4', 240978752L, datetime.datetime(2013, 5, 22, 4, 20, 14), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978940L, datetime.datetime(2013, 5, 22, 4, 20, 14), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240979125L, datetime.datetime(2013, 5, 22, 4, 20, 14), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '5', 240978205L, datetime.datetime(2013, 5, 22, 4, 20, 14), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240979572L, datetime.datetime(2013, 5, 22, 4, 20, 14), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '1', 240979572L, datetime.datetime(2013, 5, 22, 4, 20, 21), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '5', 240978205L, datetime.datetime(2013, 5, 22, 4, 20, 30), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240979572L, datetime.datetime(2013, 5, 22, 4, 20, 30), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '4', 240978752L, datetime.datetime(2013, 5, 22, 4, 20, 30), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978940L, datetime.datetime(2013, 5, 22, 4, 20, 30), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240979125L, datetime.datetime(2013, 5, 22, 4, 20, 30), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '3', 240978940L, datetime.datetime(2013, 5, 22, 4, 20, 39), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '4', 240978752L, datetime.datetime(2013, 5, 22, 4, 20, 46), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240979572L, datetime.datetime(2013, 5, 22, 4, 20, 46), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '5', 240978205L, datetime.datetime(2013, 5, 22, 4, 20, 46), 0.086234974356418, False, 'time']
