['ronaldscott1', 202586229, 'impression', '4', 241405499L, datetime.datetime(2013, 5, 27, 15, 5, 51), 0.172208972508843, False, 'time']
['ronaldscott1', 202586229, 'impression', '5', 241405211L, datetime.datetime(2013, 5, 27, 15, 5, 51), 0.321569572190138, False, 'time']
['ronaldscott1', 202586229, 'impression', '7', 241405035L, datetime.datetime(2013, 5, 27, 15, 5, 51), 0.230559689154909, False, 'time']
['ronaldscott1', 202586229, 'view_full_application_via_message', '1', 241407138L, datetime.datetime(2013, 5, 27, 15, 5, 55), 0.314306442718252, False, 'time']
['ronaldscott1', 202586229, 'impression', '2', 241406964L, datetime.datetime(2013, 5, 27, 15, 6, 4), 0.0985089512849753, False, 'time']
['ronaldscott1', 202586229, 'impression', '4', 241405499L, datetime.datetime(2013, 5, 27, 15, 6, 4), 0.172208972508843, False, 'time']
['ronaldscott1', 202586229, 'impression', '3', 241405704L, datetime.datetime(2013, 5, 27, 15, 6, 4), 0.204010878010415, False, 'time']
['ronaldscott1', 202586229, 'impression', '5', 241405211L, datetime.datetime(2013, 5, 27, 15, 6, 4), 0.321569572190138, False, 'time']
['ronaldscott1', 202586229, 'impression', '7', 241405035L, datetime.datetime(2013, 5, 27, 15, 6, 4), 0.230559689154909, False, 'time']
['ronaldscott1', 202586229, 'impression', '6', 241405197L, datetime.datetime(2013, 5, 27, 15, 6, 4), 0.207169997835564, False, 'time']
['ronaldscott1', 202586229, 'impression', '1', 241407138L, datetime.datetime(2013, 5, 27, 15, 6, 4), 0.314306442718252, False, 'time']
['ronaldscott1', 202586229, 'impression', '6', 241405197L, datetime.datetime(2013, 5, 27, 15, 6, 16), 0.207169997835564, False, 'time']
['ronaldscott1', 202586229, 'impression', '1', 241407138L, datetime.datetime(2013, 5, 27, 15, 6, 16), 0.314306442718252, False, 'time']
['ronaldscott1', 202586229, 'impression', '3', 241405704L, datetime.datetime(2013, 5, 27, 15, 6, 16), 0.204010878010415, False, 'time']
['ronaldscott1', 202586229, 'impression', '2', 241406964L, datetime.datetime(2013, 5, 27, 15, 6, 16), 0.0985089512849753, False, 'time']
['ronaldscott1', 202586229, 'impression', '4', 241405499L, datetime.datetime(2013, 5, 27, 15, 6, 16), 0.172208972508843, False, 'time']
['ronaldscott1', 202586229, 'impression', '5', 241405211L, datetime.datetime(2013, 5, 27, 15, 6, 16), 0.321569572190138, False, 'time']
['ronaldscott1', 202586229, 'impression', '7', 241405035L, datetime.datetime(2013, 5, 27, 15, 6, 16), 0.230559689154909, False, 'time']
['ronaldscott1', 202586229, 'impression', '7', 241405035L, datetime.datetime(2013, 5, 27, 15, 6, 22), 0.230559689154909, False, 'time']
['ronaldscott1', 202586229, 'impression', '5', 241405211L, datetime.datetime(2013, 5, 27, 15, 6, 22), 0.321569572190138, False, 'time']
['ronaldscott1', 202586229, 'impression', '4', 241405499L, datetime.datetime(2013, 5, 27, 15, 6, 22), 0.172208972508843, False, 'time']
['ronaldscott1', 202586229, 'impression', '3', 241405704L, datetime.datetime(2013, 5, 27, 15, 6, 22), 0.204010878010415, False, 'time']
['ronaldscott1', 202586229, 'impression', '2', 241406964L, datetime.datetime(2013, 5, 27, 15, 6, 22), 0.0985089512849753, False, 'time']
['ronaldscott1', 202586229, 'impression', '1', 241407138L, datetime.datetime(2013, 5, 27, 15, 6, 22), 0.314306442718252, False, 'time']
['ronaldscott1', 202586229, 'impression', '6', 241405197L, datetime.datetime(2013, 5, 27, 15, 6, 22), 0.207169997835564, False, 'time']
['ronaldscott1', 202586229, 'view_full_application_via_message', '5', 241405211L, datetime.datetime(2013, 5, 27, 15, 6, 27), 0.321569572190138, False, 'time']
['ronaldscott1', 202586229, 'impression', '4', 241405499L, datetime.datetime(2013, 5, 27, 15, 6, 36), 0.172208972508843, False, 'time']
['ronaldscott1', 202586229, 'impression', '2', 241406964L, datetime.datetime(2013, 5, 27, 15, 6, 36), 0.0985089512849753, False, 'time']
['ronaldscott1', 202586229, 'impression', '3', 241405704L, datetime.datetime(2013, 5, 27, 15, 6, 36), 0.204010878010415, False, 'time']
['ronaldscott1', 202586229, 'impression', '7', 241405035L, datetime.datetime(2013, 5, 27, 15, 6, 36), 0.230559689154909, False, 'time']
['ronaldscott1', 202586229, 'impression', '5', 241405211L, datetime.datetime(2013, 5, 27, 15, 6, 36), 0.321569572190138, False, 'time']
['ronaldscott1', 202586229, 'impression', '1', 241407138L, datetime.datetime(2013, 5, 27, 15, 6, 36), 0.314306442718252, False, 'time']
['ronaldscott1', 202586229, 'impression', '6', 241405197L, datetime.datetime(2013, 5, 27, 15, 6, 36), 0.207169997835564, False, 'time']
['ronaldscott1', 202586229, 'impression', '6', 241405197L, datetime.datetime(2013, 5, 27, 15, 6, 52), 0.207169997835564, False, 'time']
['ronaldscott1', 202586229, 'impression', '1', 241407138L, datetime.datetime(2013, 5, 27, 15, 6, 52), 0.314306442718252, False, 'time']
['ronaldscott1', 202586229, 'impression', '2', 241406964L, datetime.datetime(2013, 5, 27, 15, 6, 52), 0.0985089512849753, False, 'time']
['ronaldscott1', 202586229, 'impression', '3', 241405704L, datetime.datetime(2013, 5, 27, 15, 6, 52), 0.204010878010415, False, 'time']
['ronaldscott1', 202586229, 'impression', '4', 241405499L, datetime.datetime(2013, 5, 27, 15, 6, 52), 0.172208972508843, False, 'time']
['ronaldscott1', 202586229, 'impression', '5', 241405211L, datetime.datetime(2013, 5, 27, 15, 6, 52), 0.321569572190138, False, 'time']
['ronaldscott1', 202586229, 'impression', '7', 241405035L, datetime.datetime(2013, 5, 27, 15, 6, 52), 0.230559689154909, False, 'time']
['ronaldscott1', 202586229, 'impression', '7', 241405035L, datetime.datetime(2013, 5, 27, 15, 7, 4), 0.230559689154909, False, 'time']
['ronaldscott1', 202586229, 'impression', '2', 241406964L, datetime.datetime(2013, 5, 27, 15, 7, 4), 0.0985089512849753, False, 'time']
['ronaldscott1', 202586229, 'impression', '4', 241405499L, datetime.datetime(2013, 5, 27, 15, 7, 4), 0.172208972508843, False, 'time']
['ronaldscott1', 202586229, 'impression', '3', 241405704L, datetime.datetime(2013, 5, 27, 15, 7, 4), 0.204010878010415, False, 'time']
['ronaldscott1', 202586229, 'impression', '5', 241405211L, datetime.datetime(2013, 5, 27, 15, 7, 4), 0.321569572190138, False, 'time']
['ronaldscott1', 202586229, 'impression', '6', 241405197L, datetime.datetime(2013, 5, 27, 15, 7, 4), 0.207169997835564, False, 'time']
['ronaldscott1', 202586229, 'impression', '1', 241407138L, datetime.datetime(2013, 5, 27, 15, 7, 4), 0.314306442718252, False, 'time']
['ronaldscott1', 202586229, 'impression', '5', 241405211L, datetime.datetime(2013, 5, 27, 15, 7, 6), 0.321569572190138, False, 'time']
['ronaldscott1', 202586229, 'impression', '6', 241405197L, datetime.datetime(2013, 5, 27, 15, 7, 6), 0.207169997835564, False, 'time']
['ronaldscott1', 202586229, 'impression', '1', 241407138L, datetime.datetime(2013, 5, 27, 15, 7, 6), 0.314306442718252, False, 'time']
['ronaldscott1', 202586229, 'impression', '4', 241405499L, datetime.datetime(2013, 5, 27, 15, 7, 6), 0.172208972508843, False, 'time']
['ronaldscott1', 202586229, 'impression', '3', 241405704L, datetime.datetime(2013, 5, 27, 15, 7, 6), 0.204010878010415, False, 'time']
['ronaldscott1', 202586229, 'impression', '2', 241406964L, datetime.datetime(2013, 5, 27, 15, 7, 6), 0.0985089512849753, False, 'time']
['ronaldscott1', 202586229, 'impression', '7', 241405035L, datetime.datetime(2013, 5, 27, 15, 7, 6), 0.230559689154909, False, 'time']
['ronaldscott1', 202586229, 'impression', '3', 241405704L, datetime.datetime(2013, 5, 27, 15, 8, 26), 0.204010878010415, False, 'time']
['ronaldscott1', 202586229, 'impression', '4', 241405499L, datetime.datetime(2013, 5, 27, 15, 8, 26), 0.172208972508843, False, 'time']
['ronaldscott1', 202586229, 'impression', '2', 241406964L, datetime.datetime(2013, 5, 27, 15, 8, 26), 0.0985089512849753, False, 'time']
['ronaldscott1', 202586229, 'impression', '5', 241405211L, datetime.datetime(2013, 5, 27, 15, 8, 26), 0.321569572190138, False, 'time']
['ronaldscott1', 202586229, 'impression', '1', 241407138L, datetime.datetime(2013, 5, 27, 15, 8, 26), 0.314306442718252, False, 'time']
['ronaldscott1', 202586229, 'impression', '6', 241405197L, datetime.datetime(2013, 5, 27, 15, 8, 26), 0.207169997835564, False, 'time']
