['d_simonovic', 202560250, 'impression', '12', 240861728L, datetime.datetime(2013, 5, 22, 14, 3, 46), 0.0240904279526083, False, 'best']
['d_simonovic', 202560250, 'impression', '17', 240909729L, datetime.datetime(2013, 5, 22, 14, 3, 46), 0.0205885226223428, False, 'best']
['d_simonovic', 202560250, 'impression', '7', 240892946L, datetime.datetime(2013, 5, 22, 14, 3, 46), 0.0365831814953452, False, 'best']
['d_simonovic', 202560250, 'impression', '3', 240880081L, datetime.datetime(2013, 5, 22, 14, 3, 46), 0.0631158289060436, False, 'best']
['d_simonovic', 202560250, 'impression', '9', 240867235L, datetime.datetime(2013, 5, 22, 14, 3, 46), 0.0338520030087485, False, 'best']
['d_simonovic', 202560250, 'impression', '13', 240898254L, datetime.datetime(2013, 5, 22, 14, 3, 46), 0.0240699091568443, False, 'best']
['d_simonovic', 202560250, 'view_full_application_via_name', '5', 240918916L, datetime.datetime(2013, 5, 22, 14, 4, 8), 0.0391708539370175, False, 'best']
['d_simonovic', 202560250, 'impression', '10', 240873218L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0316393512340402, False, 'best']
['d_simonovic', 202560250, 'impression', '15', 240863881L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0238669256688263, False, 'best']
['d_simonovic', 202560250, 'impression', '11', 241005452L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0247269151065863, False, 'best']
['d_simonovic', 202560250, 'impression', '5', 240918916L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0391708539370175, False, 'best']
['d_simonovic', 202560250, 'impression', '2', 240878855L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.083838954708345, False, 'best']
['d_simonovic', 202560250, 'impression', '18', 240918663L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0193678001080614, False, 'best']
['d_simonovic', 202560250, 'impression', '1', 240874261L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.303171838184329, False, 'best']
['d_simonovic', 202560250, 'impression', '6', 240877075L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0372046051579549, False, 'best']
['d_simonovic', 202560250, 'impression', '20', 240860803L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0159604605893817, False, 'best']
['d_simonovic', 202560250, 'impression', '12', 240861728L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0240904279526083, False, 'best']
['d_simonovic', 202560250, 'impression', '8', 240930270L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0340817464486403, False, 'best']
['d_simonovic', 202560250, 'impression', '17', 240909729L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0205885226223428, False, 'best']
['d_simonovic', 202560250, 'impression', '4', 240869634L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0428946853524579, False, 'best']
['d_simonovic', 202560250, 'impression', '14', 240924033L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0240001710869555, False, 'best']
['d_simonovic', 202560250, 'impression', '16', 240895065L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0214657903188216, False, 'best']
['d_simonovic', 202560250, 'impression', '13', 240898254L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0240699091568443, False, 'best']
['d_simonovic', 202560250, 'impression', '7', 240892946L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0365831814953452, False, 'best']
['d_simonovic', 202560250, 'impression', '3', 240880081L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0631158289060436, False, 'best']
['d_simonovic', 202560250, 'impression', '9', 240867235L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0338520030087485, False, 'best']
['d_simonovic', 202560250, 'impression', '19', 240862922L, datetime.datetime(2013, 5, 22, 14, 11, 52), 0.0171515405095898, False, 'best']
['d_simonovic', 202560250, 'shortlist', '2', 240878855L, datetime.datetime(2013, 5, 22, 14, 11, 55), 0.083838954708345, False, 'best']
['d_simonovic', 202560250, 'shortlist', '3', 240880081L, datetime.datetime(2013, 5, 22, 14, 11, 59), 0.0631158289060436, False, 'best']
['d_simonovic', 202560250, 'shortlist', '4', 240869634L, datetime.datetime(2013, 5, 22, 14, 12, 9), 0.0428946853524579, False, 'best']
['d_simonovic', 202560250, 'shortlist', '10', 240873218L, datetime.datetime(2013, 5, 22, 14, 12, 23), 0.0316393512340402, False, 'best']
['d_simonovic', 202560250, 'shortlist', '12', 240861728L, datetime.datetime(2013, 5, 22, 14, 12, 34), 0.0240904279526083, False, 'best']

['d_simonovic', 202560250, 'impression', '8', 240930270L, datetime.datetime(2013, 5, 24, 11, 20, 10), 0.0340817464486403, False, 'best']
['d_simonovic', 202560250, 'impression', '11', 240861728L, datetime.datetime(2013, 5, 24, 11, 20, 10), 0.0240904279526083, False, 'best']
['d_simonovic', 202560250, 'impression', '16', 240909729L, datetime.datetime(2013, 5, 24, 11, 20, 10), 0.0205885226223428, False, 'best']
['d_simonovic', 202560250, 'impression', '19', 240860803L, datetime.datetime(2013, 5, 24, 11, 20, 10), 0.0159604605893817, False, 'best']
['d_simonovic', 202560250, 'impression', '6', 240877075L, datetime.datetime(2013, 5, 24, 11, 20, 10), 0.0372046051579549, False, 'best']
