['theuniz', 202594102, 'impression', '11', 241572672L, datetime.datetime(2013, 5, 29, 10, 57, 46), 0.0959632918405654, False, 'time']
['theuniz', 202594102, 'impression', '4', 241573058L, datetime.datetime(2013, 5, 29, 10, 57, 46), 0.185607674697982, False, 'time']
['theuniz', 202594102, 'view_full_application_via_name', '2', 241573102L, datetime.datetime(2013, 5, 29, 10, 57, 53), 0.215566082567661, False, 'time']
['theuniz', 202594102, 'impression', '12', 241573164L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.122917411045501, False, 'time']
['theuniz', 202594102, 'impression', '9', 241573236L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.127827872320613, False, 'time']
['theuniz', 202594102, 'impression', '7', 241573284L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.193971501057582, False, 'time']
['theuniz', 202594102, 'impression', '15', 241573058L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.185607674697982, False, 'time']
['theuniz', 202594102, 'impression', '4', 241573440L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.281326262404671, False, 'time']
['theuniz', 202594102, 'impression', '14', 241573067L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.195168771535555, False, 'time']
['theuniz', 202594102, 'impression', '6', 241573298L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.132881308819722, False, 'time']
['theuniz', 202594102, 'impression', '19', 241572860L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.0741882048802662, False, 'time']
['theuniz', 202594102, 'impression', '11', 241573210L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.149816529136472, False, 'time']
['theuniz', 202594102, 'impression', '10', 241573218L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.0609420801149664, False, 'time']
['theuniz', 202594102, 'impression', '1', 241573551L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.124521372956641, False, 'time']
['theuniz', 202594102, 'impression', '5', 241573407L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.150164933747081, False, 'time']
['theuniz', 202594102, 'impression', '8', 241573259L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.203911672796352, False, 'time']
['theuniz', 202594102, 'impression', '3', 241573466L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.215977629945515, False, 'time']
['theuniz', 202594102, 'impression', '2', 241573474L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.0744098401855862, False, 'time']
['theuniz', 202594102, 'impression', '18', 241572864L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.211686793417406, False, 'time']
['theuniz', 202594102, 'impression', '17', 241572984L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.151029152385789, False, 'time']
['theuniz', 202594102, 'impression', '20', 241572819L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.187188800643173, False, 'time']
['theuniz', 202594102, 'impression', '16', 241573006L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.110130851076947, False, 'time']
['theuniz', 202594102, 'impression', '13', 241573102L, datetime.datetime(2013, 5, 29, 10, 59, 16), 0.215566082567661, False, 'time']
['theuniz', 202594102, 'view_full_application_via_name', '3', 241573466L, datetime.datetime(2013, 5, 29, 10, 59, 33), 0.215977629945515, False, 'time']
['theuniz', 202594102, 'impression', '20', 241573006L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.110130851076947, False, 'time']
['theuniz', 202594102, 'impression', '17', 241573102L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.215566082567661, False, 'time']
['theuniz', 202594102, 'impression', '18', 241573067L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.195168771535555, False, 'time']
['theuniz', 202594102, 'impression', '4', 241573722L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.0774363892415371, False, 'time']
['theuniz', 202594102, 'impression', '1', 241574087L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.111672891137828, False, 'time']
['theuniz', 202594102, 'impression', '7', 241573466L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.215977629945515, False, 'time']
['theuniz', 202594102, 'impression', '6', 241573474L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.0744098401855862, False, 'time']
['theuniz', 202594102, 'impression', '12', 241573259L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.203911672796352, False, 'time']
['theuniz', 202594102, 'impression', '3', 241573763L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.133582034861025, False, 'time']
['theuniz', 202594102, 'impression', '8', 241573440L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.281326262404671, False, 'time']
['theuniz', 202594102, 'impression', '19', 241573058L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.185607674697982, False, 'time']
['theuniz', 202594102, 'impression', '13', 241573236L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.127827872320613, False, 'time']
['theuniz', 202594102, 'impression', '16', 241573164L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.122917411045501, False, 'time']
['theuniz', 202594102, 'impression', '11', 241573284L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.193971501057582, False, 'time']
['theuniz', 202594102, 'impression', '15', 241573210L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.149816529136472, False, 'time']
['theuniz', 202594102, 'impression', '2', 241573945L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.296679902307842, False, 'time']
['theuniz', 202594102, 'impression', '14', 241573218L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.0609420801149664, False, 'time']
['theuniz', 202594102, 'impression', '10', 241573298L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.132881308819722, False, 'time']
['theuniz', 202594102, 'impression', '9', 241573407L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.150164933747081, False, 'time']
['theuniz', 202594102, 'impression', '5', 241573551L, datetime.datetime(2013, 5, 29, 11, 13, 3), 0.124521372956641, False, 'time']
['theuniz', 202594102, 'impression', '19', 241573210L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.149816529136472, False, 'time']
['theuniz', 202594102, 'impression', '14', 241573298L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.132881308819722, False, 'time']
['theuniz', 202594102, 'impression', '18', 241573218L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.0609420801149664, False, 'time']
['theuniz', 202594102, 'impression', '6', 241573945L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.296679902307842, False, 'time']
['theuniz', 202594102, 'impression', '2', 241574787L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.211026407876195, True, 'time']
['theuniz', 202594102, 'impression', '3', 241574659L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.575072563938068, False, 'time']
['theuniz', 202594102, 'impression', '9', 241573551L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.124521372956641, False, 'time']
['theuniz', 202594102, 'impression', '13', 241573407L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.150164933747081, False, 'time']
['theuniz', 202594102, 'impression', '5', 241574087L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.111672891137828, False, 'time']
