['markwayneliu', 202587093, 'impression', '18', 241426390L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.0868296028736655, False, 'best']
['markwayneliu', 202587093, 'impression', '14', 241425109L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.105101845547869, False, 'best']
['markwayneliu', 202587093, 'impression', '19', 241425019L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.0857704052577474, False, 'best']
['markwayneliu', 202587093, 'impression', '5', 241424956L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.146862232212201, False, 'best']
['markwayneliu', 202587093, 'impression', '13', 241425458L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.112479776346476, False, 'best']
['markwayneliu', 202587093, 'impression', '7', 241425869L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.143703222066668, False, 'best']
['markwayneliu', 202587093, 'impression', '1', 241425215L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.209513264639087, False, 'best']
['markwayneliu', 202587093, 'impression', '3', 241425084L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.174085706649768, True, 'best']
['markwayneliu', 202587093, 'impression', '15', 241425268L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.103398280369341, False, 'best']
['markwayneliu', 202587093, 'impression', '10', 241425031L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.119066513471469, False, 'best']
['markwayneliu', 202587093, 'impression', '17', 241425730L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.0901141928929767, False, 'best']
['markwayneliu', 202587093, 'impression', '12', 241426240L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.112668832785539, False, 'best']
['markwayneliu', 202587093, 'impression', '6', 241426094L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.145854109033241, False, 'best']
['markwayneliu', 202587093, 'impression', '16', 241425628L, datetime.datetime(2013, 5, 27, 19, 12, 20), 0.0916854547334062, False, 'best']
['markwayneliu', 202587093, 'expand_tile', '2', 241425225L, datetime.datetime(2013, 5, 27, 19, 12, 35), 0.199650606121118, False, 'best']
['markwayneliu', 202587093, 'collapse_tile', '2', 241425225L, datetime.datetime(2013, 5, 27, 19, 12, 38), 0.199650606121118, False, 'best']
['markwayneliu', 202587093, 'expand_tile', '2', 241425225L, datetime.datetime(2013, 5, 27, 19, 12, 39), 0.199650606121118, False, 'best']
['markwayneliu', 202587093, 'view_full_application_via_name', '2', 241425225L, datetime.datetime(2013, 5, 27, 19, 12, 52), 0.199650606121118, False, 'best']
['markwayneliu', 202587093, 'impression', '1', 241425215L, datetime.datetime(2013, 5, 27, 19, 14, 11), 0.209513264639087, False, 'best']
['markwayneliu', 202587093, 'impression', '5', 241424956L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.146862232212201, False, 'best']
['markwayneliu', 202587093, 'impression', '1', 241425215L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.209513264639087, False, 'best']
['markwayneliu', 202587093, 'impression', '14', 241425458L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.112479776346476, False, 'best']
['markwayneliu', 202587093, 'impression', '7', 241425869L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.143703222066668, False, 'best']
['markwayneliu', 202587093, 'impression', '3', 241425084L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.174085706649768, True, 'best']
['markwayneliu', 202587093, 'impression', '15', 241425109L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.105101845547869, False, 'best']
['markwayneliu', 202587093, 'impression', '19', 241426390L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.0868296028736655, False, 'best']
['markwayneliu', 202587093, 'impression', '20', 241425019L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.0857704052577474, False, 'best']
['markwayneliu', 202587093, 'impression', '6', 241426094L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.145854109033241, False, 'best']
['markwayneliu', 202587093, 'impression', '17', 241425628L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.0916854547334062, False, 'best']
['markwayneliu', 202587093, 'impression', '16', 241425268L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.103398280369341, False, 'best']
['markwayneliu', 202587093, 'impression', '13', 241426240L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.112668832785539, False, 'best']
['markwayneliu', 202587093, 'impression', '10', 241425031L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.119066513471469, False, 'best']
['markwayneliu', 202587093, 'impression', '18', 241425730L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.0901141928929767, False, 'best']
['markwayneliu', 202587093, 'impression', '11', 241426601L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.11888814405236, False, 'best']
['markwayneliu', 202587093, 'impression', '2', 241425225L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.199650606121118, False, 'best']
['markwayneliu', 202587093, 'impression', '8', 241425512L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.133358834616211, False, 'best']
['markwayneliu', 202587093, 'impression', '4', 241425520L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.165789603826134, False, 'best']
['markwayneliu', 202587093, 'impression', '9', 241425086L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.127395180672523, False, 'best']
['markwayneliu', 202587093, 'impression', '12', 241425795L, datetime.datetime(2013, 5, 27, 19, 16, 54), 0.114015435904605, False, 'best']
['markwayneliu', 202587093, 'impression', '20', 241425628L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.0916854547334062, False, 'best']
['markwayneliu', 202587093, 'impression', '7', 241426094L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.145854109033241, False, 'best']
['markwayneliu', 202587093, 'impression', '4', 241427494L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.169099953876723, False, 'best']
['markwayneliu', 202587093, 'impression', '17', 241425109L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.105101845547869, False, 'best']
['markwayneliu', 202587093, 'impression', '5', 241425520L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.165789603826134, False, 'best']
['markwayneliu', 202587093, 'impression', '14', 241425795L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.114015435904605, False, 'best']
['markwayneliu', 202587093, 'impression', '2', 241425225L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.199650606121118, False, 'best']
['markwayneliu', 202587093, 'impression', '9', 241425512L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.133358834616211, False, 'best']
['markwayneliu', 202587093, 'impression', '11', 241425086L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.127395180672523, False, 'best']
['markwayneliu', 202587093, 'impression', '13', 241426601L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.11888814405236, False, 'best']
['markwayneliu', 202587093, 'impression', '12', 241425031L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.119066513471469, False, 'best']
['markwayneliu', 202587093, 'impression', '15', 241426240L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.112668832785539, False, 'best']
['markwayneliu', 202587093, 'impression', '18', 241427754L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.104500027906911, False, 'best']
['markwayneliu', 202587093, 'impression', '19', 241425268L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.103398280369341, False, 'best']
['markwayneliu', 202587093, 'impression', '1', 241425215L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.209513264639087, False, 'best']
['markwayneliu', 202587093, 'impression', '3', 241425084L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.174085706649768, True, 'best']
['markwayneliu', 202587093, 'impression', '6', 241424956L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.146862232212201, False, 'best']
['markwayneliu', 202587093, 'impression', '8', 241425869L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.143703222066668, False, 'best']
['markwayneliu', 202587093, 'impression', '10', 241426865L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.130763225664981, False, 'best']
['markwayneliu', 202587093, 'impression', '16', 241425458L, datetime.datetime(2013, 5, 27, 19, 32, 54), 0.112479776346476, False, 'best']

