['highwoodfox', 202558802, 'impression', '2', 240868963L, datetime.datetime(2013, 5, 21, 9, 4, 18), 0.0846989899421497, False, 'time']
['highwoodfox', 202558802, 'impression', '4', 240862065L, datetime.datetime(2013, 5, 21, 9, 4, 46), 0.261776239400887, False, 'time']
['highwoodfox', 202558802, 'impression', '6', 240853055L, datetime.datetime(2013, 5, 21, 9, 5, 6), 0.0542535951018311, False, 'time']
['highwoodfox', 202558802, 'shortlist', '7', 240852964L, datetime.datetime(2013, 5, 21, 9, 5, 21), 0.0389236374866747, False, 'time']
['highwoodfox', 202558802, 'impression', '8', 240848969L, datetime.datetime(2013, 5, 21, 9, 5, 51), 0.196592745216736, False, 'time']
['highwoodfox', 202558802, 'impression', '9', 240842453L, datetime.datetime(2013, 5, 21, 9, 6, 8), 0.180257741096851, False, 'time']

['highwoodfox', 202558802, 'impression', '5', 240858054L, datetime.datetime(2013, 5, 21, 10, 13, 52), 0.302561665736336, False, 'time']
['highwoodfox', 202558802, 'impression', '10', 240839735L, datetime.datetime(2013, 5, 21, 10, 39, 58), 0.0795356804614734, False, 'time']
['highwoodfox', 202558802, 'impression', '11', 240839370L, datetime.datetime(2013, 5, 21, 10, 40, 18), 0.117197635457682, False, 'time']
['highwoodfox', 202558802, 'impression', '13', 240837154L, datetime.datetime(2013, 5, 21, 10, 40, 45), 0.110282302433355, False, 'time']
['highwoodfox', 202558802, 'impression', None, 240837154L, datetime.datetime(2013, 5, 21, 10, 40, 45), 0.110282302433355, False, 'time']
['highwoodfox', 202558802, 'impression', '15', 240835871L, datetime.datetime(2013, 5, 21, 10, 41, 15), 0.065478943320685, False, 'time']
['highwoodfox', 202558802, 'impression', None, 240835871L, datetime.datetime(2013, 5, 21, 10, 41, 15), 0.065478943320685, False, 'time']
['highwoodfox', 202558802, 'impression', '14', 240836993L, datetime.datetime(2013, 5, 21, 10, 41, 20), 0.107816789661026, False, 'time']
['highwoodfox', 202558802, 'impression', '16', 240835592L, datetime.datetime(2013, 5, 21, 10, 41, 44), 0.1028624437026, False, 'time']
['highwoodfox', 202558802, 'impression', '17', 240834648L, datetime.datetime(2013, 5, 21, 10, 41, 58), 0.0480394483637449, False, 'time']
['highwoodfox', 202558802, 'impression', '18', 240834530L, datetime.datetime(2013, 5, 21, 10, 42, 9), 0.152626940529814, False, 'time']
['highwoodfox', 202558802, 'shortlist', '19', 240834495L, datetime.datetime(2013, 5, 21, 10, 42, 32), 0.0888862052531879, False, 'time']
['highwoodfox', 202558802, 'impression', '20', 240834482L, datetime.datetime(2013, 5, 21, 10, 42, 45), 0.112755516193045, False, 'time']
['highwoodfox', 202558802, 'impression', '21', 240834283L, datetime.datetime(2013, 5, 21, 10, 43, 10), 0.124122523796421, False, 'time']
