['agrochal', 202537153, 'hide', '4', 240392499L, datetime.datetime(2013, 5, 15, 21, 57, 56), 0.137798897366383, False, 'best']
['agrochal', 202537153, 'view_full_application_via_name', '5', 240385611L, datetime.datetime(2013, 5, 15, 21, 58, 3), 0.114751727504041, False, 'best']
['agrochal', 202537153, 'impression', '4', 240391979L, datetime.datetime(2013, 5, 15, 21, 58, 37), 0.0682207986034873, False, 'best']
['agrochal', 202537153, 'impression', '2', 240385611L, datetime.datetime(2013, 5, 15, 21, 58, 37), 0.114751727504041, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 21, 58, 37), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '6', 240421123L, datetime.datetime(2013, 5, 15, 21, 58, 37), 0.012262173803837, False, 'best']
['agrochal', 202537153, 'impression', '5', 240429391L, datetime.datetime(2013, 5, 15, 21, 58, 37), 0.0270154142675763, False, 'best']
['agrochal', 202537153, 'impression', '3', 240426531L, datetime.datetime(2013, 5, 15, 21, 58, 37), 0.0968516094676785, False, 'best']
['agrochal', 202537153, 'shortlist', '2', 240385611L, datetime.datetime(2013, 5, 15, 21, 58, 44), 0.114751727504041, False, 'best']
['agrochal', 202537153, 'hide', '4', 240391979L, datetime.datetime(2013, 5, 15, 21, 58, 50), 0.0682207986034873, False, 'best']
['agrochal', 202537153, 'hide', '6', 240421123L, datetime.datetime(2013, 5, 15, 21, 58, 53), 0.012262173803837, False, 'best']
['agrochal', 202537153, 'impression', '3', 240426531L, datetime.datetime(2013, 5, 15, 22, 0, 12), 0.0968516094676785, False, 'best']
['agrochal', 202537153, 'impression', '2', 240385611L, datetime.datetime(2013, 5, 15, 22, 0, 12), 0.114751727504041, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 0, 12), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '4', 240429391L, datetime.datetime(2013, 5, 15, 22, 0, 12), 0.0270154142675763, False, 'best']
['agrochal', 202537153, 'impression', '2', 240385611L, datetime.datetime(2013, 5, 15, 22, 1, 58), 0.114751727504041, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 1, 58), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '3', 240426531L, datetime.datetime(2013, 5, 15, 22, 1, 58), 0.0968516094676785, False, 'best']
['agrochal', 202537153, 'impression', '4', 240429391L, datetime.datetime(2013, 5, 15, 22, 1, 58), 0.0270154142675763, False, 'best']
['agrochal', 202537153, 'hide', '3', 240426531L, datetime.datetime(2013, 5, 15, 22, 2, 6), 0.0968516094676785, False, 'best']
['agrochal', 202537153, 'view_full_application_via_name', '4', 240429391L, datetime.datetime(2013, 5, 15, 22, 2, 10), 0.0270154142675763, False, 'best']
['agrochal', 202537153, 'impression', '2', 240385611L, datetime.datetime(2013, 5, 15, 22, 4), 0.114751727504041, False, 'best']
['agrochal', 202537153, 'impression', '3', 240426531L, datetime.datetime(2013, 5, 15, 22, 4), 0.0968516094676785, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 4), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'hide', '3', 240426531L, datetime.datetime(2013, 5, 15, 22, 4, 5), 0.0968516094676785, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 5, 36), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '2', 240385611L, datetime.datetime(2013, 5, 15, 22, 5, 36), 0.114751727504041, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 7), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 7, 58), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '20', 240439265L, datetime.datetime(2013, 5, 15, 22, 9, 9), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 9, 9), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 10, 47), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '20', 240439265L, datetime.datetime(2013, 5, 15, 22, 10, 47), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 11, 18), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '20', 240439265L, datetime.datetime(2013, 5, 15, 22, 11, 18), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'view_full_application_via_name', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 11, 20), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '20', 240439265L, datetime.datetime(2013, 5, 15, 22, 13, 35), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 13, 35), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 13, 59), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '20', 240439265L, datetime.datetime(2013, 5, 15, 22, 13, 59), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 14, 44), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '20', 240439265L, datetime.datetime(2013, 5, 15, 22, 14, 44), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'impression', '20', 240439265L, datetime.datetime(2013, 5, 15, 22, 15, 34), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 15, 34), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '20', 240445737L, datetime.datetime(2013, 5, 15, 22, 16), 0.0773131231444424, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 16), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '19', 240439265L, datetime.datetime(2013, 5, 15, 22, 16), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'hide', '20', 240445737L, datetime.datetime(2013, 5, 15, 22, 16, 3), 0.0773131231444424, False, 'best']
['agrochal', 202537153, 'view_full_application_via_name', '21', 240453582L, datetime.datetime(2013, 5, 15, 22, 16, 9), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '19', 240439265L, datetime.datetime(2013, 5, 15, 22, 17, 37), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 17, 37), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '20', 240453582L, datetime.datetime(2013, 5, 15, 22, 17, 37), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '20', 240454977L, datetime.datetime(2013, 5, 15, 22, 17, 59), 0.190426480856707, False, 'best']
['agrochal', 202537153, 'impression', '19', 240453582L, datetime.datetime(2013, 5, 15, 22, 17, 59), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '18', 240439265L, datetime.datetime(2013, 5, 15, 22, 17, 59), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 17, 59), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '19', 240454977L, datetime.datetime(2013, 5, 15, 22, 19, 39), 0.190426480856707, False, 'best']
