['cj-lemky', 202588266, 'impression', '4', 241461415L, datetime.datetime(2013, 5, 29, 1, 24, 29), 0.105970114314131, False, 'time']
['cj-lemky', 202588266, 'impression', '7', 241446503L, datetime.datetime(2013, 5, 29, 1, 24, 29), 0.144151242428943, False, 'time']
['cj-lemky', 202588266, 'impression', '5', 241448161L, datetime.datetime(2013, 5, 29, 1, 24, 29), 0.25587338983511, False, 'time']
['cj-lemky', 202588266, 'impression', '7', 241446503L, datetime.datetime(2013, 5, 29, 1, 25, 4), 0.144151242428943, False, 'time']
['cj-lemky', 202588266, 'impression', '5', 241448161L, datetime.datetime(2013, 5, 29, 1, 25, 4), 0.25587338983511, False, 'time']
['cj-lemky', 202588266, 'impression', '1', 241493173L, datetime.datetime(2013, 5, 29, 1, 25, 4), 0.25773554625842, False, 'time']
['cj-lemky', 202588266, 'impression', '2', 241462277L, datetime.datetime(2013, 5, 29, 1, 25, 4), 0.109205039713783, True, 'time']
['cj-lemky', 202588266, 'impression', '6', 241447316L, datetime.datetime(2013, 5, 29, 1, 25, 4), 0.240669420714189, False, 'time']
['cj-lemky', 202588266, 'impression', '4', 241461415L, datetime.datetime(2013, 5, 29, 1, 25, 4), 0.105970114314131, False, 'time']
['cj-lemky', 202588266, 'impression', '3', 241462215L, datetime.datetime(2013, 5, 29, 1, 25, 4), 0.148713220320514, False, 'time']
['cj-lemky', 202588266, 'view_full_application_via_name', '2', 241462277L, datetime.datetime(2013, 5, 29, 1, 25, 8), 0.109205039713783, True, 'time']
['cj-lemky', 202588266, 'impression', '3', 241462215L, datetime.datetime(2013, 5, 29, 1, 27, 36), 0.148713220320514, False, 'time']
['cj-lemky', 202588266, 'impression', '5', 241448161L, datetime.datetime(2013, 5, 29, 1, 27, 36), 0.25587338983511, False, 'time']
['cj-lemky', 202588266, 'impression', '7', 241446503L, datetime.datetime(2013, 5, 29, 1, 27, 36), 0.144151242428943, False, 'time']
['cj-lemky', 202588266, 'impression', '2', 241462277L, datetime.datetime(2013, 5, 29, 1, 27, 36), 0.109205039713783, True, 'time']
['cj-lemky', 202588266, 'impression', '1', 241493173L, datetime.datetime(2013, 5, 29, 1, 27, 36), 0.25773554625842, False, 'time']
['cj-lemky', 202588266, 'impression', '6', 241447316L, datetime.datetime(2013, 5, 29, 1, 27, 36), 0.240669420714189, False, 'time']
['cj-lemky', 202588266, 'impression', '4', 241461415L, datetime.datetime(2013, 5, 29, 1, 27, 36), 0.105970114314131, False, 'time']

