['hedgar43', 202572142, 'impression', '11', 241091832L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.0444116701171258, False, 'best']
['hedgar43', 202572142, 'impression', '9', 241091506L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.0518809969701554, False, 'best']
['hedgar43', 202572142, 'impression', '5', 241089894L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.135733767126321, False, 'best']
['hedgar43', 202572142, 'impression', '6', 241089665L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.103020931518278, False, 'best']
['hedgar43', 202572142, 'impression', '4', 241199496L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.161541304012284, False, 'best']
['hedgar43', 202572142, 'impression', '3', 241089175L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.243861455207936, False, 'best']
['hedgar43', 202572142, 'impression', '13', 241090713L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.0380523207388366, False, 'best']

['hedgar43', 202572142, 'impression', '11', 241091832L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.0444116701171258, False, 'best']
['hedgar43', 202572142, 'impression', '1', 241089042L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.360700107237907, False, 'best']
['hedgar43', 202572142, 'impression', '14', 241143459L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.0199813272095546, False, 'best']
['hedgar43', 202572142, 'impression', '8', 241092377L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.0880095608326168, False, 'best']
['hedgar43', 202572142, 'impression', '3', 241089175L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.243861455207936, False, 'best']
['hedgar43', 202572142, 'impression', '13', 241090713L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.0380523207388366, False, 'best']
['hedgar43', 202572142, 'impression', '16', 241091072L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.00977412071261598, False, 'best']
['hedgar43', 202572142, 'impression', '15', 241090001L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.0187185120696812, False, 'best']
['hedgar43', 202572142, 'impression', '2', 241088957L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.278307624556122, False, 'best']
['hedgar43', 202572142, 'impression', '7', 241116022L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.102061129446482, False, 'best']
['hedgar43', 202572142, 'impression', '10', 241146718L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.0447660101299839, False, 'best']
['hedgar43', 202572142, 'impression', '12', 241092482L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.0422778454907232, False, 'best']
['hedgar43', 202572142, 'impression', '9', 241091506L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.0518809969701554, False, 'best']
['hedgar43', 202572142, 'impression', '4', 241199496L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.161541304012284, False, 'best']
['hedgar43', 202572142, 'impression', '6', 241089665L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.103020931518278, False, 'best']
['hedgar43', 202572142, 'impression', '5', 241089894L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.135733767126321, False, 'best']
['hedgar43', 202572142, 'expand_tile', '3', 241089175L, datetime.datetime(2013, 5, 27, 15, 31, 50), 0.243861455207936, False, 'best']

['hedgar43', 202572142, 'impression', '1', 241089042L, datetime.datetime(2013, 5, 27, 16, 43, 30), 0.360700107237907, False, 'best']

['hedgar43', 202572142, 'impression', '3', 241089175L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.243861455207936, False, 'best']
['hedgar43', 202572142, 'impression', '13', 241090713L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.0380523207388366, False, 'best']
['hedgar43', 202572142, 'impression', '11', 241091832L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.0444116701171258, False, 'best']
['hedgar43', 202572142, 'impression', '5', 241089894L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.135733767126321, False, 'best']
['hedgar43', 202572142, 'impression', '4', 241199496L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.161541304012284, False, 'best']
['hedgar43', 202572142, 'impression', '6', 241089665L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.103020931518278, False, 'best']
['hedgar43', 202572142, 'impression', '9', 241091506L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.0518809969701554, False, 'best']
['hedgar43', 202572142, 'impression', '1', 241089042L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.360700107237907, False, 'best']
['hedgar43', 202572142, 'impression', '16', 241422770L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.0107513836232517, False, 'best']
['hedgar43', 202572142, 'impression', '14', 241143459L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.0199813272095546, False, 'best']
['hedgar43', 202572142, 'impression', '8', 241092377L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.0880095608326168, False, 'best']
['hedgar43', 202572142, 'impression', '17', 241091072L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.00977412071261598, False, 'best']
['hedgar43', 202572142, 'impression', '15', 241090001L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.0187185120696812, False, 'best']
['hedgar43', 202572142, 'impression', '2', 241088957L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.278307624556122, False, 'best']
['hedgar43', 202572142, 'impression', '10', 241146718L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.0447660101299839, False, 'best']
['hedgar43', 202572142, 'impression', '7', 241116022L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.102061129446482, False, 'best']
['hedgar43', 202572142, 'impression', '12', 241092482L, datetime.datetime(2013, 5, 27, 19, 4, 47), 0.0422778454907232, False, 'best']
['hedgar43', 202572142, 'impression', '9', 241091506L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.0518809969701554, False, 'time']
['hedgar43', 202572142, 'impression', '17', 241088957L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.278307624556122, False, 'time']
['hedgar43', 202572142, 'impression', '10', 241091072L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.00977412071261598, False, 'time']
['hedgar43', 202572142, 'impression', '12', 241090001L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.0187185120696812, False, 'time']
['hedgar43', 202572142, 'impression', '6', 241092482L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.0422778454907232, False, 'time']
['hedgar43', 202572142, 'impression', '8', 241091832L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.0444116701171258, False, 'time']
['hedgar43', 202572142, 'impression', '14', 241089665L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.103020931518278, False, 'time']
['hedgar43', 202572142, 'impression', '2', 241199496L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.161541304012284, False, 'time']
['hedgar43', 202572142, 'impression', '13', 241089894L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.135733767126321, False, 'time']
['hedgar43', 202572142, 'impression', '3', 241146718L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.0447660101299839, False, 'time']
['hedgar43', 202572142, 'impression', '5', 241116022L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.102061129446482, False, 'time']
['hedgar43', 202572142, 'impression', '16', 241089042L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.360700107237907, False, 'time']
['hedgar43', 202572142, 'impression', '4', 241143459L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.0199813272095546, False, 'time']
['hedgar43', 202572142, 'impression', '1', 241422770L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.0107513836232517, False, 'time']
['hedgar43', 202572142, 'impression', '7', 241092377L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.0880095608326168, False, 'time']
['hedgar43', 202572142, 'impression', '11', 241090713L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.0380523207388366, False, 'time']
['hedgar43', 202572142, 'impression', '15', 241089175L, datetime.datetime(2013, 5, 27, 19, 5, 13), 0.243861455207936, False, 'time']
['hedgar43', 202572142, 'impression', '11', 241090713L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.0380523207388366, False, 'time']
['hedgar43', 202572142, 'impression', '15', 241089175L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.243861455207936, False, 'time']
['hedgar43', 202572142, 'impression', '6', 241092482L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.0422778454907232, False, 'time']
['hedgar43', 202572142, 'impression', '9', 241091506L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.0518809969701554, False, 'time']
['hedgar43', 202572142, 'impression', '8', 241091832L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.0444116701171258, False, 'time']
['hedgar43', 202572142, 'impression', '3', 241146718L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.0447660101299839, False, 'time']
['hedgar43', 202572142, 'impression', '5', 241116022L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.102061129446482, False, 'time']
['hedgar43', 202572142, 'impression', '7', 241092377L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.0880095608326168, False, 'time']
['hedgar43', 202572142, 'impression', '4', 241143459L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.0199813272095546, False, 'time']
['hedgar43', 202572142, 'impression', '16', 241089042L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.360700107237907, False, 'time']
['hedgar43', 202572142, 'impression', '1', 241422770L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.0107513836232517, False, 'time']
['hedgar43', 202572142, 'impression', '10', 241091072L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.00977412071261598, False, 'time']
['hedgar43', 202572142, 'impression', '17', 241088957L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.278307624556122, False, 'time']
['hedgar43', 202572142, 'impression', '12', 241090001L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.0187185120696812, False, 'time']
['hedgar43', 202572142, 'impression', '13', 241089894L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.135733767126321, False, 'time']
['hedgar43', 202572142, 'impression', '2', 241199496L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.161541304012284, False, 'time']
['hedgar43', 202572142, 'impression', '14', 241089665L, datetime.datetime(2013, 5, 27, 19, 5, 42), 0.103020931518278, False, 'time']

