['sbekas', 202583167, 'view_full_application_via_name', '9', 241343000L, datetime.datetime(2013, 5, 27, 0, 51, 44), 0.330365485147248, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '8', 241343587L, datetime.datetime(2013, 5, 27, 0, 51, 44), 0.498987840265755, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '10', 241342408L, datetime.datetime(2013, 5, 27, 0, 51, 45), 0.560155107484921, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '11', 241339460L, datetime.datetime(2013, 5, 27, 0, 51, 46), 0.426420396459978, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '12', 241338923L, datetime.datetime(2013, 5, 27, 0, 51, 46), 0.531920088146386, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '14', 241338200L, datetime.datetime(2013, 5, 27, 0, 51, 48), 0.395691982644506, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '13', 241338598L, datetime.datetime(2013, 5, 27, 0, 51, 49), 0.412408677765194, False, 'time']
['sbekas', 202583167, 'expand_tile', '12', 241338923L, datetime.datetime(2013, 5, 27, 0, 51, 49), 0.531920088146386, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '12', 241338923L, datetime.datetime(2013, 5, 27, 0, 51, 50), 0.531920088146386, False, 'time']
['sbekas', 202583167, 'expand_tile', '11', 241339460L, datetime.datetime(2013, 5, 27, 0, 51, 50), 0.426420396459978, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '11', 241339460L, datetime.datetime(2013, 5, 27, 0, 51, 52), 0.426420396459978, False, 'time']
['sbekas', 202583167, 'expand_tile', '17', 241335807L, datetime.datetime(2013, 5, 27, 0, 51, 53), 0.465681228092434, False, 'time']
['sbekas', 202583167, 'expand_tile', '16', 241336726L, datetime.datetime(2013, 5, 27, 0, 51, 54), 0.436379481490414, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '16', 241336726L, datetime.datetime(2013, 5, 27, 0, 51, 55), 0.436379481490414, False, 'time']
['sbekas', 202583167, 'expand_tile', '15', 241337136L, datetime.datetime(2013, 5, 27, 0, 51, 55), 0.586713851850964, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '15', 241337136L, datetime.datetime(2013, 5, 27, 0, 51, 56), 0.586713851850964, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '14', 241338200L, datetime.datetime(2013, 5, 27, 0, 51, 57), 0.395691982644506, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '17', 241335807L, datetime.datetime(2013, 5, 27, 0, 51, 59), 0.465681228092434, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '18', 241334975L, datetime.datetime(2013, 5, 27, 0, 52), 0.547191123674635, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '19', 241334601L, datetime.datetime(2013, 5, 27, 0, 52, 1), 0.780811564843737, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '20', 241334306L, datetime.datetime(2013, 5, 27, 0, 52, 1), 0.534455191919936, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '17', 241335807L, datetime.datetime(2013, 5, 27, 0, 52, 2), 0.465681228092434, False, 'time']
['sbekas', 202583167, 'view_full_application_via_name', '17', 241335807L, datetime.datetime(2013, 5, 27, 0, 52, 3), 0.465681228092434, False, 'time']

