['bmichael77', 202550641, 'impression', '8', 240659397L, datetime.datetime(2013, 5, 18, 12, 59, 42), 0.154338208503019, False, 'time']
['bmichael77', 202550641, 'impression', '1', 240701681L, datetime.datetime(2013, 5, 18, 12, 59, 42), 0.206906640305537, False, 'time']
['bmichael77', 202550641, 'impression', '9', 240655136L, datetime.datetime(2013, 5, 18, 12, 59, 42), 0.232617418919858, False, 'time']
['bmichael77', 202550641, 'impression', '6', 240676981L, datetime.datetime(2013, 5, 18, 12, 59, 42), 0.277788554069839, False, 'time']
['bmichael77', 202550641, 'impression', '7', 240675688L, datetime.datetime(2013, 5, 18, 12, 59, 42), 0.0804870381025295, False, 'time']
['bmichael77', 202550641, 'impression', '4', 240683370L, datetime.datetime(2013, 5, 18, 12, 59, 42), 0.118911261704349, False, 'time']
['bmichael77', 202550641, 'impression', '2', 240689266L, datetime.datetime(2013, 5, 18, 12, 59, 42), 0.248483548053638, False, 'time']
['bmichael77', 202550641, 'impression', '11', 240649772L, datetime.datetime(2013, 5, 18, 12, 59, 42), 0.0294686673060443, False, 'time']
['bmichael77', 202550641, 'impression', '3', 240687138L, datetime.datetime(2013, 5, 18, 12, 59, 42), 0.115417905824088, False, 'time']
['bmichael77', 202550641, 'impression', '2', 240689266L, datetime.datetime(2013, 5, 18, 12, 59, 59), 0.248483548053638, False, 'time']
['bmichael77', 202550641, 'impression', '2', 240689266L, datetime.datetime(2013, 5, 18, 13, 0), 0.248483548053638, False, 'time']
['bmichael77', 202550641, 'expand_tile', '3', 240687138L, datetime.datetime(2013, 5, 18, 13, 0, 4), 0.115417905824088, False, 'time']
['bmichael77', 202550641, 'expand_tile', '5', 240677769L, datetime.datetime(2013, 5, 18, 13, 0, 25), 0.222445310589655, False, 'time']
['bmichael77', 202550641, 'expand_tile', '6', 240676981L, datetime.datetime(2013, 5, 18, 13, 0, 42), 0.277788554069839, False, 'time']
['bmichael77', 202550641, 'expand_tile', '7', 240675688L, datetime.datetime(2013, 5, 18, 13, 1, 43), 0.0804870381025295, False, 'time']
['bmichael77', 202550641, 'impression', '7', 240675688L, datetime.datetime(2013, 5, 18, 13, 1, 56), 0.0804870381025295, False, 'time']
['bmichael77', 202550641, 'impression', '7', 240675688L, datetime.datetime(2013, 5, 18, 13, 1, 56), 0.0804870381025295, False, 'time']
['bmichael77', 202550641, 'expand_tile', '7', 240675688L, datetime.datetime(2013, 5, 18, 13, 1, 57), 0.0804870381025295, False, 'time']
['bmichael77', 202550641, 'impression', '6', 240676981L, datetime.datetime(2013, 5, 18, 13, 2, 1), 0.277788554069839, False, 'time']
['bmichael77', 202550641, 'impression', '6', 240676981L, datetime.datetime(2013, 5, 18, 13, 2, 2), 0.277788554069839, False, 'time']
['bmichael77', 202550641, 'expand_tile', '6', 240676981L, datetime.datetime(2013, 5, 18, 13, 2, 2), 0.277788554069839, False, 'time']
['bmichael77', 202550641, 'expand_tile', '1', 240701681L, datetime.datetime(2013, 5, 18, 13, 2, 17), 0.206906640305537, False, 'time']

['bmichael77', 202550641, 'impression', '3', 240683370L, datetime.datetime(2013, 5, 19, 19, 1, 6), 0.118911261704349, False, 'time']
['bmichael77', 202550641, 'impression', '6', 240655136L, datetime.datetime(2013, 5, 19, 19, 1, 6), 0.232617418919858, False, 'time']
['bmichael77', 202550641, 'impression', '9', 240649177L, datetime.datetime(2013, 5, 19, 19, 1, 6), 0.0247195738687517, False, 'time']
['bmichael77', 202550641, 'impression', '4', 240677769L, datetime.datetime(2013, 5, 19, 19, 1, 6), 0.222445310589655, False, 'time']
['bmichael77', 202550641, 'impression', '1', 240701681L, datetime.datetime(2013, 5, 19, 19, 1, 6), 0.206906640305537, False, 'time']
['bmichael77', 202550641, 'impression', '7', 240653269L, datetime.datetime(2013, 5, 19, 19, 1, 6), 0.187740072913396, False, 'time']
['bmichael77', 202550641, 'impression', '5', 240659397L, datetime.datetime(2013, 5, 19, 19, 1, 6), 0.154338208503019, False, 'time']
['bmichael77', 202550641, 'impression', '2', 240687138L, datetime.datetime(2013, 5, 19, 19, 1, 6), 0.115417905824088, False, 'time']
['bmichael77', 202550641, 'impression', '8', 240649772L, datetime.datetime(2013, 5, 19, 19, 1, 6), 0.0294686673060443, False, 'time']
['bmichael77', 202550641, 'expand_tile', '1', 240701681L, datetime.datetime(2013, 5, 19, 19, 1, 20), 0.206906640305537, False, 'time']
['bmichael77', 202550641, 'expand_tile', '2', 240687138L, datetime.datetime(2013, 5, 19, 19, 1, 33), 0.115417905824088, False, 'time']
['bmichael77', 202550641, 'collapse_tile', '2', 240687138L, datetime.datetime(2013, 5, 19, 19, 1, 36), 0.115417905824088, False, 'time']
['bmichael77', 202550641, 'impression', '1', 240701681L, datetime.datetime(2013, 5, 19, 19, 2, 17), 0.206906640305537, False, 'time']
['bmichael77', 202550641, 'impression', '9', 240649177L, datetime.datetime(2013, 5, 19, 19, 2, 17), 0.0247195738687517, False, 'time']
['bmichael77', 202550641, 'impression', '4', 240677769L, datetime.datetime(2013, 5, 19, 19, 2, 17), 0.222445310589655, False, 'time']
['bmichael77', 202550641, 'impression', '7', 240653269L, datetime.datetime(2013, 5, 19, 19, 2, 17), 0.187740072913396, False, 'time']
['bmichael77', 202550641, 'impression', '5', 240659397L, datetime.datetime(2013, 5, 19, 19, 2, 17), 0.154338208503019, False, 'time']
['bmichael77', 202550641, 'impression', '2', 240687138L, datetime.datetime(2013, 5, 19, 19, 2, 17), 0.115417905824088, False, 'time']
['bmichael77', 202550641, 'impression', '8', 240649772L, datetime.datetime(2013, 5, 19, 19, 2, 17), 0.0294686673060443, False, 'time']
['bmichael77', 202550641, 'impression', '6', 240655136L, datetime.datetime(2013, 5, 19, 19, 2, 17), 0.232617418919858, False, 'time']
['bmichael77', 202550641, 'impression', '3', 240683370L, datetime.datetime(2013, 5, 19, 19, 2, 17), 0.118911261704349, False, 'time']
['bmichael77', 202550641, 'impression', '2', 240687138L, datetime.datetime(2013, 5, 19, 19, 2, 21), 0.115417905824088, False, 'time']
['bmichael77', 202550641, 'impression', '1', 240701681L, datetime.datetime(2013, 5, 19, 19, 2, 35), 0.206906640305537, False, 'time']
['bmichael77', 202550641, 'impression', '7', 240649772L, datetime.datetime(2013, 5, 19, 19, 2, 35), 0.0294686673060443, False, 'time']
['bmichael77', 202550641, 'impression', '5', 240655136L, datetime.datetime(2013, 5, 19, 19, 2, 35), 0.232617418919858, False, 'time']
['bmichael77', 202550641, 'impression', '2', 240683370L, datetime.datetime(2013, 5, 19, 19, 2, 35), 0.118911261704349, False, 'time']
['bmichael77', 202550641, 'impression', '4', 240659397L, datetime.datetime(2013, 5, 19, 19, 2, 35), 0.154338208503019, False, 'time']
['bmichael77', 202550641, 'impression', '6', 240653269L, datetime.datetime(2013, 5, 19, 19, 2, 35), 0.187740072913396, False, 'time']
['bmichael77', 202550641, 'impression', '8', 240649177L, datetime.datetime(2013, 5, 19, 19, 2, 35), 0.0247195738687517, False, 'time']
['bmichael77', 202550641, 'impression', '3', 240677769L, datetime.datetime(2013, 5, 19, 19, 2, 35), 0.222445310589655, False, 'time']

['bmichael77', 202550641, 'impression', '5', 240677769L, datetime.datetime(2013, 5, 22, 14, 55, 47), 0.222445310589655, False, 'time']
['bmichael77', 202550641, 'impression', '9', 240649177L, datetime.datetime(2013, 5, 22, 14, 55, 47), 0.0247195738687517, False, 'time']
