['francine-grant', 202539285, 'impression', '2', 240408817L, datetime.datetime(2013, 5, 15, 4, 38, 49), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '7', 240413867L, datetime.datetime(2013, 5, 15, 4, 38, 49), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240412048L, datetime.datetime(2013, 5, 15, 4, 38, 49), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409659L, datetime.datetime(2013, 5, 15, 4, 38, 49), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'expand_tile', '5', 240412048L, datetime.datetime(2013, 5, 15, 4, 39, 11), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'view_full_application', '5', 240412048L, datetime.datetime(2013, 5, 15, 4, 39, 16), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '7', 240413867L, datetime.datetime(2013, 5, 15, 4, 41, 53), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409659L, datetime.datetime(2013, 5, 15, 4, 41, 53), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240412048L, datetime.datetime(2013, 5, 15, 4, 41, 53), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240409799L, datetime.datetime(2013, 5, 15, 4, 41, 53), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '6', 240413128L, datetime.datetime(2013, 5, 15, 4, 41, 53), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240408626L, datetime.datetime(2013, 5, 15, 4, 41, 53), 0.100507559059422, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240408817L, datetime.datetime(2013, 5, 15, 4, 41, 53), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'expand_tile', '4', 240409799L, datetime.datetime(2013, 5, 15, 4, 42, 27), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'view_full_application', '4', 240409799L, datetime.datetime(2013, 5, 15, 4, 43, 20), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240408817L, datetime.datetime(2013, 5, 15, 4, 45, 32), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '6', 240413128L, datetime.datetime(2013, 5, 15, 4, 45, 32), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240409799L, datetime.datetime(2013, 5, 15, 4, 45, 32), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '7', 240413867L, datetime.datetime(2013, 5, 15, 4, 45, 32), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240412048L, datetime.datetime(2013, 5, 15, 4, 45, 32), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409659L, datetime.datetime(2013, 5, 15, 4, 45, 32), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240408626L, datetime.datetime(2013, 5, 15, 4, 45, 32), 0.100507559059422, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240408817L, datetime.datetime(2013, 5, 15, 4, 49), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'expand_tile', '2', 240408817L, datetime.datetime(2013, 5, 15, 4, 49, 8), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'view_full_application', '2', 240408817L, datetime.datetime(2013, 5, 15, 4, 49, 12), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240408626L, datetime.datetime(2013, 5, 15, 4, 51, 56), 0.100507559059422, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240408817L, datetime.datetime(2013, 5, 15, 4, 51, 56), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409659L, datetime.datetime(2013, 5, 15, 4, 51, 56), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'impression', '7', 240413867L, datetime.datetime(2013, 5, 15, 4, 51, 56), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240412048L, datetime.datetime(2013, 5, 15, 4, 51, 56), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '6', 240413128L, datetime.datetime(2013, 5, 15, 4, 51, 56), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240409799L, datetime.datetime(2013, 5, 15, 4, 51, 56), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'expand_tile', '1', 240408626L, datetime.datetime(2013, 5, 15, 4, 52, 1), 0.100507559059422, False, 'best']
['francine-grant', 202539285, 'view_full_application', '1', 240408626L, datetime.datetime(2013, 5, 15, 4, 52, 6), 0.100507559059422, False, 'best']

['francine-grant', 202539285, 'impression', '4', 240408817L, datetime.datetime(2013, 5, 15, 14, 43, 40), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240413867L, datetime.datetime(2013, 5, 15, 14, 43, 40), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240412048L, datetime.datetime(2013, 5, 15, 14, 43, 40), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240409659L, datetime.datetime(2013, 5, 15, 14, 43, 40), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409799L, datetime.datetime(2013, 5, 15, 14, 43, 40), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '6', 240413128L, datetime.datetime(2013, 5, 15, 14, 43, 40), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '8', 240439000L, datetime.datetime(2013, 5, 15, 14, 43, 40), 0.496658902177406, True, 'best']
['francine-grant', 202539285, 'impression', '7', 240437333L, datetime.datetime(2013, 5, 15, 14, 43, 40), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'expand_tile', '8', 240439000L, datetime.datetime(2013, 5, 15, 14, 44, 38), 0.496658902177406, True, 'best']
['francine-grant', 202539285, 'collapse_tile', '8', 240439000L, datetime.datetime(2013, 5, 15, 14, 45, 19), 0.496658902177406, True, 'best']
['francine-grant', 202539285, 'expand_tile', '8', 240439000L, datetime.datetime(2013, 5, 15, 14, 45, 23), 0.496658902177406, True, 'best']
['francine-grant', 202539285, 'view_full_application', '8', 240439000L, datetime.datetime(2013, 5, 15, 14, 45, 26), 0.496658902177406, True, 'best']
['francine-grant', 202539285, 'impression', '4', 240408817L, datetime.datetime(2013, 5, 15, 14, 46, 56), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240412048L, datetime.datetime(2013, 5, 15, 14, 46, 56), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240413867L, datetime.datetime(2013, 5, 15, 14, 46, 56), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240409659L, datetime.datetime(2013, 5, 15, 14, 46, 56), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409799L, datetime.datetime(2013, 5, 15, 14, 46, 56), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '6', 240413128L, datetime.datetime(2013, 5, 15, 14, 46, 56), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '7', 240437333L, datetime.datetime(2013, 5, 15, 14, 46, 56), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'impression', '8', 240439000L, datetime.datetime(2013, 5, 15, 14, 46, 56), 0.496658902177406, True, 'best']
['francine-grant', 202539285, 'view_full_application_via_name', '8', 240439000L, datetime.datetime(2013, 5, 15, 14, 47, 11), 0.496658902177406, True, 'best']

['francine-grant', 202539285, 'impression', '4', 240408817L, datetime.datetime(2013, 5, 15, 23, 2, 58), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '8', 240439000L, datetime.datetime(2013, 5, 15, 23, 2, 58), 0.496658902177406, True, 'best']
['francine-grant', 202539285, 'impression', '6', 240413128L, datetime.datetime(2013, 5, 15, 23, 2, 58), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409799L, datetime.datetime(2013, 5, 15, 23, 2, 58), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '7', 240437333L, datetime.datetime(2013, 5, 15, 23, 2, 58), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240409659L, datetime.datetime(2013, 5, 15, 23, 2, 58), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240413867L, datetime.datetime(2013, 5, 15, 23, 2, 58), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240412048L, datetime.datetime(2013, 5, 15, 23, 2, 58), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'expand_tile', '8', 240439000L, datetime.datetime(2013, 5, 15, 23, 3, 22), 0.496658902177406, True, 'best']

['francine-grant', 202539285, 'impression', '2', 240413867L, datetime.datetime(2013, 5, 16, 2, 58, 54), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '6', 240412048L, datetime.datetime(2013, 5, 16, 2, 58, 54), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409659L, datetime.datetime(2013, 5, 16, 2, 58, 54), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240408817L, datetime.datetime(2013, 5, 16, 2, 58, 54), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '8', 240437333L, datetime.datetime(2013, 5, 16, 2, 58, 54), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240439000L, datetime.datetime(2013, 5, 16, 2, 58, 54), 0.496658902177406, True, 'best']
['francine-grant', 202539285, 'impression', '7', 240413128L, datetime.datetime(2013, 5, 16, 2, 58, 54), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240409799L, datetime.datetime(2013, 5, 16, 2, 58, 54), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'expand_tile', '8', 240437333L, datetime.datetime(2013, 5, 16, 2, 59, 28), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'view_full_application', '8', 240437333L, datetime.datetime(2013, 5, 16, 2, 59, 31), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409659L, datetime.datetime(2013, 5, 16, 2, 59, 49), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'impression', '6', 240412048L, datetime.datetime(2013, 5, 16, 2, 59, 49), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240413867L, datetime.datetime(2013, 5, 16, 2, 59, 49), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '8', 240437333L, datetime.datetime(2013, 5, 16, 2, 59, 49), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240409799L, datetime.datetime(2013, 5, 16, 2, 59, 49), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '7', 240413128L, datetime.datetime(2013, 5, 16, 2, 59, 49), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240439000L, datetime.datetime(2013, 5, 16, 2, 59, 49), 0.496658902177406, True, 'best']
['francine-grant', 202539285, 'impression', '5', 240408817L, datetime.datetime(2013, 5, 16, 2, 59, 49), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240439000L, datetime.datetime(2013, 5, 16, 2, 59, 51), 0.496658902177406, True, 'best']

['francine-grant', 202539285, 'impression', '5', 240408817L, datetime.datetime(2013, 5, 16, 4, 12, 37), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240413867L, datetime.datetime(2013, 5, 16, 4, 12, 37), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409659L, datetime.datetime(2013, 5, 16, 4, 12, 37), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'impression', '6', 240412048L, datetime.datetime(2013, 5, 16, 4, 12, 37), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240439000L, datetime.datetime(2013, 5, 16, 4, 12, 37), 0.496658902177406, True, 'best']
['francine-grant', 202539285, 'impression', '8', 240437333L, datetime.datetime(2013, 5, 16, 4, 12, 37), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'impression', '7', 240413128L, datetime.datetime(2013, 5, 16, 4, 12, 37), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240409799L, datetime.datetime(2013, 5, 16, 4, 12, 37), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'expand_tile', '2', 240413867L, datetime.datetime(2013, 5, 16, 4, 12, 58), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'view_full_application', '2', 240413867L, datetime.datetime(2013, 5, 16, 4, 13, 1), 0.238079025449974, False, 'best']

['francine-grant', 202539285, 'impression', '6', 240437333L, datetime.datetime(2013, 5, 18, 3, 38, 53), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240439000L, datetime.datetime(2013, 5, 18, 3, 38, 53), 0.496658902177406, True, 'best']
['francine-grant', 202539285, 'impression', '2', 240413867L, datetime.datetime(2013, 5, 18, 3, 38, 53), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240412048L, datetime.datetime(2013, 5, 18, 3, 38, 53), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240413128L, datetime.datetime(2013, 5, 18, 3, 38, 53), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409799L, datetime.datetime(2013, 5, 18, 3, 38, 53), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240413867L, datetime.datetime(2013, 5, 18, 3, 39, 16), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'expand_tile', '1', 240439000L, datetime.datetime(2013, 5, 18, 3, 39, 17), 0.496658902177406, True, 'best']
['francine-grant', 202539285, 'view_full_application', '1', 240439000L, datetime.datetime(2013, 5, 18, 3, 39, 20), 0.496658902177406, True, 'best']
['francine-grant', 202539285, 'impression', '5', 240437333L, datetime.datetime(2013, 5, 18, 3, 45, 19), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240409799L, datetime.datetime(2013, 5, 18, 3, 45, 19), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240413128L, datetime.datetime(2013, 5, 18, 3, 45, 19), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240413867L, datetime.datetime(2013, 5, 18, 3, 45, 19), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240412048L, datetime.datetime(2013, 5, 18, 3, 45, 19), 0.120009857740472, False, 'best']

['francine-grant', 202539285, 'impression', '1', 240413867L, datetime.datetime(2013, 5, 20, 5, 5, 51), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240412048L, datetime.datetime(2013, 5, 20, 5, 5, 51), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240413128L, datetime.datetime(2013, 5, 20, 5, 5, 51), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240437333L, datetime.datetime(2013, 5, 20, 5, 5, 51), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240703966L, datetime.datetime(2013, 5, 20, 5, 5, 51), 0.222268701847404, False, 'best']

['francine-grant', 202539285, 'impression', '4', 240413128L, datetime.datetime(2013, 5, 24, 2, 1, 49), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240413867L, datetime.datetime(2013, 5, 24, 2, 1, 49), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240412048L, datetime.datetime(2013, 5, 24, 2, 1, 49), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240437333L, datetime.datetime(2013, 5, 24, 2, 1, 49), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240703966L, datetime.datetime(2013, 5, 24, 2, 1, 49), 0.222268701847404, False, 'best']
['francine-grant', 202539285, 'view_full_application_via_name', '4', 240413128L, datetime.datetime(2013, 5, 24, 2, 2, 23), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240413128L, datetime.datetime(2013, 5, 24, 2, 2, 50), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240437333L, datetime.datetime(2013, 5, 24, 2, 2, 50), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240703966L, datetime.datetime(2013, 5, 24, 2, 2, 50), 0.222268701847404, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240413867L, datetime.datetime(2013, 5, 24, 2, 2, 50), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240412048L, datetime.datetime(2013, 5, 24, 2, 2, 50), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240703966L, datetime.datetime(2013, 5, 24, 2, 3, 3), 0.222268701847404, False, 'best']

['francine-grant', 202539285, 'impression', '5', 240437333L, datetime.datetime(2013, 5, 25, 21, 7, 42), 0.106856356510015, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240703966L, datetime.datetime(2013, 5, 25, 21, 7, 42), 0.222268701847404, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240413128L, datetime.datetime(2013, 5, 25, 21, 7, 42), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240412048L, datetime.datetime(2013, 5, 25, 21, 7, 42), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240413867L, datetime.datetime(2013, 5, 25, 21, 7, 42), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'expand_tile', '1', 240413867L, datetime.datetime(2013, 5, 25, 21, 7, 54), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'view_full_application', '1', 240413867L, datetime.datetime(2013, 5, 25, 21, 7, 57), 0.238079025449974, False, 'best']

