['shelovesboutique', 202592981, 'impression', '5', 241547881L, datetime.datetime(2013, 5, 29, 5, 9, 39), 0.0249428693299934, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '19', 241545805L, datetime.datetime(2013, 5, 29, 5, 9, 41), 0.0541468672113005, False, 'time']
['shelovesboutique', 202592981, 'send_message', '19', 241545805L, datetime.datetime(2013, 5, 29, 5, 9, 42), 0.0541468672113005, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '18', 241545939L, datetime.datetime(2013, 5, 29, 5, 9, 48), 0.0256880547634736, False, 'time']
['shelovesboutique', 202592981, 'send_message', '18', 241545939L, datetime.datetime(2013, 5, 29, 5, 9, 49), 0.0256880547634736, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '18', 241545939L, datetime.datetime(2013, 5, 29, 5, 10, 27), 0.0256880547634736, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '17', 241546115L, datetime.datetime(2013, 5, 29, 5, 10, 29), 0.0637958301345792, False, 'time']
['shelovesboutique', 202592981, 'send_message', '17', 241546115L, datetime.datetime(2013, 5, 29, 5, 10, 31), 0.0637958301345792, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '17', 241546115L, datetime.datetime(2013, 5, 29, 5, 10, 41), 0.0637958301345792, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '16', 241546170L, datetime.datetime(2013, 5, 29, 5, 10, 42), 0.0218972699878681, False, 'time']
['shelovesboutique', 202592981, 'send_message', '16', 241546170L, datetime.datetime(2013, 5, 29, 5, 10, 44), 0.0218972699878681, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '16', 241546170L, datetime.datetime(2013, 5, 29, 5, 10, 58), 0.0218972699878681, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '15', 241546300L, datetime.datetime(2013, 5, 29, 5, 11), 0.016169802099627, False, 'time']
['shelovesboutique', 202592981, 'send_message', '15', 241546300L, datetime.datetime(2013, 5, 29, 5, 11, 2), 0.016169802099627, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '15', 241546300L, datetime.datetime(2013, 5, 29, 5, 11, 23), 0.016169802099627, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '14', 241546606L, datetime.datetime(2013, 5, 29, 5, 11, 25), 0.116116577309728, False, 'time']
['shelovesboutique', 202592981, 'send_message', '14', 241546606L, datetime.datetime(2013, 5, 29, 5, 11, 26), 0.116116577309728, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '14', 241546606L, datetime.datetime(2013, 5, 29, 5, 11, 36), 0.116116577309728, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '13', 241546751L, datetime.datetime(2013, 5, 29, 5, 11, 37), 0.0520488028417951, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '13', 241546751L, datetime.datetime(2013, 5, 29, 5, 11, 41), 0.0520488028417951, False, 'time']
['shelovesboutique', 202592981, 'send_message', '13', 241546751L, datetime.datetime(2013, 5, 29, 5, 11, 42), 0.0520488028417951, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '13', 241546751L, datetime.datetime(2013, 5, 29, 5, 11, 58), 0.0520488028417951, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '12', 241547187L, datetime.datetime(2013, 5, 29, 5, 12), 0.0147590073501679, True, 'time']
['shelovesboutique', 202592981, 'send_message', '12', 241547187L, datetime.datetime(2013, 5, 29, 5, 12, 1), 0.0147590073501679, True, 'time']
['shelovesboutique', 202592981, 'expand_tile', '12', 241547187L, datetime.datetime(2013, 5, 29, 5, 12, 18), 0.0147590073501679, True, 'time']
['shelovesboutique', 202592981, 'expand_tile', '11', 241547285L, datetime.datetime(2013, 5, 29, 5, 12, 22), 0.0216958612489928, False, 'time']
['shelovesboutique', 202592981, 'send_message', '11', 241547285L, datetime.datetime(2013, 5, 29, 5, 12, 23), 0.0216958612489928, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '11', 241547285L, datetime.datetime(2013, 5, 29, 5, 12, 40), 0.0216958612489928, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '1', 241548351L, datetime.datetime(2013, 5, 29, 5, 19, 17), 0.0143070152060257, False, 'time']
['shelovesboutique', 202592981, 'send_message', '1', 241548351L, datetime.datetime(2013, 5, 29, 5, 19, 19), 0.0143070152060257, False, 'time']
['shelovesboutique', 202592981, 'view_full_application', '11', 241547285L, datetime.datetime(2013, 5, 29, 5, 19, 26), 0.0216958612489928, False, 'time']
['shelovesboutique', 202592981, 'view_full_application', '11', 241547285L, datetime.datetime(2013, 5, 29, 5, 19, 29), 0.0216958612489928, False, 'time']
['shelovesboutique', 202592981, 'impression', '15', 241547285L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0216958612489928, False, 'time']
