['jamesbeau', 202560645, 'collapse_tile', '5', 240867809L, datetime.datetime(2013, 5, 21, 0, 10, 48), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'expand_tile', '7', 240868349L, datetime.datetime(2013, 5, 21, 0, 10, 51), 0.0829921698820791, False, 'best']
['jamesbeau', 202560645, 'expand_tile', '6', 240867813L, datetime.datetime(2013, 5, 21, 0, 10, 53), 0.0896768382699566, False, 'best']
['jamesbeau', 202560645, 'expand_tile', '5', 240867809L, datetime.datetime(2013, 5, 21, 0, 11), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'collapse_tile', '5', 240867809L, datetime.datetime(2013, 5, 21, 0, 11, 10), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'expand_tile', '5', 240867809L, datetime.datetime(2013, 5, 21, 0, 11, 14), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'collapse_tile', '5', 240867809L, datetime.datetime(2013, 5, 21, 0, 11, 22), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'shortlist', '5', 240867809L, datetime.datetime(2013, 5, 21, 0, 30, 8), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'expand_tile', '8', 240867859L, datetime.datetime(2013, 5, 21, 0, 30, 50), 0.082567982727739, False, 'best']
['jamesbeau', 202560645, 'expand_tile', '19', 240870048L, datetime.datetime(2013, 5, 21, 0, 31, 58), 0.048111757513559, False, 'best']

['jamesbeau', 202560645, 'impression', '17', 240866867L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.0577368498331944, False, 'best']
['jamesbeau', 202560645, 'impression', '2', 240869608L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.139640153659762, False, 'best']
['jamesbeau', 202560645, 'impression', '7', 240868349L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.0829921698820791, False, 'best']
['jamesbeau', 202560645, 'impression', '14', 240867962L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.0711246168908146, False, 'best']
['jamesbeau', 202560645, 'impression', '18', 240871480L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.0517153160111561, False, 'best']
['jamesbeau', 202560645, 'impression', '3', 240867297L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.134066205892769, False, 'best']
['jamesbeau', 202560645, 'impression', '16', 240867106L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.0583194081278342, False, 'best']
['jamesbeau', 202560645, 'impression', '9', 240867796L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.0795150835304591, False, 'best']
['jamesbeau', 202560645, 'impression', '11', 240868901L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.0745380826359322, True, 'best']
['jamesbeau', 202560645, 'impression', '1', 240866959L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.236794475459156, False, 'best']
['jamesbeau', 202560645, 'impression', '10', 240867923L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.0758351364915558, False, 'best']
['jamesbeau', 202560645, 'impression', '8', 240867859L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.082567982727739, False, 'best']
['jamesbeau', 202560645, 'impression', '4', 240869196L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.111425942595132, True, 'best']
['jamesbeau', 202560645, 'impression', '19', 240867124L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.0496137981932153, False, 'best']
['jamesbeau', 202560645, 'impression', '20', 240870048L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.048111757513559, False, 'best']
['jamesbeau', 202560645, 'impression', '13', 240867621L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.0713359458771133, False, 'best']
['jamesbeau', 202560645, 'impression', '6', 240867813L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.0896768382699566, False, 'best']
['jamesbeau', 202560645, 'impression', '5', 240867809L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'impression', '12', 240875025L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.0713702289827385, False, 'best']
['jamesbeau', 202560645, 'impression', '15', 240867459L, datetime.datetime(2013, 5, 21, 4, 52, 27), 0.061920793029268, False, 'best']
['jamesbeau', 202560645, 'expand_tile', '3', 240867297L, datetime.datetime(2013, 5, 21, 4, 53, 39), 0.134066205892769, False, 'best']
['jamesbeau', 202560645, 'expand_tile', '5', 240867809L, datetime.datetime(2013, 5, 21, 4, 53, 50), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'expand_tile', '5', 240867809L, datetime.datetime(2013, 5, 21, 4, 54, 5), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'unshortlist', '5', 240867809L, datetime.datetime(2013, 5, 21, 4, 54, 5), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'expand_tile', '5', 240867809L, datetime.datetime(2013, 5, 21, 4, 54, 6), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'impression', '5', 240867809L, datetime.datetime(2013, 5, 21, 4, 54, 6), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'impression', None, 240867809L, datetime.datetime(2013, 5, 21, 4, 54, 6), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'shortlist', '5', 240867809L, datetime.datetime(2013, 5, 21, 4, 54, 6), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'impression', None, 240867809L, datetime.datetime(2013, 5, 21, 4, 54, 6), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'impression', '14', 240867962L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.0711246168908146, False, 'best']
['jamesbeau', 202560645, 'impression', '18', 240871480L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.0517153160111561, False, 'best']
['jamesbeau', 202560645, 'impression', '3', 240867297L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.134066205892769, False, 'best']
['jamesbeau', 202560645, 'impression', '7', 240868349L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.0829921698820791, False, 'best']
['jamesbeau', 202560645, 'impression', '2', 240869608L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.139640153659762, False, 'best']
['jamesbeau', 202560645, 'impression', '10', 240867923L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.0758351364915558, False, 'best']
['jamesbeau', 202560645, 'impression', '8', 240867859L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.082567982727739, False, 'best']
['jamesbeau', 202560645, 'impression', '19', 240867124L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.0496137981932153, False, 'best']
['jamesbeau', 202560645, 'impression', '4', 240869196L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.111425942595132, True, 'best']
['jamesbeau', 202560645, 'impression', '1', 240866959L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.236794475459156, False, 'best']
['jamesbeau', 202560645, 'impression', '5', 240867809L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.0999596588979136, False, 'best']
['jamesbeau', 202560645, 'impression', '12', 240875025L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.0713702289827385, False, 'best']
['jamesbeau', 202560645, 'impression', '15', 240867459L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.061920793029268, False, 'best']
['jamesbeau', 202560645, 'impression', '17', 240866867L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.0577368498331944, False, 'best']
['jamesbeau', 202560645, 'impression', '16', 240867106L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.0583194081278342, False, 'best']
['jamesbeau', 202560645, 'impression', '9', 240867796L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.0795150835304591, False, 'best']
['jamesbeau', 202560645, 'impression', '11', 240868901L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.0745380826359322, True, 'best']
['jamesbeau', 202560645, 'impression', '20', 240870048L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.048111757513559, False, 'best']
['jamesbeau', 202560645, 'impression', '6', 240867813L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.0896768382699566, False, 'best']
['jamesbeau', 202560645, 'impression', '13', 240867621L, datetime.datetime(2013, 5, 21, 5, 6, 10), 0.0713359458771133, False, 'best']
['jamesbeau', 202560645, 'impression', '15', 240867459L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.061920793029268, False, 'best']
['jamesbeau', 202560645, 'impression', '12', 240875025L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.0713702289827385, False, 'best']
['jamesbeau', 202560645, 'impression', '13', 240867621L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.0713359458771133, False, 'best']
['jamesbeau', 202560645, 'impression', '6', 240867813L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.0896768382699566, False, 'best']
['jamesbeau', 202560645, 'impression', '20', 240870048L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.048111757513559, False, 'best']
['jamesbeau', 202560645, 'impression', '7', 240868349L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.0829921698820791, False, 'best']
['jamesbeau', 202560645, 'impression', '2', 240869608L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.139640153659762, False, 'best']
['jamesbeau', 202560645, 'impression', '18', 240871480L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.0517153160111561, False, 'best']
