['bbojonell', 202537528, 'impression', '1', 240398740L, datetime.datetime(2013, 5, 15, 17, 16, 13), 0.548357545418526, False, 'best']
['bbojonell', 202537528, 'impression', '2', 240397993L, datetime.datetime(2013, 5, 15, 17, 16, 13), 0.500487863903278, False, 'best']
['bbojonell', 202537528, 'impression', '3', 240402039L, datetime.datetime(2013, 5, 15, 17, 16, 13), 0.370935353150222, False, 'best']
['bbojonell', 202537528, 'impression', '1', 240398740L, datetime.datetime(2013, 5, 15, 17, 19, 49), 0.548357545418526, False, 'best']
['bbojonell', 202537528, 'impression', '1', 240398740L, datetime.datetime(2013, 5, 15, 17, 23, 5), 0.548357545418526, False, 'best']
['bbojonell', 202537528, 'impression', '1', 240398740L, datetime.datetime(2013, 5, 15, 17, 23, 8), 0.548357545418526, False, 'best']
['bbojonell', 202537528, 'impression', '1', 240398740L, datetime.datetime(2013, 5, 15, 17, 23, 34), 0.548357545418526, False, 'best']
['bbojonell', 202537528, 'expand_tile', '1', 240398740L, datetime.datetime(2013, 5, 15, 17, 23, 36), 0.548357545418526, False, 'best']
['bbojonell', 202537528, 'impression', '1', 240398740L, datetime.datetime(2013, 5, 15, 17, 23, 45), 0.548357545418526, False, 'best']

['bbojonell', 202537528, 'impression', '1', 240398740L, datetime.datetime(2013, 5, 18, 19, 46, 14), 0.548357545418526, False, 'best']
['bbojonell', 202537528, 'impression', '1', 240398740L, datetime.datetime(2013, 5, 18, 19, 46, 50), 0.548357545418526, False, 'best']
['bbojonell', 202537528, 'impression', '2', 240397993L, datetime.datetime(2013, 5, 18, 19, 46, 50), 0.500487863903278, False, 'best']
['bbojonell', 202537528, 'view_full_application_via_name', '2', 240397993L, datetime.datetime(2013, 5, 18, 19, 46, 58), 0.500487863903278, False, 'best']
['bbojonell', 202537528, 'impression', '1', 240398740L, datetime.datetime(2013, 5, 18, 19, 47, 57), 0.548357545418526, False, 'best']
['bbojonell', 202537528, 'view_full_application_via_name', '1', 240398740L, datetime.datetime(2013, 5, 18, 19, 48, 1), 0.548357545418526, False, 'best']

['bbojonell', 202537528, 'impression', '1', 241572099L, datetime.datetime(2013, 5, 29, 13, 33, 16), 0.221045699574098, False, 'best']
['bbojonell', 202537528, 'expand_tile', '1', 241572099L, datetime.datetime(2013, 5, 29, 13, 33, 23), 0.221045699574098, False, 'best']
['bbojonell', 202537528, 'impression', '1', 241572099L, datetime.datetime(2013, 5, 29, 13, 33, 52), 0.221045699574098, False, 'best']
['bbojonell', 202537528, 'shortlist', '1', 241572099L, datetime.datetime(2013, 5, 29, 13, 33, 55), 0.221045699574098, False, 'best']
['bbojonell', 202537528, 'expand_tile', '1', 241572099L, datetime.datetime(2013, 5, 29, 13, 33, 55), 0.221045699574098, False, 'best']
['bbojonell', 202537528, 'expand_tile', '1', 241572099L, datetime.datetime(2013, 5, 29, 13, 33, 57), 0.221045699574098, False, 'best']
['bbojonell', 202537528, 'unshortlist', '1', 241572099L, datetime.datetime(2013, 5, 29, 13, 33, 57), 0.221045699574098, False, 'best']
['bbojonell', 202537528, 'impression', None, 241572099L, datetime.datetime(2013, 5, 29, 13, 33, 58), 0.221045699574098, False, 'best']
['bbojonell', 202537528, 'impression', '1', 241572099L, datetime.datetime(2013, 5, 29, 13, 33, 58), 0.221045699574098, False, 'best']
['bbojonell', 202537528, 'impression', None, 241572099L, datetime.datetime(2013, 5, 29, 13, 33, 58), 0.221045699574098, False, 'best']
['bbojonell', 202537528, 'impression', '1', 241572099L, datetime.datetime(2013, 5, 29, 13, 34, 25), 0.221045699574098, False, 'best']
['bbojonell', 202537528, 'impression', '1', 241572099L, datetime.datetime(2013, 5, 29, 13, 34, 27), 0.221045699574098, False, 'best']
['bbojonell', 202537528, 'expand_tile', '1', 241572099L, datetime.datetime(2013, 5, 29, 13, 34, 30), 0.221045699574098, False, 'best']
['bbojonell', 202537528, 'view_full_application', '1', 241572099L, datetime.datetime(2013, 5, 29, 13, 34, 40), 0.221045699574098, False, 'best']

