['jojobear', 202545555, 'impression', '9', 240559212L, datetime.datetime(2013, 5, 17, 1, 57, 32), 0.139271496576182, False, 'best']
['jojobear', 202545555, 'impression', '1', 240545299L, datetime.datetime(2013, 5, 17, 1, 57, 32), 0.297834237393332, False, 'best']
['jojobear', 202545555, 'impression', '5', 240548415L, datetime.datetime(2013, 5, 17, 1, 57, 32), 0.0826031095591774, False, 'best']
['jojobear', 202545555, 'expand_tile', '4', 240546643L, datetime.datetime(2013, 5, 17, 1, 57, 41), 0.185095697046623, False, 'best']
['jojobear', 202545555, 'collapse_tile', '4', 240546643L, datetime.datetime(2013, 5, 17, 1, 58, 11), 0.185095697046623, False, 'best']
['jojobear', 202545555, 'expand_tile', '4', 240546643L, datetime.datetime(2013, 5, 17, 1, 58, 16), 0.185095697046623, False, 'best']
['jojobear', 202545555, 'collapse_tile', '4', 240546643L, datetime.datetime(2013, 5, 17, 1, 58, 24), 0.185095697046623, False, 'best']
['jojobear', 202545555, 'expand_tile', '4', 240546643L, datetime.datetime(2013, 5, 17, 1, 58, 28), 0.185095697046623, False, 'best']
['jojobear', 202545555, 'collapse_tile', '4', 240546643L, datetime.datetime(2013, 5, 17, 1, 58, 32), 0.185095697046623, False, 'best']
['jojobear', 202545555, 'expand_tile', '4', 240546643L, datetime.datetime(2013, 5, 17, 1, 58, 35), 0.185095697046623, False, 'best']
['jojobear', 202545555, 'impression', '5', 240548415L, datetime.datetime(2013, 5, 17, 1, 59, 39), 0.0826031095591774, False, 'best']
['jojobear', 202545555, 'impression', '5', 240548415L, datetime.datetime(2013, 5, 17, 1, 59, 40), 0.0826031095591774, False, 'best']
['jojobear', 202545555, 'expand_tile', '6', 240551369L, datetime.datetime(2013, 5, 17, 1, 59, 44), 0.335926111596476, True, 'best']
['jojobear', 202545555, 'impression', '3', 240545698L, datetime.datetime(2013, 5, 17, 2, 1, 24), 0.203913019415322, False, 'best']
['jojobear', 202545555, 'impression', '6', 240551424L, datetime.datetime(2013, 5, 17, 2, 1, 24), 0.0279067687176522, False, 'best']
['jojobear', 202545555, 'impression', '2', 240545611L, datetime.datetime(2013, 5, 17, 2, 1, 24), 0.231232022524325, False, 'best']
['jojobear', 202545555, 'impression', '7', 240552249L, datetime.datetime(2013, 5, 17, 2, 1, 24), 0.145825197605072, False, 'best']
['jojobear', 202545555, 'impression', '8', 240559212L, datetime.datetime(2013, 5, 17, 2, 1, 24), 0.139271496576182, False, 'best']
['jojobear', 202545555, 'impression', '4', 240546643L, datetime.datetime(2013, 5, 17, 2, 1, 24), 0.185095697046623, False, 'best']
['jojobear', 202545555, 'impression', '5', 240551369L, datetime.datetime(2013, 5, 17, 2, 1, 24), 0.335926111596476, True, 'best']
['jojobear', 202545555, 'impression', '1', 240545299L, datetime.datetime(2013, 5, 17, 2, 1, 24), 0.297834237393332, False, 'best']
['jojobear', 202545555, 'expand_tile', '3', 240545698L, datetime.datetime(2013, 5, 17, 2, 1, 36), 0.203913019415322, False, 'best']
['jojobear', 202545555, 'expand_tile', '5', 240551369L, datetime.datetime(2013, 5, 17, 2, 1, 40), 0.335926111596476, True, 'best']
['jojobear', 202545555, 'expand_tile', '5', 240551369L, datetime.datetime(2013, 5, 17, 2, 5, 9), 0.335926111596476, True, 'best']
['jojobear', 202545555, 'shortlist', '5', 240551369L, datetime.datetime(2013, 5, 17, 2, 5, 9), 0.335926111596476, True, 'best']
['jojobear', 202545555, 'impression', '7', 240552249L, datetime.datetime(2013, 5, 17, 2, 5, 20), 0.145825197605072, False, 'best']
['jojobear', 202545555, 'impression', '6', 240551424L, datetime.datetime(2013, 5, 17, 2, 5, 22), 0.0279067687176522, False, 'best']
['jojobear', 202545555, 'expand_tile', '8', 240559212L, datetime.datetime(2013, 5, 17, 2, 5, 31), 0.139271496576182, False, 'best']
['jojobear', 202545555, 'impression', '8', 240559212L, datetime.datetime(2013, 5, 17, 2, 5, 37), 0.139271496576182, False, 'best']
['jojobear', 202545555, 'impression', '8', 240559212L, datetime.datetime(2013, 5, 17, 2, 5, 37), 0.139271496576182, False, 'best']
['jojobear', 202545555, 'expand_tile', '8', 240559212L, datetime.datetime(2013, 5, 17, 2, 5, 38), 0.139271496576182, False, 'best']
['jojobear', 202545555, 'impression', '6', 240551424L, datetime.datetime(2013, 5, 17, 2, 5, 40), 0.0279067687176522, False, 'best']
['jojobear', 202545555, 'impression', '6', 240551424L, datetime.datetime(2013, 5, 17, 2, 5, 43), 0.0279067687176522, False, 'best']
['jojobear', 202545555, 'impression', '1', 240545299L, datetime.datetime(2013, 5, 17, 2, 5, 56), 0.297834237393332, False, 'best']
['jojobear', 202545555, 'view_full_application_via_name', '2', 240545611L, datetime.datetime(2013, 5, 17, 2, 6, 15), 0.231232022524325, False, 'best']
['jojobear', 202545555, 'impression', '5', 240551424L, datetime.datetime(2013, 5, 17, 2, 6, 49), 0.0279067687176522, False, 'best']
