['rodgwag', 202570762, 'expand_tile', '2', 241061089L, datetime.datetime(2013, 5, 23, 1, 35, 29), 0.177898743115753, False, 'time']
['rodgwag', 202570762, 'view_full_application_via_name', '2', 241061089L, datetime.datetime(2013, 5, 23, 1, 35, 48), 0.177898743115753, False, 'time']
['rodgwag', 202570762, 'impression', '1', 241061394L, datetime.datetime(2013, 5, 23, 1, 36, 58), 0.129826758640576, False, 'time']
['rodgwag', 202570762, 'impression', '5', 241059516L, datetime.datetime(2013, 5, 23, 1, 36, 58), 0.168193433118097, False, 'time']
['rodgwag', 202570762, 'impression', '3', 241059904L, datetime.datetime(2013, 5, 23, 1, 36, 58), 0.210237107922315, False, 'time']
['rodgwag', 202570762, 'impression', '6', 241059175L, datetime.datetime(2013, 5, 23, 1, 36, 58), 0.204811754111599, False, 'time']
['rodgwag', 202570762, 'impression', '7', 241059174L, datetime.datetime(2013, 5, 23, 1, 36, 58), 0.120436227339883, False, 'time']
['rodgwag', 202570762, 'impression', '2', 241061089L, datetime.datetime(2013, 5, 23, 1, 36, 58), 0.177898743115753, False, 'time']
['rodgwag', 202570762, 'impression', '4', 241059616L, datetime.datetime(2013, 5, 23, 1, 36, 58), 0.450929106911519, False, 'time']
['rodgwag', 202570762, 'impression', '4', 241059616L, datetime.datetime(2013, 5, 23, 1, 36, 59), 0.450929106911519, False, 'time']
['rodgwag', 202570762, 'expand_tile', '6', 241059175L, datetime.datetime(2013, 5, 23, 1, 37, 17), 0.204811754111599, False, 'time']
['rodgwag', 202570762, 'collapse_tile', '6', 241059175L, datetime.datetime(2013, 5, 23, 1, 37, 26), 0.204811754111599, False, 'time']

['rodgwag', 202570762, 'impression', '15', 241063521L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.0759059239554706, False, 'time']
['rodgwag', 202570762, 'impression', '9', 241069018L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.0376624264001963, False, 'time']
['rodgwag', 202570762, 'impression', '14', 241064491L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.203888973897356, False, 'time']
['rodgwag', 202570762, 'impression', '19', 241059616L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.450929106911519, False, 'time']
['rodgwag', 202570762, 'impression', '5', 241093805L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.0602114892183061, False, 'time']
['rodgwag', 202570762, 'impression', '11', 241067181L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.141210281440683, False, 'time']
['rodgwag', 202570762, 'impression', '1', 241110955L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.0584881299351072, False, 'time']
['rodgwag', 202570762, 'impression', '2', 241103236L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.0581288034997737, False, 'time']
['rodgwag', 202570762, 'impression', '7', 241089904L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.230242617827074, False, 'time']
['rodgwag', 202570762, 'impression', '18', 241061394L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.129826758640576, False, 'time']
['rodgwag', 202570762, 'impression', '13', 241064705L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.0127839796960423, False, 'time']
['rodgwag', 202570762, 'impression', '8', 241072288L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.202335072048182, False, 'time']
['rodgwag', 202570762, 'impression', '12', 241065319L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.0723928630414234, False, 'time']
['rodgwag', 202570762, 'impression', '3', 241098553L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.140313437776416, False, 'time']
['rodgwag', 202570762, 'impression', '20', 241059516L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.168193433118097, False, 'time']
['rodgwag', 202570762, 'impression', '6', 241093694L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.0797246244097656, False, 'time']
['rodgwag', 202570762, 'impression', '17', 241061914L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.108648725223918, False, 'time']
['rodgwag', 202570762, 'impression', '10', 241068445L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.0875576358569705, False, 'time']
['rodgwag', 202570762, 'impression', '16', 241062062L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.236640031145895, False, 'time']
['rodgwag', 202570762, 'impression', '4', 241096710L, datetime.datetime(2013, 5, 24, 17, 10, 10), 0.065445034655897, False, 'time']
['rodgwag', 202570762, 'impression', '17', 241061914L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.108648725223918, False, 'time']
['rodgwag', 202570762, 'impression', '6', 241093694L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.0797246244097656, False, 'time']
['rodgwag', 202570762, 'impression', '10', 241068445L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.0875576358569705, False, 'time']
['rodgwag', 202570762, 'impression', '20', 241059516L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.168193433118097, False, 'time']
['rodgwag', 202570762, 'impression', '14', 241064491L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.203888973897356, False, 'time']
