['jonathonknight', 202575921, 'impression', '19', 241159267L, datetime.datetime(2013, 5, 24, 4, 1, 11), 0.013275768486325, False, 'time']
['jonathonknight', 202575921, 'impression', '9', 241159728L, datetime.datetime(2013, 5, 24, 4, 1, 11), 0.0418324526736886, False, 'time']
['jonathonknight', 202575921, 'impression', '16', 241159573L, datetime.datetime(2013, 5, 24, 4, 1, 11), 0.0306763329025507, False, 'time']
['jonathonknight', 202575921, 'impression', '1', 241160195L, datetime.datetime(2013, 5, 24, 4, 1, 11), 0.133977279080083, False, 'time']
['jonathonknight', 202575921, 'impression', '11', 241159705L, datetime.datetime(2013, 5, 24, 4, 1, 11), 0.0651629963289778, False, 'time']
['jonathonknight', 202575921, 'impression', '2', 241160166L, datetime.datetime(2013, 5, 24, 4, 1, 11), 0.0123991373117675, False, 'time']
['jonathonknight', 202575921, 'impression', '15', 241159575L, datetime.datetime(2013, 5, 24, 4, 1, 11), 0.0394021725637739, False, 'time']
['jonathonknight', 202575921, 'impression', '13', 241159607L, datetime.datetime(2013, 5, 24, 4, 1, 11), 0.0216412100891163, False, 'time']
['jonathonknight', 202575921, 'view_full_application_via_name', '11', 241159705L, datetime.datetime(2013, 5, 24, 4, 2, 6), 0.0651629963289778, False, 'time']
['jonathonknight', 202575921, 'impression', '15', 241159728L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0418324526736886, False, 'time']
['jonathonknight', 202575921, 'impression', '8', 241160166L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0123991373117675, False, 'time']
['jonathonknight', 202575921, 'impression', '17', 241159705L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0651629963289778, False, 'time']
['jonathonknight', 202575921, 'impression', '7', 241160195L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.133977279080083, False, 'time']
['jonathonknight', 202575921, 'impression', '14', 241159794L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0387972415915041, False, 'time']
['jonathonknight', 202575921, 'impression', '10', 241160045L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0938776146872946, False, 'time']
['jonathonknight', 202575921, 'impression', '19', 241159607L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0216412100891163, False, 'time']
['jonathonknight', 202575921, 'impression', '5', 241160410L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0364892161830019, False, 'time']
['jonathonknight', 202575921, 'impression', '16', 241159709L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0105272817593325, False, 'time']
['jonathonknight', 202575921, 'impression', '12', 241160016L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.042208514123885, False, 'time']
['jonathonknight', 202575921, 'impression', '9', 241160064L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0544503221435359, False, 'time']
['jonathonknight', 202575921, 'impression', '4', 241160454L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0745206797153205, False, 'time']
['jonathonknight', 202575921, 'impression', '11', 241160024L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0155750919679567, False, 'time']
['jonathonknight', 202575921, 'impression', '3', 241160466L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0131697279376455, False, 'time']
['jonathonknight', 202575921, 'impression', '6', 241160365L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0342487018247593, False, 'time']
['jonathonknight', 202575921, 'impression', '18', 241159678L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.107710075629048, False, 'time']
['jonathonknight', 202575921, 'impression', '20', 241159598L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.122509407398297, False, 'time']
['jonathonknight', 202575921, 'impression', '2', 241160506L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0524898310128797, False, 'time']
['jonathonknight', 202575921, 'impression', '13', 241159964L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0617553498340718, False, 'time']
['jonathonknight', 202575921, 'impression', '1', 241160992L, datetime.datetime(2013, 5, 24, 4, 15, 1), 0.0412957171901394, False, 'time']
['jonathonknight', 202575921, 'impression', '1', 241159705L, datetime.datetime(2013, 5, 24, 4, 15, 22), 0.0651629963289778, False, 'time']

['jonathonknight', 202575921, 'impression', '7', 241162211L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0229907900352165, False, 'time']
['jonathonknight', 202575921, 'impression', '9', 241161669L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0230726823128541, False, 'time']
['jonathonknight', 202575921, 'impression', '13', 241161167L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0503010239480937, False, 'time']
['jonathonknight', 202575921, 'impression', '12', 241161298L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0489389434858476, False, 'time']
['jonathonknight', 202575921, 'impression', '5', 241162342L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0374575395111953, False, 'time']
['jonathonknight', 202575921, 'impression', '15', 241161061L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0165199642135252, False, 'time']
['jonathonknight', 202575921, 'impression', '14', 241161101L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0373397549921203, False, 'time']
['jonathonknight', 202575921, 'impression', '8', 241161862L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0345764831027587, False, 'time']
['jonathonknight', 202575921, 'impression', '2', 241162667L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0525984731247759, False, 'time']
['jonathonknight', 202575921, 'impression', '18', 241160466L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0131697279376455, False, 'time']
['jonathonknight', 202575921, 'impression', '16', 241160992L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0412957171901394, False, 'time']
