['seagull71', 202565612, 'impression', '4', 240968381L, datetime.datetime(2013, 5, 23, 7, 44, 44), 0.115568346637394, True, 'best']
['seagull71', 202565612, 'expand_tile', '1', 240967554L, datetime.datetime(2013, 5, 23, 7, 45, 10), 0.179973408595497, False, 'best']
['seagull71', 202565612, 'collapse_tile', '1', 240967554L, datetime.datetime(2013, 5, 23, 7, 45, 12), 0.179973408595497, False, 'best']
['seagull71', 202565612, 'expand_tile', '1', 240967554L, datetime.datetime(2013, 5, 23, 7, 45, 21), 0.179973408595497, False, 'best']
['seagull71', 202565612, 'expand_tile', '4', 240968381L, datetime.datetime(2013, 5, 23, 7, 52, 59), 0.115568346637394, True, 'best']
['seagull71', 202565612, 'send_message', '4', 240968381L, datetime.datetime(2013, 5, 23, 7, 53, 23), 0.115568346637394, True, 'best']
['seagull71', 202565612, 'expand_tile', '4', 240968381L, datetime.datetime(2013, 5, 23, 7, 57, 28), 0.115568346637394, True, 'best']

['seagull71', 202565612, 'impression', '3', 240964615L, datetime.datetime(2013, 5, 27, 21, 5, 23), 0.118761105033604, False, 'best']
['seagull71', 202565612, 'impression', '1', 240967554L, datetime.datetime(2013, 5, 27, 21, 5, 23), 0.179973408595497, False, 'best']
['seagull71', 202565612, 'impression', '4', 240964620L, datetime.datetime(2013, 5, 27, 21, 5, 23), 0.0466117520783218, False, 'best']
['seagull71', 202565612, 'impression', '2', 240964652L, datetime.datetime(2013, 5, 27, 21, 5, 23), 0.150319880281655, False, 'best']

