['johnbartik', 202588023, 'impression', '4', 241445149L, datetime.datetime(2013, 5, 28, 8, 2, 27), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '3', 241445568L, datetime.datetime(2013, 5, 28, 8, 2, 27), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'impression', '2', 241447750L, datetime.datetime(2013, 5, 28, 8, 2, 27), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'impression', '1', 241455145L, datetime.datetime(2013, 5, 28, 8, 2, 27), 0.0473291862130629, False, 'time']
['johnbartik', 202588023, 'shortlist', '1', 241455145L, datetime.datetime(2013, 5, 28, 8, 2, 33), 0.0473291862130629, False, 'time']

['johnbartik', 202588023, 'impression', '2', 241447750L, datetime.datetime(2013, 5, 28, 9, 2, 42), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'impression', '1', 241455145L, datetime.datetime(2013, 5, 28, 9, 2, 42), 0.0473291862130629, False, 'time']
['johnbartik', 202588023, 'impression', '3', 241445568L, datetime.datetime(2013, 5, 28, 9, 2, 42), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'impression', '4', 241445149L, datetime.datetime(2013, 5, 28, 9, 2, 42), 0.0195159478846435, True, 'time']

['johnbartik', 202588023, 'impression', '2', 241447750L, datetime.datetime(2013, 5, 28, 12, 2, 27), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'impression', '1', 241455145L, datetime.datetime(2013, 5, 28, 12, 2, 27), 0.0473291862130629, False, 'time']
['johnbartik', 202588023, 'impression', '4', 241445149L, datetime.datetime(2013, 5, 28, 12, 2, 27), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '3', 241445568L, datetime.datetime(2013, 5, 28, 12, 2, 27), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'view_full_application_via_name', '1', 241455145L, datetime.datetime(2013, 5, 28, 12, 2, 42), 0.0473291862130629, False, 'time']
['johnbartik', 202588023, 'impression', '1', 241455145L, datetime.datetime(2013, 5, 28, 12, 3, 19), 0.0473291862130629, False, 'time']
['johnbartik', 202588023, 'impression', '3', 241445568L, datetime.datetime(2013, 5, 28, 12, 3, 19), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'impression', '4', 241445149L, datetime.datetime(2013, 5, 28, 12, 3, 19), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '2', 241447750L, datetime.datetime(2013, 5, 28, 12, 3, 19), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'view_full_application_via_name', '4', 241445149L, datetime.datetime(2013, 5, 28, 12, 3, 21), 0.0195159478846435, True, 'time']

['johnbartik', 202588023, 'impression', '4', 241445149L, datetime.datetime(2013, 5, 29, 4, 9, 57), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '3', 241445568L, datetime.datetime(2013, 5, 29, 4, 9, 57), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'impression', '1', 241455145L, datetime.datetime(2013, 5, 29, 4, 9, 57), 0.0473291862130629, False, 'time']
['johnbartik', 202588023, 'impression', '2', 241447750L, datetime.datetime(2013, 5, 29, 4, 9, 57), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'impression', '2', 241447750L, datetime.datetime(2013, 5, 29, 4, 9, 58), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'impression', '2', 241447750L, datetime.datetime(2013, 5, 29, 4, 11, 49), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'impression', '3', 241445568L, datetime.datetime(2013, 5, 29, 4, 11, 49), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'impression', '4', 241445149L, datetime.datetime(2013, 5, 29, 4, 11, 49), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '1', 241455145L, datetime.datetime(2013, 5, 29, 4, 11, 49), 0.0473291862130629, False, 'time']

['johnbartik', 202588023, 'impression', '1', 241455145L, datetime.datetime(2013, 5, 29, 11, 28, 10), 0.0473291862130629, False, 'time']
['johnbartik', 202588023, 'impression', '2', 241447750L, datetime.datetime(2013, 5, 29, 11, 28, 10), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'impression', '3', 241445149L, datetime.datetime(2013, 5, 29, 11, 28, 10), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '2', 241447750L, datetime.datetime(2013, 5, 29, 11, 28, 17), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'view_full_application_via_name', '3', 241445149L, datetime.datetime(2013, 5, 29, 11, 28, 44), 0.0195159478846435, True, 'time']

