['leaf_lao', 202584921, 'view_full_application', '3', 241375348L, datetime.datetime(2013, 5, 27, 7, 23, 54), 0.050429455914673, False, 'best']
['leaf_lao', 202584921, 'impression', '1', 241371232L, datetime.datetime(2013, 5, 27, 7, 24, 53), 0.13793889343812, False, 'best']
['leaf_lao', 202584921, 'impression', '6', 241372860L, datetime.datetime(2013, 5, 27, 7, 24, 53), 0.0748175629441474, False, 'best']
['leaf_lao', 202584921, 'impression', '4', 241375629L, datetime.datetime(2013, 5, 27, 7, 24, 53), 0.0399926350037824, False, 'best']
['leaf_lao', 202584921, 'impression', '3', 241375348L, datetime.datetime(2013, 5, 27, 7, 24, 53), 0.050429455914673, False, 'best']
['leaf_lao', 202584921, 'impression', '5', 241377002L, datetime.datetime(2013, 5, 27, 7, 24, 53), 0.0383442209156881, False, 'best']
['leaf_lao', 202584921, 'impression', '7', 241374389L, datetime.datetime(2013, 5, 27, 7, 24, 53), 0.0835680229633286, False, 'best']
['leaf_lao', 202584921, 'impression', '2', 241375961L, datetime.datetime(2013, 5, 27, 7, 24, 53), 0.0674299005087397, False, 'best']
['leaf_lao', 202584921, 'expand_tile', '2', 241375961L, datetime.datetime(2013, 5, 27, 7, 25, 5), 0.0674299005087397, False, 'best']
['leaf_lao', 202584921, 'view_full_application_via_name', '2', 241375961L, datetime.datetime(2013, 5, 27, 7, 25, 12), 0.0674299005087397, False, 'best']
['leaf_lao', 202584921, 'impression', '6', 241377002L, datetime.datetime(2013, 5, 27, 7, 32, 46), 0.0383442209156881, False, 'best']
['leaf_lao', 202584921, 'impression', '4', 241375348L, datetime.datetime(2013, 5, 27, 7, 32, 46), 0.050429455914673, False, 'best']
['leaf_lao', 202584921, 'impression', '8', 241374389L, datetime.datetime(2013, 5, 27, 7, 32, 46), 0.0835680229633286, False, 'best']
['leaf_lao', 202584921, 'impression', '7', 241372860L, datetime.datetime(2013, 5, 27, 7, 32, 46), 0.0748175629441474, False, 'best']
['leaf_lao', 202584921, 'impression', '5', 241375629L, datetime.datetime(2013, 5, 27, 7, 32, 46), 0.0399926350037824, False, 'best']
['leaf_lao', 202584921, 'impression', '1', 241371232L, datetime.datetime(2013, 5, 27, 7, 32, 46), 0.13793889343812, False, 'best']
['leaf_lao', 202584921, 'impression', '2', 241378262L, datetime.datetime(2013, 5, 27, 7, 32, 46), 0.0790268757842743, False, 'best']
['leaf_lao', 202584921, 'impression', '3', 241375961L, datetime.datetime(2013, 5, 27, 7, 32, 46), 0.0674299005087397, False, 'best']
['leaf_lao', 202584921, 'expand_tile', '2', 241378262L, datetime.datetime(2013, 5, 27, 7, 32, 55), 0.0790268757842743, False, 'best']
['leaf_lao', 202584921, 'collapse_tile', '2', 241378262L, datetime.datetime(2013, 5, 27, 7, 33, 13), 0.0790268757842743, False, 'best']
['leaf_lao', 202584921, 'hide', '2', 241378262L, datetime.datetime(2013, 5, 27, 7, 33, 18), 0.0790268757842743, False, 'best']
['leaf_lao', 202584921, 'expand_tile', '7', 241372860L, datetime.datetime(2013, 5, 27, 7, 33, 34), 0.0748175629441474, False, 'best']
['leaf_lao', 202584921, 'collapse_tile', '7', 241372860L, datetime.datetime(2013, 5, 27, 7, 33, 42), 0.0748175629441474, False, 'best']
['leaf_lao', 202584921, 'expand_tile', '4', 241375348L, datetime.datetime(2013, 5, 27, 7, 34, 6), 0.050429455914673, False, 'best']
['leaf_lao', 202584921, 'expand_tile', '5', 241375629L, datetime.datetime(2013, 5, 27, 7, 34, 13), 0.0399926350037824, False, 'best']
['leaf_lao', 202584921, 'collapse_tile', '5', 241375629L, datetime.datetime(2013, 5, 27, 7, 34, 14), 0.0399926350037824, False, 'best']
['leaf_lao', 202584921, 'expand_tile', '5', 241375629L, datetime.datetime(2013, 5, 27, 7, 34, 15), 0.0399926350037824, False, 'best']
['leaf_lao', 202584921, 'view_full_application', '5', 241375629L, datetime.datetime(2013, 5, 27, 7, 34, 16), 0.0399926350037824, False, 'best']
['leaf_lao', 202584921, 'impression', '6', 241372860L, datetime.datetime(2013, 5, 27, 7, 40, 27), 0.0748175629441474, False, 'best']
['leaf_lao', 202584921, 'impression', '4', 241375629L, datetime.datetime(2013, 5, 27, 7, 40, 27), 0.0399926350037824, False, 'best']
['leaf_lao', 202584921, 'impression', '2', 241375961L, datetime.datetime(2013, 5, 27, 7, 40, 27), 0.0674299005087397, False, 'best']
