['mirzashahnaz', 202569677, 'impression', '10', 241045129L, datetime.datetime(2013, 5, 23, 14, 12, 35), 0.358976771098831, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '1', 241100994L, datetime.datetime(2013, 5, 23, 14, 12, 41), 0.686611856941938, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241098972L, datetime.datetime(2013, 5, 23, 14, 12, 42), 0.106060742844848, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241098972L, datetime.datetime(2013, 5, 23, 14, 12, 42), 0.106060742844848, False, 'time']

['mirzashahnaz', 202569677, 'impression', '6', 241049385L, datetime.datetime(2013, 5, 24, 3, 55, 32), 0.0363930071541449, False, 'time']
['mirzashahnaz', 202569677, 'impression', '1', 241100994L, datetime.datetime(2013, 5, 24, 3, 55, 32), 0.686611856941938, False, 'time']
['mirzashahnaz', 202569677, 'impression', '11', 241045036L, datetime.datetime(2013, 5, 24, 3, 55, 32), 0.405213944062989, False, 'time']
['mirzashahnaz', 202569677, 'impression', '12', 241044404L, datetime.datetime(2013, 5, 24, 3, 55, 32), 0.32154048773709, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241060110L, datetime.datetime(2013, 5, 24, 3, 55, 32), 0.321746620465459, False, 'time']
['mirzashahnaz', 202569677, 'impression', '7', 241046765L, datetime.datetime(2013, 5, 24, 3, 55, 32), 0.294099610497063, False, 'time']
['mirzashahnaz', 202569677, 'impression', '4', 241075995L, datetime.datetime(2013, 5, 24, 3, 55, 32), 0.369306558330537, False, 'time']
['mirzashahnaz', 202569677, 'impression', '10', 241045129L, datetime.datetime(2013, 5, 24, 3, 55, 32), 0.358976771098831, False, 'time']
['mirzashahnaz', 202569677, 'impression', '3', 241088021L, datetime.datetime(2013, 5, 24, 3, 55, 32), 0.142109623261979, False, 'time']
['mirzashahnaz', 202569677, 'impression', '8', 241045820L, datetime.datetime(2013, 5, 24, 3, 55, 32), 0.203669893118469, False, 'time']
['mirzashahnaz', 202569677, 'impression', '9', 241045804L, datetime.datetime(2013, 5, 24, 3, 55, 32), 0.284407588937882, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241098972L, datetime.datetime(2013, 5, 24, 3, 55, 32), 0.106060742844848, False, 'time']
['mirzashahnaz', 202569677, 'impression', '11', 241045036L, datetime.datetime(2013, 5, 24, 3, 56, 8), 0.405213944062989, False, 'time']
['mirzashahnaz', 202569677, 'expand_tile', '11', 241045036L, datetime.datetime(2013, 5, 24, 3, 56, 18), 0.405213944062989, False, 'time']
['mirzashahnaz', 202569677, 'impression', '11', 241045036L, datetime.datetime(2013, 5, 24, 3, 57, 2), 0.405213944062989, False, 'time']
['mirzashahnaz', 202569677, 'impression', '11', 241045036L, datetime.datetime(2013, 5, 24, 3, 57, 4), 0.405213944062989, False, 'time']
['mirzashahnaz', 202569677, 'impression', '11', 241045036L, datetime.datetime(2013, 5, 24, 3, 57, 6), 0.405213944062989, False, 'time']
['mirzashahnaz', 202569677, 'impression', '11', 241045036L, datetime.datetime(2013, 5, 24, 3, 57, 8), 0.405213944062989, False, 'time']
['mirzashahnaz', 202569677, 'expand_tile', '11', 241045036L, datetime.datetime(2013, 5, 24, 3, 57, 27), 0.405213944062989, False, 'time']
['mirzashahnaz', 202569677, 'impression', '12', 241044404L, datetime.datetime(2013, 5, 24, 3, 57, 29), 0.32154048773709, False, 'time']
['mirzashahnaz', 202569677, 'impression', '10', 241045129L, datetime.datetime(2013, 5, 24, 3, 57, 32), 0.358976771098831, False, 'time']
