['marvinmacs', 202567111, 'unshortlist', '3', 241006314L, datetime.datetime(2013, 5, 29, 11, 4, 20), 0.133511927596559, True, 'best']
['marvinmacs', 202567111, 'impression', '2', 241061407L, datetime.datetime(2013, 5, 29, 11, 4, 35), 0.219125392175578, False, 'best']
['marvinmacs', 202567111, 'unshortlist', '2', 241061407L, datetime.datetime(2013, 5, 29, 11, 4, 36), 0.219125392175578, False, 'best']

['marvinmacs', 202567111, 'impression', '1', 241071475L, datetime.datetime(2013, 5, 29, 11, 46, 25), 0.32781518632672, False, 'best']
['marvinmacs', 202567111, 'impression', '3', 241006314L, datetime.datetime(2013, 5, 29, 11, 46, 25), 0.133511927596559, True, 'best']
['marvinmacs', 202567111, 'impression', '4', 241036464L, datetime.datetime(2013, 5, 29, 11, 46, 25), 0.13166293705251, False, 'best']
['marvinmacs', 202567111, 'impression', '2', 241061407L, datetime.datetime(2013, 5, 29, 11, 46, 25), 0.219125392175578, False, 'best']
['marvinmacs', 202567111, 'shortlist', '2', 241061407L, datetime.datetime(2013, 5, 29, 11, 46, 31), 0.219125392175578, False, 'best']
['marvinmacs', 202567111, 'expand_tile', '4', 241036464L, datetime.datetime(2013, 5, 29, 11, 46, 40), 0.13166293705251, False, 'best']
['marvinmacs', 202567111, 'impression', '1', 241071475L, datetime.datetime(2013, 5, 29, 11, 47, 9), 0.32781518632672, False, 'best']
['marvinmacs', 202567111, 'impression', '2', 241061407L, datetime.datetime(2013, 5, 29, 11, 47, 9), 0.219125392175578, False, 'best']
['marvinmacs', 202567111, 'impression', '4', 241036464L, datetime.datetime(2013, 5, 29, 11, 47, 9), 0.13166293705251, False, 'best']
['marvinmacs', 202567111, 'impression', '3', 241006314L, datetime.datetime(2013, 5, 29, 11, 47, 9), 0.133511927596559, True, 'best']
['marvinmacs', 202567111, 'impression', '1', 241071475L, datetime.datetime(2013, 5, 29, 11, 47, 13), 0.32781518632672, False, 'best']
['marvinmacs', 202567111, 'impression', '4', 241036464L, datetime.datetime(2013, 5, 29, 11, 47, 37), 0.13166293705251, False, 'best']
['marvinmacs', 202567111, 'impression', '3', 241006314L, datetime.datetime(2013, 5, 29, 11, 47, 37), 0.133511927596559, True, 'best']
['marvinmacs', 202567111, 'impression', '2', 241061407L, datetime.datetime(2013, 5, 29, 11, 47, 37), 0.219125392175578, False, 'best']
['marvinmacs', 202567111, 'impression', '5', 241019815L, datetime.datetime(2013, 5, 29, 11, 47, 37), 0.0772201684886795, False, 'best']
['marvinmacs', 202567111, 'impression', '1', 241071475L, datetime.datetime(2013, 5, 29, 11, 47, 37), 0.32781518632672, False, 'best']
['marvinmacs', 202567111, 'expand_tile', '5', 241019815L, datetime.datetime(2013, 5, 29, 11, 47, 42), 0.0772201684886795, False, 'best']
['marvinmacs', 202567111, 'impression', '1', 241071475L, datetime.datetime(2013, 5, 29, 11, 49, 37), 0.32781518632672, False, 'best']
['marvinmacs', 202567111, 'impression', '2', 241061407L, datetime.datetime(2013, 5, 29, 11, 49, 37), 0.219125392175578, False, 'best']
['marvinmacs', 202567111, 'impression', '5', 241019815L, datetime.datetime(2013, 5, 29, 11, 49, 37), 0.0772201684886795, False, 'best']
['marvinmacs', 202567111, 'impression', '3', 241006314L, datetime.datetime(2013, 5, 29, 11, 49, 37), 0.133511927596559, True, 'best']
['marvinmacs', 202567111, 'impression', '4', 241036464L, datetime.datetime(2013, 5, 29, 11, 49, 37), 0.13166293705251, False, 'best']
['marvinmacs', 202567111, 'impression', '1', 241071475L, datetime.datetime(2013, 5, 29, 11, 50, 43), 0.32781518632672, False, 'best']
['marvinmacs', 202567111, 'impression', '3', 241006314L, datetime.datetime(2013, 5, 29, 11, 50, 43), 0.133511927596559, True, 'best']
['marvinmacs', 202567111, 'impression', '4', 241036464L, datetime.datetime(2013, 5, 29, 11, 50, 43), 0.13166293705251, False, 'best']
['marvinmacs', 202567111, 'impression', '2', 241061407L, datetime.datetime(2013, 5, 29, 11, 50, 43), 0.219125392175578, False, 'best']
['marvinmacs', 202567111, 'impression', '5', 241019815L, datetime.datetime(2013, 5, 29, 11, 50, 43), 0.0772201684886795, False, 'best']
['marvinmacs', 202567111, 'view_full_application_via_name', '2', 241061407L, datetime.datetime(2013, 5, 29, 11, 50, 46), 0.219125392175578, False, 'best']

