['jainmadhu65', 202571744, 'impression', '5', 241078749L, datetime.datetime(2013, 5, 23, 9, 55, 22), 0.0359973033932486, False, 'time']
['jainmadhu65', 202571744, 'impression', '3', 241078947L, datetime.datetime(2013, 5, 23, 9, 55, 22), 0.059849816930693, False, 'time']
['jainmadhu65', 202571744, 'impression', '1', 241086019L, datetime.datetime(2013, 5, 23, 9, 55, 22), 0.166134688549627, False, 'time']
['jainmadhu65', 202571744, 'expand_tile', '2', 241085831L, datetime.datetime(2013, 5, 23, 9, 55, 30), 0.0625126740904973, False, 'time']
['jainmadhu65', 202571744, 'view_full_application', '2', 241085831L, datetime.datetime(2013, 5, 23, 9, 55, 33), 0.0625126740904973, False, 'time']
['jainmadhu65', 202571744, 'impression', '4', 241078854L, datetime.datetime(2013, 5, 23, 9, 58, 24), 0.0464146098158238, False, 'time']
['jainmadhu65', 202571744, 'impression', '5', 241078749L, datetime.datetime(2013, 5, 23, 9, 58, 24), 0.0359973033932486, False, 'time']
['jainmadhu65', 202571744, 'impression', '3', 241078947L, datetime.datetime(2013, 5, 23, 9, 58, 24), 0.059849816930693, False, 'time']
['jainmadhu65', 202571744, 'impression', '2', 241085831L, datetime.datetime(2013, 5, 23, 9, 58, 24), 0.0625126740904973, False, 'time']
['jainmadhu65', 202571744, 'impression', '1', 241086019L, datetime.datetime(2013, 5, 23, 9, 58, 24), 0.166134688549627, False, 'time']

['jainmadhu65', 202571744, 'impression', '3', 241078947L, datetime.datetime(2013, 5, 23, 10, 36, 34), 0.059849816930693, False, 'time']
['jainmadhu65', 202571744, 'impression', '4', 241078854L, datetime.datetime(2013, 5, 23, 10, 36, 34), 0.0464146098158238, False, 'time']
['jainmadhu65', 202571744, 'impression', '1', 241086019L, datetime.datetime(2013, 5, 23, 10, 36, 34), 0.166134688549627, False, 'time']
['jainmadhu65', 202571744, 'impression', '2', 241085831L, datetime.datetime(2013, 5, 23, 10, 36, 34), 0.0625126740904973, False, 'time']
['jainmadhu65', 202571744, 'impression', '5', 241078749L, datetime.datetime(2013, 5, 23, 10, 36, 34), 0.0359973033932486, False, 'time']
['jainmadhu65', 202571744, 'view_full_application_via_name', '1', 241086019L, datetime.datetime(2013, 5, 23, 10, 37, 18), 0.166134688549627, False, 'time']

