['colormerichedu', 202543332, 'impression', '3', 240498282L, datetime.datetime(2013, 5, 18, 0, 59, 34), 0.178379968607619, False, 'best']
['colormerichedu', 202543332, 'impression', '6', 240546597L, datetime.datetime(2013, 5, 18, 0, 59, 34), 0.111544226605351, False, 'best']

['colormerichedu', 202543332, 'impression', '7', 240526948L, datetime.datetime(2013, 5, 19, 0, 36, 46), 0.103226220462358, False, 'best']
['colormerichedu', 202543332, 'impression', '5', 240523589L, datetime.datetime(2013, 5, 19, 0, 36, 46), 0.16579643063566, False, 'best']
['colormerichedu', 202543332, 'impression', '3', 240498282L, datetime.datetime(2013, 5, 19, 0, 36, 46), 0.178379968607619, False, 'best']
['colormerichedu', 202543332, 'impression', '1', 240495971L, datetime.datetime(2013, 5, 19, 0, 36, 46), 0.271119910451123, False, 'best']
['colormerichedu', 202543332, 'impression', '2', 240517670L, datetime.datetime(2013, 5, 19, 0, 36, 46), 0.200972759080885, False, 'best']
['colormerichedu', 202543332, 'impression', '4', 240625500L, datetime.datetime(2013, 5, 19, 0, 36, 46), 0.174805850856308, False, 'best']
['colormerichedu', 202543332, 'impression', '6', 240546597L, datetime.datetime(2013, 5, 19, 0, 36, 46), 0.111544226605351, False, 'best']
['colormerichedu', 202543332, 'expand_tile', '2', 240517670L, datetime.datetime(2013, 5, 19, 0, 36, 58), 0.200972759080885, False, 'best']
['colormerichedu', 202543332, 'view_full_application', '2', 240517670L, datetime.datetime(2013, 5, 19, 0, 37, 15), 0.200972759080885, False, 'best']
['colormerichedu', 202543332, 'impression', '4', 240625500L, datetime.datetime(2013, 5, 19, 0, 38, 36), 0.174805850856308, False, 'best']
['colormerichedu', 202543332, 'impression', '2', 240517670L, datetime.datetime(2013, 5, 19, 0, 38, 36), 0.200972759080885, False, 'best']
['colormerichedu', 202543332, 'impression', '1', 240495971L, datetime.datetime(2013, 5, 19, 0, 38, 36), 0.271119910451123, False, 'best']
['colormerichedu', 202543332, 'impression', '3', 240498282L, datetime.datetime(2013, 5, 19, 0, 38, 36), 0.178379968607619, False, 'best']
['colormerichedu', 202543332, 'impression', '6', 240546597L, datetime.datetime(2013, 5, 19, 0, 38, 36), 0.111544226605351, False, 'best']
['colormerichedu', 202543332, 'impression', '7', 240526948L, datetime.datetime(2013, 5, 19, 0, 38, 36), 0.103226220462358, False, 'best']
['colormerichedu', 202543332, 'impression', '5', 240523589L, datetime.datetime(2013, 5, 19, 0, 38, 36), 0.16579643063566, False, 'best']
['colormerichedu', 202543332, 'expand_tile', '3', 240498282L, datetime.datetime(2013, 5, 19, 0, 38, 43), 0.178379968607619, False, 'best']
['colormerichedu', 202543332, 'expand_tile', '4', 240625500L, datetime.datetime(2013, 5, 19, 0, 38, 54), 0.174805850856308, False, 'best']
['colormerichedu', 202543332, 'view_full_application', '5', 240523589L, datetime.datetime(2013, 5, 19, 0, 39, 41), 0.16579643063566, False, 'best']
['colormerichedu', 202543332, 'impression', '2', 240517670L, datetime.datetime(2013, 5, 19, 0, 50, 46), 0.200972759080885, False, 'best']
['colormerichedu', 202543332, 'impression', '4', 240625500L, datetime.datetime(2013, 5, 19, 0, 50, 46), 0.174805850856308, False, 'best']
['colormerichedu', 202543332, 'impression', '5', 240523589L, datetime.datetime(2013, 5, 19, 0, 50, 46), 0.16579643063566, False, 'best']
['colormerichedu', 202543332, 'impression', '7', 240526948L, datetime.datetime(2013, 5, 19, 0, 50, 46), 0.103226220462358, False, 'best']
['colormerichedu', 202543332, 'impression', '6', 240546597L, datetime.datetime(2013, 5, 19, 0, 50, 46), 0.111544226605351, False, 'best']
['colormerichedu', 202543332, 'impression', '1', 240495971L, datetime.datetime(2013, 5, 19, 0, 50, 46), 0.271119910451123, False, 'best']
['colormerichedu', 202543332, 'impression', '3', 240498282L, datetime.datetime(2013, 5, 19, 0, 50, 46), 0.178379968607619, False, 'best']

['colormerichedu', 202543332, 'impression', '5', 240523589L, datetime.datetime(2013, 5, 21, 1, 40, 19), 0.16579643063566, False, 'best']
['colormerichedu', 202543332, 'impression', '7', 240526948L, datetime.datetime(2013, 5, 21, 1, 40, 19), 0.103226220462358, False, 'best']
['colormerichedu', 202543332, 'impression', '1', 240495971L, datetime.datetime(2013, 5, 21, 1, 40, 19), 0.271119910451123, False, 'best']
['colormerichedu', 202543332, 'impression', '3', 240498282L, datetime.datetime(2013, 5, 21, 1, 40, 19), 0.178379968607619, False, 'best']
['colormerichedu', 202543332, 'impression', '4', 240625500L, datetime.datetime(2013, 5, 21, 1, 40, 19), 0.174805850856308, False, 'best']
['colormerichedu', 202543332, 'impression', '2', 240517670L, datetime.datetime(2013, 5, 21, 1, 40, 19), 0.200972759080885, False, 'best']
['colormerichedu', 202543332, 'impression', '6', 240546597L, datetime.datetime(2013, 5, 21, 1, 40, 19), 0.111544226605351, False, 'best']
['colormerichedu', 202543332, 'view_full_application_via_message', '1', 240495971L, datetime.datetime(2013, 5, 21, 1, 40, 29), 0.271119910451123, False, 'best']

