['pierrewilly', 202573607, 'impression', '9', 241131455L, datetime.datetime(2013, 5, 24, 4, 1, 2), 0.0798949413163448, False, 'best']
['pierrewilly', 202573607, 'impression', '11', 241127832L, datetime.datetime(2013, 5, 24, 4, 1, 2), 0.034402719998174, False, 'best']
['pierrewilly', 202573607, 'expand_tile', '5', 241124284L, datetime.datetime(2013, 5, 24, 4, 1, 10), 0.112224630696818, False, 'best']
['pierrewilly', 202573607, 'view_full_application', '5', 241124284L, datetime.datetime(2013, 5, 24, 4, 1, 15), 0.112224630696818, False, 'best']
['pierrewilly', 202573607, 'impression', '7', 241121196L, datetime.datetime(2013, 5, 24, 4, 1, 46), 0.104309361502419, False, 'best']
['pierrewilly', 202573607, 'impression', '12', 241127703L, datetime.datetime(2013, 5, 24, 4, 1, 46), 0.0314716821046468, False, 'best']
['pierrewilly', 202573607, 'impression', '2', 241124549L, datetime.datetime(2013, 5, 24, 4, 1, 46), 0.176578639053607, False, 'best']
['pierrewilly', 202573607, 'impression', '5', 241124284L, datetime.datetime(2013, 5, 24, 4, 1, 46), 0.112224630696818, False, 'best']
['pierrewilly', 202573607, 'impression', '1', 241123272L, datetime.datetime(2013, 5, 24, 4, 1, 46), 0.223432839851536, False, 'best']
['pierrewilly', 202573607, 'impression', '4', 241125809L, datetime.datetime(2013, 5, 24, 4, 1, 46), 0.113475530868172, False, 'best']
['pierrewilly', 202573607, 'impression', '6', 241127494L, datetime.datetime(2013, 5, 24, 4, 1, 46), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'impression', '13', 241136132L, datetime.datetime(2013, 5, 24, 4, 1, 46), 0.0235680862507331, False, 'best']
['pierrewilly', 202573607, 'impression', '9', 241131455L, datetime.datetime(2013, 5, 24, 4, 1, 46), 0.0798949413163448, False, 'best']
['pierrewilly', 202573607, 'impression', '8', 241122836L, datetime.datetime(2013, 5, 24, 4, 1, 46), 0.0975638461640881, True, 'best']
['pierrewilly', 202573607, 'impression', '3', 241123054L, datetime.datetime(2013, 5, 24, 4, 1, 46), 0.12035260499171, False, 'best']
['pierrewilly', 202573607, 'impression', '10', 241127014L, datetime.datetime(2013, 5, 24, 4, 1, 46), 0.0469555780137734, True, 'best']
['pierrewilly', 202573607, 'impression', '11', 241127832L, datetime.datetime(2013, 5, 24, 4, 1, 46), 0.034402719998174, False, 'best']
['pierrewilly', 202573607, 'impression', '8', 241122836L, datetime.datetime(2013, 5, 24, 4, 1, 59), 0.0975638461640881, True, 'best']

['pierrewilly', 202573607, 'impression', '13', 241136132L, datetime.datetime(2013, 5, 24, 15, 30, 42), 0.0235680862507331, False, 'best']
['pierrewilly', 202573607, 'impression', '6', 241127494L, datetime.datetime(2013, 5, 24, 15, 30, 42), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'impression', '4', 241125809L, datetime.datetime(2013, 5, 24, 15, 30, 42), 0.113475530868172, False, 'best']
['pierrewilly', 202573607, 'impression', '10', 241127014L, datetime.datetime(2013, 5, 24, 15, 30, 42), 0.0469555780137734, True, 'best']
['pierrewilly', 202573607, 'impression', '3', 241123054L, datetime.datetime(2013, 5, 24, 15, 30, 42), 0.12035260499171, False, 'best']
['pierrewilly', 202573607, 'impression', '7', 241121196L, datetime.datetime(2013, 5, 24, 15, 30, 42), 0.104309361502419, False, 'best']
['pierrewilly', 202573607, 'impression', '12', 241127703L, datetime.datetime(2013, 5, 24, 15, 30, 42), 0.0314716821046468, False, 'best']
['pierrewilly', 202573607, 'impression', '1', 241123272L, datetime.datetime(2013, 5, 24, 15, 30, 42), 0.223432839851536, False, 'best']
['pierrewilly', 202573607, 'impression', '2', 241124549L, datetime.datetime(2013, 5, 24, 15, 30, 42), 0.176578639053607, False, 'best']
['pierrewilly', 202573607, 'impression', '5', 241124284L, datetime.datetime(2013, 5, 24, 15, 30, 42), 0.112224630696818, False, 'best']
['pierrewilly', 202573607, 'impression', '9', 241131455L, datetime.datetime(2013, 5, 24, 15, 30, 42), 0.0798949413163448, False, 'best']
['pierrewilly', 202573607, 'impression', '8', 241122836L, datetime.datetime(2013, 5, 24, 15, 30, 42), 0.0975638461640881, True, 'best']
['pierrewilly', 202573607, 'impression', '11', 241127832L, datetime.datetime(2013, 5, 24, 15, 30, 42), 0.034402719998174, False, 'best']
['pierrewilly', 202573607, 'shortlist', '6', 241127494L, datetime.datetime(2013, 5, 24, 15, 31, 11), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'expand_tile', '6', 241127494L, datetime.datetime(2013, 5, 24, 15, 31, 18), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'expand_tile', '6', 241127494L, datetime.datetime(2013, 5, 24, 15, 31, 20), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'unshortlist', '6', 241127494L, datetime.datetime(2013, 5, 24, 15, 31, 20), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'view_full_application', '6', 241127494L, datetime.datetime(2013, 5, 24, 15, 31, 28), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'impression', '1', 241123272L, datetime.datetime(2013, 5, 24, 15, 31, 57), 0.223432839851536, False, 'best']
['pierrewilly', 202573607, 'impression', '2', 241124549L, datetime.datetime(2013, 5, 24, 15, 31, 57), 0.176578639053607, False, 'best']
['pierrewilly', 202573607, 'impression', '5', 241124284L, datetime.datetime(2013, 5, 24, 15, 31, 57), 0.112224630696818, False, 'best']
['pierrewilly', 202573607, 'impression', '11', 241127832L, datetime.datetime(2013, 5, 24, 15, 31, 57), 0.034402719998174, False, 'best']
['pierrewilly', 202573607, 'impression', '8', 241122836L, datetime.datetime(2013, 5, 24, 15, 31, 57), 0.0975638461640881, True, 'best']
['pierrewilly', 202573607, 'impression', '9', 241131455L, datetime.datetime(2013, 5, 24, 15, 31, 57), 0.0798949413163448, False, 'best']
['pierrewilly', 202573607, 'impression', '6', 241127494L, datetime.datetime(2013, 5, 24, 15, 31, 57), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'impression', '4', 241125809L, datetime.datetime(2013, 5, 24, 15, 31, 57), 0.113475530868172, False, 'best']
['pierrewilly', 202573607, 'impression', '13', 241136132L, datetime.datetime(2013, 5, 24, 15, 31, 57), 0.0235680862507331, False, 'best']
['pierrewilly', 202573607, 'impression', '3', 241123054L, datetime.datetime(2013, 5, 24, 15, 31, 57), 0.12035260499171, False, 'best']
['pierrewilly', 202573607, 'impression', '10', 241127014L, datetime.datetime(2013, 5, 24, 15, 31, 57), 0.0469555780137734, True, 'best']
['pierrewilly', 202573607, 'impression', '12', 241127703L, datetime.datetime(2013, 5, 24, 15, 31, 57), 0.0314716821046468, False, 'best']
['pierrewilly', 202573607, 'impression', '7', 241121196L, datetime.datetime(2013, 5, 24, 15, 31, 57), 0.104309361502419, False, 'best']
['pierrewilly', 202573607, 'expand_tile', '7', 241121196L, datetime.datetime(2013, 5, 24, 15, 32, 9), 0.104309361502419, False, 'best']
['pierrewilly', 202573607, 'view_full_application', '7', 241121196L, datetime.datetime(2013, 5, 24, 15, 32, 12), 0.104309361502419, False, 'best']
['pierrewilly', 202573607, 'impression', '4', 241125809L, datetime.datetime(2013, 5, 24, 15, 32, 48), 0.113475530868172, False, 'best']
['pierrewilly', 202573607, 'impression', '6', 241127494L, datetime.datetime(2013, 5, 24, 15, 32, 48), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'impression', '13', 241136132L, datetime.datetime(2013, 5, 24, 15, 32, 48), 0.0235680862507331, False, 'best']
['pierrewilly', 202573607, 'impression', '3', 241123054L, datetime.datetime(2013, 5, 24, 15, 32, 48), 0.12035260499171, False, 'best']
['pierrewilly', 202573607, 'impression', '10', 241127014L, datetime.datetime(2013, 5, 24, 15, 32, 48), 0.0469555780137734, True, 'best']
['pierrewilly', 202573607, 'impression', '2', 241124549L, datetime.datetime(2013, 5, 24, 15, 32, 48), 0.176578639053607, False, 'best']
['pierrewilly', 202573607, 'impression', '1', 241123272L, datetime.datetime(2013, 5, 24, 15, 32, 48), 0.223432839851536, False, 'best']
['pierrewilly', 202573607, 'impression', '5', 241124284L, datetime.datetime(2013, 5, 24, 15, 32, 48), 0.112224630696818, False, 'best']
['pierrewilly', 202573607, 'impression', '11', 241127832L, datetime.datetime(2013, 5, 24, 15, 32, 48), 0.034402719998174, False, 'best']
['pierrewilly', 202573607, 'impression', '12', 241127703L, datetime.datetime(2013, 5, 24, 15, 32, 48), 0.0314716821046468, False, 'best']
['pierrewilly', 202573607, 'impression', '8', 241122836L, datetime.datetime(2013, 5, 24, 15, 32, 48), 0.0975638461640881, True, 'best']
