['fcwaters', 202565428, 'impression', '6', 240963096L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.33062260811329, False, 'best']
['fcwaters', 202565428, 'impression', '10', 240964260L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.261131456866661, False, 'best']
['fcwaters', 202565428, 'impression', '18', 240963192L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.0, False, 'best']
['fcwaters', 202565428, 'impression', '7', 240964698L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.317962808687826, False, 'best']
['fcwaters', 202565428, 'impression', '1', 240962501L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.741092578133761, False, 'best']
['fcwaters', 202565428, 'impression', '5', 240962937L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.334718804995634, False, 'best']
['fcwaters', 202565428, 'impression', '17', 240963794L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.0144623109529101, False, 'best']
['fcwaters', 202565428, 'impression', '11', 240964629L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.221228509712675, False, 'best']
['fcwaters', 202565428, 'impression', '8', 240962651L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.299431496199009, False, 'best']
['fcwaters', 202565428, 'impression', '9', 240963077L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.278365187287015, False, 'best']
['fcwaters', 202565428, 'impression', '2', 240965948L, datetime.datetime(2013, 5, 21, 22, 52, 8), 0.704670693999341, False, 'best']

