['hifitodd', 202550101, 'impression', '4', 240640038L, datetime.datetime(2013, 5, 17, 16, 50, 42), 0.0317657954777287, False, 'best']
['hifitodd', 202550101, 'impression', '3', 240641539L, datetime.datetime(2013, 5, 17, 16, 50, 42), 0.0476088222681202, False, 'best']
['hifitodd', 202550101, 'view_full_application_via_name', '1', 240637445L, datetime.datetime(2013, 5, 17, 17, 1, 56), 0.190215913474241, True, 'best']

['hifitodd', 202550101, 'impression', '6', 240641539L, datetime.datetime(2013, 5, 17, 19, 25, 39), 0.0476088222681202, False, 'best']
['hifitodd', 202550101, 'impression', '1', 240649394L, datetime.datetime(2013, 5, 17, 19, 25, 39), 0.30878465200807, False, 'best']
['hifitodd', 202550101, 'impression', '7', 240640038L, datetime.datetime(2013, 5, 17, 19, 25, 39), 0.0317657954777287, False, 'best']
['hifitodd', 202550101, 'impression', '2', 240637445L, datetime.datetime(2013, 5, 17, 19, 25, 39), 0.190215913474241, True, 'best']
['hifitodd', 202550101, 'impression', '9', 240638536L, datetime.datetime(2013, 5, 17, 19, 25, 39), 0.00960527570544633, False, 'best']
['hifitodd', 202550101, 'impression', '3', 240645067L, datetime.datetime(2013, 5, 17, 19, 25, 39), 0.117956832650776, False, 'best']
['hifitodd', 202550101, 'impression', '5', 240638547L, datetime.datetime(2013, 5, 17, 19, 25, 39), 0.0520704908897299, False, 'best']
['hifitodd', 202550101, 'impression', '10', 240638021L, datetime.datetime(2013, 5, 17, 19, 25, 39), 0.00740008145309227, False, 'best']
['hifitodd', 202550101, 'impression', '4', 240645335L, datetime.datetime(2013, 5, 17, 19, 25, 39), 0.0865309370841818, False, 'best']
['hifitodd', 202550101, 'impression', '8', 240638232L, datetime.datetime(2013, 5, 17, 19, 25, 39), 0.0185265503717571, False, 'best']
['hifitodd', 202550101, 'impression', '9', 240638536L, datetime.datetime(2013, 5, 17, 19, 26, 33), 0.00960527570544633, False, 'best']
['hifitodd', 202550101, 'impression', '3', 240645067L, datetime.datetime(2013, 5, 17, 19, 26, 33), 0.117956832650776, False, 'best']
['hifitodd', 202550101, 'impression', '1', 240649394L, datetime.datetime(2013, 5, 17, 19, 26, 33), 0.30878465200807, False, 'best']
['hifitodd', 202550101, 'impression', '6', 240641539L, datetime.datetime(2013, 5, 17, 19, 26, 33), 0.0476088222681202, False, 'best']
['hifitodd', 202550101, 'impression', '4', 240645335L, datetime.datetime(2013, 5, 17, 19, 26, 33), 0.0865309370841818, False, 'best']
['hifitodd', 202550101, 'impression', '8', 240638232L, datetime.datetime(2013, 5, 17, 19, 26, 33), 0.0185265503717571, False, 'best']
['hifitodd', 202550101, 'impression', '10', 240638021L, datetime.datetime(2013, 5, 17, 19, 26, 33), 0.00740008145309227, False, 'best']
['hifitodd', 202550101, 'impression', '5', 240638547L, datetime.datetime(2013, 5, 17, 19, 26, 33), 0.0520704908897299, False, 'best']
['hifitodd', 202550101, 'impression', '7', 240640038L, datetime.datetime(2013, 5, 17, 19, 26, 33), 0.0317657954777287, False, 'best']
['hifitodd', 202550101, 'impression', '2', 240637445L, datetime.datetime(2013, 5, 17, 19, 26, 33), 0.190215913474241, True, 'best']
['hifitodd', 202550101, 'impression', '2', 240637445L, datetime.datetime(2013, 5, 17, 19, 26, 39), 0.190215913474241, True, 'best']
['hifitodd', 202550101, 'shortlist', '2', 240637445L, datetime.datetime(2013, 5, 17, 19, 26, 42), 0.190215913474241, True, 'best']
['hifitodd', 202550101, 'view_full_application_via_name', '2', 240637445L, datetime.datetime(2013, 5, 17, 19, 26, 44), 0.190215913474241, True, 'best']

