['nr4life74', 202555650, 'view_full_application_via_name', '4', 240762913L, datetime.datetime(2013, 5, 19, 15, 6, 14), 0.105295889904784, False, 'time']
['nr4life74', 202555650, 'impression', '18', 240761126L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.0371800804712246, False, 'time']
['nr4life74', 202555650, 'impression', '2', 240762913L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.105295889904784, False, 'time']
['nr4life74', 202555650, 'impression', '19', 240761098L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.139953988670461, False, 'time']
['nr4life74', 202555650, 'impression', '12', 240762238L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.0398569827266917, False, 'time']
['nr4life74', 202555650, 'impression', '5', 240762740L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.162148971665702, False, 'time']
['nr4life74', 202555650, 'impression', '8', 240762349L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.161517954267951, False, 'time']
['nr4life74', 202555650, 'impression', '11', 240762267L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.0362959196605934, False, 'time']
['nr4life74', 202555650, 'impression', '16', 240761358L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.11115132607187, False, 'time']
['nr4life74', 202555650, 'impression', '1', 240763151L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.226406177363755, False, 'time']
['nr4life74', 202555650, 'impression', '15', 240762208L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.182817060150597, False, 'time']
['nr4life74', 202555650, 'impression', '13', 240762224L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.0386191591723134, False, 'time']
['nr4life74', 202555650, 'impression', '3', 240762790L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.108140867171579, False, 'time']
['nr4life74', 202555650, 'impression', '6', 240762678L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.297730834358009, False, 'time']
['nr4life74', 202555650, 'impression', '9', 240762332L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.0837364652875054, False, 'time']
['nr4life74', 202555650, 'impression', '4', 240762753L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.116946474682811, False, 'time']
['nr4life74', 202555650, 'impression', '10', 240762287L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.120076117754394, False, 'time']
['nr4life74', 202555650, 'impression', '17', 240761283L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.0115203608617399, False, 'time']
['nr4life74', 202555650, 'impression', '14', 240762215L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.123259695513145, False, 'time']
['nr4life74', 202555650, 'impression', '7', 240762351L, datetime.datetime(2013, 5, 19, 15, 8, 46), 0.12714398280585, False, 'time']
['nr4life74', 202555650, 'view_full_application_via_name', '3', 240762790L, datetime.datetime(2013, 5, 19, 15, 8, 49), 0.108140867171579, False, 'time']
['nr4life74', 202555650, 'impression', '10', 240762267L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.0362959196605934, False, 'time']
['nr4life74', 202555650, 'impression', '15', 240761358L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.11115132607187, False, 'time']
['nr4life74', 202555650, 'impression', '1', 240763151L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.226406177363755, False, 'time']
['nr4life74', 202555650, 'impression', '7', 240762349L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.161517954267951, False, 'time']
['nr4life74', 202555650, 'impression', '17', 240761126L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.0371800804712246, False, 'time']
['nr4life74', 202555650, 'impression', '2', 240762913L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.105295889904784, False, 'time']
['nr4life74', 202555650, 'impression', '18', 240761098L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.139953988670461, False, 'time']
['nr4life74', 202555650, 'impression', '11', 240762238L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.0398569827266917, False, 'time']
