['headhunterm', 202559973, 'impression', '3', 240862541L, datetime.datetime(2013, 5, 20, 19, 53, 50), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240857834L, datetime.datetime(2013, 5, 20, 19, 53, 50), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'view_full_application_via_message', '1', 240855912L, datetime.datetime(2013, 5, 20, 19, 55, 15), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240855912L, datetime.datetime(2013, 5, 20, 19, 58, 49), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240862541L, datetime.datetime(2013, 5, 20, 19, 58, 49), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240857834L, datetime.datetime(2013, 5, 20, 19, 58, 49), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'view_full_application_via_message', '1', 240855912L, datetime.datetime(2013, 5, 20, 19, 58, 54), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240855912L, datetime.datetime(2013, 5, 20, 19, 59, 10), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240862541L, datetime.datetime(2013, 5, 20, 19, 59, 10), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240857834L, datetime.datetime(2013, 5, 20, 19, 59, 10), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240855912L, datetime.datetime(2013, 5, 20, 19, 59, 45), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240862541L, datetime.datetime(2013, 5, 20, 19, 59, 45), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240857834L, datetime.datetime(2013, 5, 20, 19, 59, 45), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240857834L, datetime.datetime(2013, 5, 20, 20, 0, 26), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240862541L, datetime.datetime(2013, 5, 20, 20, 0, 26), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240855912L, datetime.datetime(2013, 5, 20, 20, 0, 26), 0.203840915721513, False, 'best']
