['fitz-santos', 202537534, 'impression', '2', 240388041L, datetime.datetime(2013, 5, 17, 10, 14, 49), 0.274110081951272, False, 'time']
['fitz-santos', 202537534, 'impression', '1', 240389649L, datetime.datetime(2013, 5, 17, 10, 14, 49), 0.141933869029473, False, 'time']
['fitz-santos', 202537534, 'impression', '5', 240385609L, datetime.datetime(2013, 5, 17, 10, 14, 49), 0.109918857147495, False, 'time']

['fitz-santos', 202537534, 'impression', '2', 240388041L, datetime.datetime(2013, 5, 17, 10, 45, 20), 0.274110081951272, False, 'time']
['fitz-santos', 202537534, 'impression', '5', 240385609L, datetime.datetime(2013, 5, 17, 10, 45, 20), 0.109918857147495, False, 'time']
['fitz-santos', 202537534, 'impression', '1', 240389649L, datetime.datetime(2013, 5, 17, 10, 45, 20), 0.141933869029473, False, 'time']
['fitz-santos', 202537534, 'impression', '5', 240385609L, datetime.datetime(2013, 5, 17, 11, 15, 16), 0.109918857147495, False, 'time']
['fitz-santos', 202537534, 'impression', '1', 240389649L, datetime.datetime(2013, 5, 17, 11, 15, 16), 0.141933869029473, False, 'time']
['fitz-santos', 202537534, 'impression', '2', 240388041L, datetime.datetime(2013, 5, 17, 11, 15, 16), 0.274110081951272, False, 'time']

['fitz-santos', 202537534, 'impression', '1', 240389649L, datetime.datetime(2013, 5, 17, 13, 18, 18), 0.141933869029473, False, 'time']
['fitz-santos', 202537534, 'impression', '5', 240385609L, datetime.datetime(2013, 5, 17, 13, 18, 18), 0.109918857147495, False, 'time']
['fitz-santos', 202537534, 'impression', '2', 240388041L, datetime.datetime(2013, 5, 17, 13, 18, 18), 0.274110081951272, False, 'time']

['fitz-santos', 202537534, 'impression', '5', 240385609L, datetime.datetime(2013, 5, 17, 14, 20, 56), 0.109918857147495, False, 'time']
['fitz-santos', 202537534, 'impression', '2', 240388041L, datetime.datetime(2013, 5, 17, 14, 20, 56), 0.274110081951272, False, 'time']
['fitz-santos', 202537534, 'impression', '1', 240389649L, datetime.datetime(2013, 5, 17, 14, 20, 56), 0.141933869029473, False, 'time']

