['kstutes', 202585594, 'impression', '6', 241395567L, datetime.datetime(2013, 5, 27, 13, 34, 30), 0.0508307738260754, True, 'best']
['kstutes', 202585594, 'impression', '6', 241395567L, datetime.datetime(2013, 5, 27, 13, 35, 12), 0.0508307738260754, True, 'best']
['kstutes', 202585594, 'impression', '5', 241399884L, datetime.datetime(2013, 5, 27, 13, 35, 12), 0.0899595534524469, False, 'best']
['kstutes', 202585594, 'impression', '2', 241396714L, datetime.datetime(2013, 5, 27, 13, 35, 12), 0.105367806873108, False, 'best']
['kstutes', 202585594, 'impression', '4', 241401397L, datetime.datetime(2013, 5, 27, 13, 35, 12), 0.0901551839664103, False, 'best']
['kstutes', 202585594, 'impression', '7', 241391602L, datetime.datetime(2013, 5, 27, 13, 35, 12), 0.0456064386684623, False, 'best']
['kstutes', 202585594, 'impression', '1', 241398164L, datetime.datetime(2013, 5, 27, 13, 35, 12), 0.12091734620833, False, 'best']
['kstutes', 202585594, 'impression', '3', 241400742L, datetime.datetime(2013, 5, 27, 13, 35, 12), 0.101128914349987, False, 'best']
['kstutes', 202585594, 'impression', '8', 241396297L, datetime.datetime(2013, 5, 27, 13, 35, 12), 0.029232698867538, False, 'best']
['kstutes', 202585594, 'impression', '5', 241399884L, datetime.datetime(2013, 5, 27, 13, 37, 36), 0.0899595534524469, False, 'best']
['kstutes', 202585594, 'impression', '6', 241395567L, datetime.datetime(2013, 5, 27, 13, 37, 36), 0.0508307738260754, True, 'best']
['kstutes', 202585594, 'impression', '2', 241396714L, datetime.datetime(2013, 5, 27, 13, 37, 36), 0.105367806873108, False, 'best']
['kstutes', 202585594, 'impression', '4', 241401397L, datetime.datetime(2013, 5, 27, 13, 37, 36), 0.0901551839664103, False, 'best']
['kstutes', 202585594, 'impression', '8', 241396297L, datetime.datetime(2013, 5, 27, 13, 37, 36), 0.029232698867538, False, 'best']
['kstutes', 202585594, 'impression', '3', 241400742L, datetime.datetime(2013, 5, 27, 13, 37, 36), 0.101128914349987, False, 'best']
['kstutes', 202585594, 'impression', '7', 241391602L, datetime.datetime(2013, 5, 27, 13, 37, 36), 0.0456064386684623, False, 'best']
