['ravendental', 202592202, 'impression', '5', 241535508L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.158334880389773, False, 'time']
['ravendental', 202592202, 'impression', '10', 241532923L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.0650184410153027, False, 'time']
['ravendental', 202592202, 'impression', '1', 241553446L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.0764084050056852, True, 'time']
['ravendental', 202592202, 'impression', '8', 241533415L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.0278151691626989, False, 'time']
['ravendental', 202592202, 'impression', '4', 241536064L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.0494920617221456, False, 'time']
['ravendental', 202592202, 'impression', '12', 241532768L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.0876415749839871, False, 'time']
['ravendental', 202592202, 'impression', '2', 241552089L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.0735425582543712, False, 'time']
['ravendental', 202592202, 'impression', '13', 241532669L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.0971607843214942, False, 'time']
['ravendental', 202592202, 'impression', '11', 241532812L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.053407577852491, False, 'time']
['ravendental', 202592202, 'impression', '3', 241537376L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.0977613909692513, False, 'time']
['ravendental', 202592202, 'impression', '9', 241533019L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.227069485689608, False, 'time']
['ravendental', 202592202, 'impression', '14', 241532654L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.0711410036365416, False, 'time']
['ravendental', 202592202, 'impression', '7', 241533562L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.0754058603842747, False, 'time']
['ravendental', 202592202, 'impression', '6', 241534606L, datetime.datetime(2013, 5, 29, 7, 41, 2), 0.113907427068287, False, 'time']
['ravendental', 202592202, 'impression', '12', 241532768L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.0876415749839871, False, 'time']
['ravendental', 202592202, 'impression', '11', 241532812L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.053407577852491, False, 'time']
['ravendental', 202592202, 'impression', '7', 241533562L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.0754058603842747, False, 'time']
['ravendental', 202592202, 'impression', '14', 241532654L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.0711410036365416, False, 'time']
['ravendental', 202592202, 'impression', '6', 241534606L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.113907427068287, False, 'time']
['ravendental', 202592202, 'impression', '10', 241532923L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.0650184410153027, False, 'time']
['ravendental', 202592202, 'impression', '1', 241553446L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.0764084050056852, True, 'time']
['ravendental', 202592202, 'impression', '5', 241535508L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.158334880389773, False, 'time']
['ravendental', 202592202, 'impression', '13', 241532669L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.0971607843214942, False, 'time']
['ravendental', 202592202, 'impression', '2', 241552089L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.0735425582543712, False, 'time']
['ravendental', 202592202, 'impression', '9', 241533019L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.227069485689608, False, 'time']
['ravendental', 202592202, 'impression', '3', 241537376L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.0977613909692513, False, 'time']
['ravendental', 202592202, 'impression', '8', 241533415L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.0278151691626989, False, 'time']
['ravendental', 202592202, 'impression', '4', 241536064L, datetime.datetime(2013, 5, 29, 7, 47, 16), 0.0494920617221456, False, 'time']

['ravendental', 202592202, 'impression', '12', 241533019L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.227069485689608, False, 'time']
['ravendental', 202592202, 'impression', '6', 241537376L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.0977613909692513, False, 'time']
['ravendental', 202592202, 'impression', '11', 241533415L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.0278151691626989, False, 'time']
['ravendental', 202592202, 'impression', '7', 241536064L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.0494920617221456, False, 'time']
['ravendental', 202592202, 'impression', '13', 241532923L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.0650184410153027, False, 'time']
['ravendental', 202592202, 'impression', '8', 241535508L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.158334880389773, False, 'time']
['ravendental', 202592202, 'impression', '4', 241553446L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.0764084050056852, True, 'time']
['ravendental', 202592202, 'impression', '1', 241574723L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.128851397453243, False, 'time']
['ravendental', 202592202, 'impression', '15', 241532768L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.0876415749839871, False, 'time']
['ravendental', 202592202, 'impression', '2', 241569209L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.00935040760789314, False, 'time']
['ravendental', 202592202, 'impression', '14', 241532812L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.053407577852491, False, 'time']
['ravendental', 202592202, 'impression', '3', 241565415L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.0677835890427287, False, 'time']
['ravendental', 202592202, 'impression', '17', 241532654L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.0711410036365416, False, 'time']
['ravendental', 202592202, 'impression', '10', 241533562L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.0754058603842747, False, 'time']
['ravendental', 202592202, 'impression', '9', 241534606L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.113907427068287, False, 'time']
['ravendental', 202592202, 'impression', '5', 241552089L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.0735425582543712, False, 'time']
['ravendental', 202592202, 'impression', '16', 241532669L, datetime.datetime(2013, 5, 29, 12, 10, 56), 0.0971607843214942, False, 'time']

['ravendental', 202592202, 'impression', '7', 241536064L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.0494920617221456, False, 'time']
['ravendental', 202592202, 'impression', '11', 241533415L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.0278151691626989, False, 'time']
['ravendental', 202592202, 'impression', '2', 241569209L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.00935040760789314, False, 'time']
['ravendental', 202592202, 'impression', '1', 241574723L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.128851397453243, False, 'time']
['ravendental', 202592202, 'impression', '15', 241532768L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.0876415749839871, False, 'time']
['ravendental', 202592202, 'impression', '4', 241553446L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.0764084050056852, True, 'time']
['ravendental', 202592202, 'impression', '8', 241535508L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.158334880389773, False, 'time']
['ravendental', 202592202, 'impression', '13', 241532923L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.0650184410153027, False, 'time']
['ravendental', 202592202, 'impression', '9', 241534606L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.113907427068287, False, 'time']
['ravendental', 202592202, 'impression', '17', 241532654L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.0711410036365416, False, 'time']
['ravendental', 202592202, 'impression', '10', 241533562L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.0754058603842747, False, 'time']
['ravendental', 202592202, 'impression', '3', 241565415L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.0677835890427287, False, 'time']
['ravendental', 202592202, 'impression', '14', 241532812L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.053407577852491, False, 'time']
['ravendental', 202592202, 'impression', '12', 241533019L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.227069485689608, False, 'time']
['ravendental', 202592202, 'impression', '6', 241537376L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.0977613909692513, False, 'time']
['ravendental', 202592202, 'impression', '16', 241532669L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.0971607843214942, False, 'time']
['ravendental', 202592202, 'impression', '5', 241552089L, datetime.datetime(2013, 5, 29, 12, 56, 18), 0.0735425582543712, False, 'time']
['ravendental', 202592202, 'view_full_application_via_name', '4', 241553446L, datetime.datetime(2013, 5, 29, 12, 56, 27), 0.0764084050056852, True, 'time']
['ravendental', 202592202, 'impression', '14', 241532812L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.053407577852491, False, 'time']
['ravendental', 202592202, 'impression', '3', 241565415L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.0677835890427287, False, 'time']
['ravendental', 202592202, 'impression', '10', 241533562L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.0754058603842747, False, 'time']
['ravendental', 202592202, 'impression', '17', 241532654L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.0711410036365416, False, 'time']
['ravendental', 202592202, 'impression', '9', 241534606L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.113907427068287, False, 'time']
['ravendental', 202592202, 'impression', '1', 241574723L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.128851397453243, False, 'time']
['ravendental', 202592202, 'impression', '2', 241569209L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.00935040760789314, False, 'time']
['ravendental', 202592202, 'impression', '15', 241532768L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.0876415749839871, False, 'time']
['ravendental', 202592202, 'impression', '4', 241553446L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.0764084050056852, True, 'time']
['ravendental', 202592202, 'impression', '13', 241532923L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.0650184410153027, False, 'time']
['ravendental', 202592202, 'impression', '8', 241535508L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.158334880389773, False, 'time']
['ravendental', 202592202, 'impression', '11', 241533415L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.0278151691626989, False, 'time']
['ravendental', 202592202, 'impression', '7', 241536064L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.0494920617221456, False, 'time']
['ravendental', 202592202, 'impression', '16', 241532669L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.0971607843214942, False, 'time']
['ravendental', 202592202, 'impression', '5', 241552089L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.0735425582543712, False, 'time']
['ravendental', 202592202, 'impression', '6', 241537376L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.0977613909692513, False, 'time']
['ravendental', 202592202, 'impression', '12', 241533019L, datetime.datetime(2013, 5, 29, 13, 2, 16), 0.227069485689608, False, 'time']
['ravendental', 202592202, 'impression', '16', 241532669L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.0971607843214942, False, 'time']
['ravendental', 202592202, 'impression', '5', 241552089L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.0735425582543712, False, 'time']
['ravendental', 202592202, 'impression', '11', 241533415L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.0278151691626989, False, 'time']
['ravendental', 202592202, 'impression', '7', 241536064L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.0494920617221456, False, 'time']
['ravendental', 202592202, 'impression', '8', 241535508L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.158334880389773, False, 'time']
['ravendental', 202592202, 'impression', '4', 241553446L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.0764084050056852, True, 'time']
['ravendental', 202592202, 'impression', '13', 241532923L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.0650184410153027, False, 'time']
['ravendental', 202592202, 'impression', '12', 241533019L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.227069485689608, False, 'time']
['ravendental', 202592202, 'impression', '6', 241537376L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.0977613909692513, False, 'time']
['ravendental', 202592202, 'impression', '2', 241569209L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.00935040760789314, False, 'time']
['ravendental', 202592202, 'impression', '15', 241532768L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.0876415749839871, False, 'time']
['ravendental', 202592202, 'impression', '2', 241569209L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.00935040760789314, False, 'time']
['ravendental', 202592202, 'impression', '1', 241574723L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.128851397453243, False, 'time']
['ravendental', 202592202, 'impression', '3', 241565415L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.0677835890427287, False, 'time']
['ravendental', 202592202, 'impression', '14', 241532812L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.053407577852491, False, 'time']
['ravendental', 202592202, 'impression', '17', 241532654L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.0711410036365416, False, 'time']
['ravendental', 202592202, 'impression', '10', 241533562L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.0754058603842747, False, 'time']
['ravendental', 202592202, 'impression', '9', 241534606L, datetime.datetime(2013, 5, 29, 13, 6, 55), 0.113907427068287, False, 'time']
['ravendental', 202592202, 'impression', '3', 241565415L, datetime.datetime(2013, 5, 29, 13, 6, 57), 0.0677835890427287, False, 'time']
['ravendental', 202592202, 'impression', '10', 241533562L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.0754058603842747, False, 'time']
['ravendental', 202592202, 'impression', '9', 241534606L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.113907427068287, False, 'time']
['ravendental', 202592202, 'impression', '17', 241532654L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.0711410036365416, False, 'time']
['ravendental', 202592202, 'impression', '7', 241536064L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.0494920617221456, False, 'time']
['ravendental', 202592202, 'impression', '11', 241533415L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.0278151691626989, False, 'time']
['ravendental', 202592202, 'impression', '4', 241553446L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.0764084050056852, True, 'time']
['ravendental', 202592202, 'impression', '8', 241535508L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.158334880389773, False, 'time']
['ravendental', 202592202, 'impression', '13', 241532923L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.0650184410153027, False, 'time']
['ravendental', 202592202, 'impression', '2', 241569209L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.00935040760789314, False, 'time']
['ravendental', 202592202, 'impression', '1', 241574723L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.128851397453243, False, 'time']
['ravendental', 202592202, 'impression', '15', 241532768L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.0876415749839871, False, 'time']
['ravendental', 202592202, 'impression', '14', 241532812L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.053407577852491, False, 'time']
['ravendental', 202592202, 'impression', '3', 241565415L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.0677835890427287, False, 'time']
['ravendental', 202592202, 'impression', '16', 241532669L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.0971607843214942, False, 'time']
['ravendental', 202592202, 'impression', '5', 241552089L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.0735425582543712, False, 'time']
['ravendental', 202592202, 'impression', '6', 241537376L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.0977613909692513, False, 'time']
['ravendental', 202592202, 'impression', '12', 241533019L, datetime.datetime(2013, 5, 29, 13, 15, 50), 0.227069485689608, False, 'time']

