['terry89', 202545413, 'impression', '3', 240544217L, datetime.datetime(2013, 5, 16, 13, 54, 16), 0.793722558275484, False, 'best']
['terry89', 202545413, 'view_full_application_via_message', '3', 240544217L, datetime.datetime(2013, 5, 16, 13, 54, 19), 0.793722558275484, False, 'best']

['terry89', 202545413, 'impression', '7', 240553613L, datetime.datetime(2013, 5, 16, 20, 41, 20), 0.92777306836899, False, 'best']
['terry89', 202545413, 'impression', '8', 240561724L, datetime.datetime(2013, 5, 16, 20, 41, 20), 0.554652077787135, False, 'best']
['terry89', 202545413, 'impression', '2', 240542873L, datetime.datetime(2013, 5, 16, 20, 41, 20), 0.565902408917071, False, 'best']
['terry89', 202545413, 'impression', '1', 240542840L, datetime.datetime(2013, 5, 16, 20, 41, 20), 0.367684656455772, False, 'best']
['terry89', 202545413, 'impression', '5', 240551215L, datetime.datetime(2013, 5, 16, 20, 41, 20), 0.908146393703219, False, 'best']
['terry89', 202545413, 'impression', '6', 240552845L, datetime.datetime(2013, 5, 16, 20, 41, 20), 0.881183270922167, False, 'best']
['terry89', 202545413, 'impression', '4', 240546038L, datetime.datetime(2013, 5, 16, 20, 41, 20), 0.540125504826964, False, 'best']
['terry89', 202545413, 'impression', '3', 240544217L, datetime.datetime(2013, 5, 16, 20, 41, 20), 0.793722558275484, False, 'best']
['terry89', 202545413, 'expand_tile', '3', 240544217L, datetime.datetime(2013, 5, 16, 20, 41, 46), 0.793722558275484, False, 'best']

['terry89', 202545413, 'impression', '2', 240542873L, datetime.datetime(2013, 5, 16, 21, 47, 33), 0.565902408917071, False, 'best']
['terry89', 202545413, 'impression', '6', 240552845L, datetime.datetime(2013, 5, 16, 21, 47, 33), 0.881183270922167, False, 'best']
['terry89', 202545413, 'impression', '5', 240551215L, datetime.datetime(2013, 5, 16, 21, 47, 33), 0.908146393703219, False, 'best']
['terry89', 202545413, 'impression', '4', 240546038L, datetime.datetime(2013, 5, 16, 21, 47, 33), 0.540125504826964, False, 'best']
['terry89', 202545413, 'impression', '3', 240544217L, datetime.datetime(2013, 5, 16, 21, 47, 33), 0.793722558275484, False, 'best']
['terry89', 202545413, 'impression', '7', 240553613L, datetime.datetime(2013, 5, 16, 21, 47, 33), 0.92777306836899, False, 'best']
['terry89', 202545413, 'impression', '8', 240561724L, datetime.datetime(2013, 5, 16, 21, 47, 33), 0.554652077787135, False, 'best']
['terry89', 202545413, 'impression', '1', 240542840L, datetime.datetime(2013, 5, 16, 21, 47, 33), 0.367684656455772, False, 'best']
['terry89', 202545413, 'expand_tile', '4', 240546038L, datetime.datetime(2013, 5, 16, 21, 48, 12), 0.540125504826964, False, 'best']
['terry89', 202545413, 'expand_tile', '5', 240551215L, datetime.datetime(2013, 5, 16, 21, 48, 30), 0.908146393703219, False, 'best']
['terry89', 202545413, 'expand_tile', '6', 240552845L, datetime.datetime(2013, 5, 16, 21, 48, 36), 0.881183270922167, False, 'best']
['terry89', 202545413, 'expand_tile', '7', 240553613L, datetime.datetime(2013, 5, 16, 21, 48, 40), 0.92777306836899, False, 'best']
['terry89', 202545413, 'expand_tile', '8', 240561724L, datetime.datetime(2013, 5, 16, 21, 48, 44), 0.554652077787135, False, 'best']
['terry89', 202545413, 'impression', '7', 240553613L, datetime.datetime(2013, 5, 16, 22, 7, 19), 0.92777306836899, False, 'best']
['terry89', 202545413, 'impression', '2', 240542873L, datetime.datetime(2013, 5, 16, 22, 7, 19), 0.565902408917071, False, 'best']
['terry89', 202545413, 'impression', '1', 240542840L, datetime.datetime(2013, 5, 16, 22, 7, 19), 0.367684656455772, False, 'best']
['terry89', 202545413, 'impression', '3', 240544217L, datetime.datetime(2013, 5, 16, 22, 7, 19), 0.793722558275484, False, 'best']
['terry89', 202545413, 'impression', '4', 240546038L, datetime.datetime(2013, 5, 16, 22, 7, 19), 0.540125504826964, False, 'best']
['terry89', 202545413, 'impression', '8', 240561724L, datetime.datetime(2013, 5, 16, 22, 7, 19), 0.554652077787135, False, 'best']
['terry89', 202545413, 'impression', '6', 240552845L, datetime.datetime(2013, 5, 16, 22, 7, 19), 0.881183270922167, False, 'best']
['terry89', 202545413, 'impression', '5', 240551215L, datetime.datetime(2013, 5, 16, 22, 7, 19), 0.908146393703219, False, 'best']
['terry89', 202545413, 'impression', '8', 240561724L, datetime.datetime(2013, 5, 16, 22, 25, 37), 0.554652077787135, False, 'best']
['terry89', 202545413, 'impression', '3', 240544217L, datetime.datetime(2013, 5, 16, 22, 25, 37), 0.793722558275484, False, 'best']
['terry89', 202545413, 'impression', '4', 240546038L, datetime.datetime(2013, 5, 16, 22, 25, 37), 0.540125504826964, False, 'best']
['terry89', 202545413, 'impression', '7', 240553613L, datetime.datetime(2013, 5, 16, 22, 25, 37), 0.92777306836899, False, 'best']
['terry89', 202545413, 'impression', '2', 240542873L, datetime.datetime(2013, 5, 16, 22, 25, 37), 0.565902408917071, False, 'best']
['terry89', 202545413, 'impression', '5', 240551215L, datetime.datetime(2013, 5, 16, 22, 25, 37), 0.908146393703219, False, 'best']
['terry89', 202545413, 'impression', '6', 240552845L, datetime.datetime(2013, 5, 16, 22, 25, 37), 0.881183270922167, False, 'best']
['terry89', 202545413, 'impression', '1', 240542840L, datetime.datetime(2013, 5, 16, 22, 25, 37), 0.367684656455772, False, 'best']
['terry89', 202545413, 'view_full_application_via_message', '2', 240542873L, datetime.datetime(2013, 5, 16, 22, 25, 47), 0.565902408917071, False, 'best']

['terry89', 202545413, 'impression', '7', 240553613L, datetime.datetime(2013, 5, 16, 22, 59, 49), 0.92777306836899, False, 'best']
['terry89', 202545413, 'impression', '4', 240546038L, datetime.datetime(2013, 5, 16, 22, 59, 49), 0.540125504826964, False, 'best']
['terry89', 202545413, 'impression', '3', 240544217L, datetime.datetime(2013, 5, 16, 22, 59, 49), 0.793722558275484, False, 'best']
['terry89', 202545413, 'impression', '8', 240561724L, datetime.datetime(2013, 5, 16, 22, 59, 49), 0.554652077787135, False, 'best']
['terry89', 202545413, 'impression', '2', 240542873L, datetime.datetime(2013, 5, 16, 22, 59, 49), 0.565902408917071, False, 'best']
['terry89', 202545413, 'impression', '5', 240551215L, datetime.datetime(2013, 5, 16, 22, 59, 49), 0.908146393703219, False, 'best']
['terry89', 202545413, 'impression', '6', 240552845L, datetime.datetime(2013, 5, 16, 22, 59, 49), 0.881183270922167, False, 'best']
['terry89', 202545413, 'impression', '1', 240542840L, datetime.datetime(2013, 5, 16, 22, 59, 49), 0.367684656455772, False, 'best']

['terry89', 202545413, 'impression', '2', 240542873L, datetime.datetime(2013, 5, 17, 4, 55, 41), 0.565902408917071, False, 'best']
['terry89', 202545413, 'impression', '1', 240542840L, datetime.datetime(2013, 5, 17, 4, 59, 30), 0.367684656455772, False, 'best']
['terry89', 202545413, 'impression', '3', 240544217L, datetime.datetime(2013, 5, 17, 4, 59, 30), 0.793722558275484, False, 'best']
['terry89', 202545413, 'impression', '4', 240546038L, datetime.datetime(2013, 5, 17, 4, 59, 30), 0.540125504826964, False, 'best']
['terry89', 202545413, 'impression', '5', 240551215L, datetime.datetime(2013, 5, 17, 4, 59, 30), 0.908146393703219, False, 'best']
['terry89', 202545413, 'impression', '6', 240552845L, datetime.datetime(2013, 5, 17, 4, 59, 30), 0.881183270922167, False, 'best']
['terry89', 202545413, 'impression', '8', 240561724L, datetime.datetime(2013, 5, 17, 4, 59, 30), 0.554652077787135, False, 'best']
['terry89', 202545413, 'impression', '7', 240553613L, datetime.datetime(2013, 5, 17, 4, 59, 30), 0.92777306836899, False, 'best']
['terry89', 202545413, 'impression', '2', 240542873L, datetime.datetime(2013, 5, 17, 4, 59, 30), 0.565902408917071, False, 'best']

['terry89', 202545413, 'impression', '6', 240561724L, datetime.datetime(2013, 5, 17, 10, 36, 30), 0.554652077787135, False, 'best']
['terry89', 202545413, 'impression', '3', 240552845L, datetime.datetime(2013, 5, 17, 10, 36, 30), 0.881183270922167, False, 'best']
['terry89', 202545413, 'impression', '2', 240551215L, datetime.datetime(2013, 5, 17, 10, 36, 30), 0.908146393703219, False, 'best']
['terry89', 202545413, 'impression', '1', 240553613L, datetime.datetime(2013, 5, 17, 10, 36, 30), 0.92777306836899, False, 'best']
['terry89', 202545413, 'impression', '9', 240542840L, datetime.datetime(2013, 5, 17, 10, 36, 30), 0.367684656455772, False, 'best']
['terry89', 202545413, 'impression', '7', 240546038L, datetime.datetime(2013, 5, 17, 10, 36, 30), 0.540125504826964, False, 'best']
['terry89', 202545413, 'impression', '8', 240599396L, datetime.datetime(2013, 5, 17, 10, 36, 30), 0.523516584781657, False, 'best']
['terry89', 202545413, 'impression', '4', 240544217L, datetime.datetime(2013, 5, 17, 10, 36, 30), 0.793722558275484, False, 'best']
['terry89', 202545413, 'impression', '5', 240542873L, datetime.datetime(2013, 5, 17, 10, 36, 30), 0.565902408917071, False, 'best']
['terry89', 202545413, 'view_full_application_via_name', '5', 240542873L, datetime.datetime(2013, 5, 17, 10, 36, 37), 0.565902408917071, False, 'best']

['terry89', 202545413, 'impression', '6', 240561724L, datetime.datetime(2013, 5, 17, 20, 24, 30), 0.554652077787135, False, 'best']
['terry89', 202545413, 'impression', '9', 240542840L, datetime.datetime(2013, 5, 17, 20, 24, 30), 0.367684656455772, False, 'best']
['terry89', 202545413, 'impression', '8', 240599396L, datetime.datetime(2013, 5, 17, 20, 24, 30), 0.523516584781657, False, 'best']
['terry89', 202545413, 'impression', '4', 240544217L, datetime.datetime(2013, 5, 17, 20, 24, 30), 0.793722558275484, False, 'best']
['terry89', 202545413, 'impression', '7', 240546038L, datetime.datetime(2013, 5, 17, 20, 24, 30), 0.540125504826964, False, 'best']
['terry89', 202545413, 'impression', '5', 240542873L, datetime.datetime(2013, 5, 17, 20, 24, 30), 0.565902408917071, False, 'best']
['terry89', 202545413, 'impression', '1', 240553613L, datetime.datetime(2013, 5, 17, 20, 24, 30), 0.92777306836899, False, 'best']
['terry89', 202545413, 'impression', '3', 240552845L, datetime.datetime(2013, 5, 17, 20, 24, 30), 0.881183270922167, False, 'best']
['terry89', 202545413, 'impression', '2', 240551215L, datetime.datetime(2013, 5, 17, 20, 24, 30), 0.908146393703219, False, 'best']
['terry89', 202545413, 'view_full_application_via_message', '5', 240542873L, datetime.datetime(2013, 5, 17, 20, 24, 49), 0.565902408917071, False, 'best']

