['allanctan', 202583286, 'impression', '4', 241339467L, datetime.datetime(2013, 5, 28, 16, 13, 14), 0.0911229388148994, False, 'time']
['allanctan', 202583286, 'impression', '1', 241488529L, datetime.datetime(2013, 5, 28, 16, 13, 14), 0.172889713258186, False, 'time']
['allanctan', 202583286, 'impression', '3', 241348143L, datetime.datetime(2013, 5, 28, 16, 13, 14), 0.0448334114849317, False, 'time']
['allanctan', 202583286, 'view_full_application_via_name', '1', 241488529L, datetime.datetime(2013, 5, 28, 16, 13, 20), 0.172889713258186, False, 'time']
['allanctan', 202583286, 'impression', '1', 241488529L, datetime.datetime(2013, 5, 28, 16, 14, 23), 0.172889713258186, False, 'time']
['allanctan', 202583286, 'impression', '6', 241336411L, datetime.datetime(2013, 5, 28, 16, 14, 23), 0.1931153020245, False, 'time']
['allanctan', 202583286, 'impression', '2', 241462329L, datetime.datetime(2013, 5, 28, 16, 14, 23), 0.163786241029563, False, 'time']
['allanctan', 202583286, 'impression', '4', 241339467L, datetime.datetime(2013, 5, 28, 16, 14, 23), 0.0911229388148994, False, 'time']
['allanctan', 202583286, 'impression', '3', 241348143L, datetime.datetime(2013, 5, 28, 16, 14, 23), 0.0448334114849317, False, 'time']
['allanctan', 202583286, 'impression', '5', 241339040L, datetime.datetime(2013, 5, 28, 16, 14, 23), 0.125934909039256, False, 'time']
['allanctan', 202583286, 'impression', '2', 241462329L, datetime.datetime(2013, 5, 28, 16, 14, 31), 0.163786241029563, False, 'time']
['allanctan', 202583286, 'impression', '6', 241336411L, datetime.datetime(2013, 5, 28, 16, 14, 31), 0.1931153020245, False, 'time']
['allanctan', 202583286, 'impression', '1', 241488529L, datetime.datetime(2013, 5, 28, 16, 14, 31), 0.172889713258186, False, 'time']
['allanctan', 202583286, 'impression', '3', 241348143L, datetime.datetime(2013, 5, 28, 16, 14, 31), 0.0448334114849317, False, 'time']
['allanctan', 202583286, 'impression', '4', 241339467L, datetime.datetime(2013, 5, 28, 16, 14, 31), 0.0911229388148994, False, 'time']
['allanctan', 202583286, 'impression', '5', 241339040L, datetime.datetime(2013, 5, 28, 16, 14, 31), 0.125934909039256, False, 'time']
['allanctan', 202583286, 'impression', '1', 241488529L, datetime.datetime(2013, 5, 28, 16, 14, 40), 0.172889713258186, False, 'time']
['allanctan', 202583286, 'impression', '1', 241488529L, datetime.datetime(2013, 5, 28, 16, 14, 57), 0.172889713258186, False, 'time']
['allanctan', 202583286, 'impression', '4', 241339467L, datetime.datetime(2013, 5, 28, 16, 14, 57), 0.0911229388148994, False, 'time']
['allanctan', 202583286, 'impression', '5', 241339040L, datetime.datetime(2013, 5, 28, 16, 14, 57), 0.125934909039256, False, 'time']
['allanctan', 202583286, 'impression', '3', 241348143L, datetime.datetime(2013, 5, 28, 16, 14, 57), 0.0448334114849317, False, 'time']
['allanctan', 202583286, 'impression', '2', 241462329L, datetime.datetime(2013, 5, 28, 16, 14, 57), 0.163786241029563, False, 'time']
['allanctan', 202583286, 'impression', '6', 241336411L, datetime.datetime(2013, 5, 28, 16, 14, 57), 0.1931153020245, False, 'time']
['allanctan', 202583286, 'impression', '4', 241339467L, datetime.datetime(2013, 5, 28, 16, 15, 5), 0.0911229388148994, False, 'time']
['allanctan', 202583286, 'impression', '3', 241348143L, datetime.datetime(2013, 5, 28, 16, 15, 5), 0.0448334114849317, False, 'time']
['allanctan', 202583286, 'impression', '1', 241488529L, datetime.datetime(2013, 5, 28, 16, 15, 5), 0.172889713258186, False, 'time']
['allanctan', 202583286, 'impression', '6', 241336411L, datetime.datetime(2013, 5, 28, 16, 15, 5), 0.1931153020245, False, 'time']
['allanctan', 202583286, 'impression', '2', 241462329L, datetime.datetime(2013, 5, 28, 16, 15, 5), 0.163786241029563, False, 'time']
['allanctan', 202583286, 'impression', '5', 241339040L, datetime.datetime(2013, 5, 28, 16, 15, 5), 0.125934909039256, False, 'time']

