['intervisiontv', 202557453, 'view_full_application_via_name', '4', 240805584L, datetime.datetime(2013, 5, 21, 0, 12, 40), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240801655L, datetime.datetime(2013, 5, 21, 0, 22, 17), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240797059L, datetime.datetime(2013, 5, 21, 0, 22, 17), 0.086594038090499, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240824424L, datetime.datetime(2013, 5, 21, 0, 22, 17), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 240805584L, datetime.datetime(2013, 5, 21, 0, 22, 17), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240801655L, datetime.datetime(2013, 5, 21, 0, 22, 36), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240824424L, datetime.datetime(2013, 5, 21, 0, 22, 36), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 240805584L, datetime.datetime(2013, 5, 21, 0, 22, 36), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240797059L, datetime.datetime(2013, 5, 21, 0, 22, 36), 0.086594038090499, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_name', '2', 240824424L, datetime.datetime(2013, 5, 21, 0, 22, 41), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_name', '2', 240824424L, datetime.datetime(2013, 5, 21, 0, 22, 43), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'expand_tile', '5', 240805584L, datetime.datetime(2013, 5, 21, 0, 41, 1), 0.0459319175887046, False, 'best']

['intervisiontv', 202557453, 'impression', '4', 240805584L, datetime.datetime(2013, 5, 21, 1, 47, 9), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240801655L, datetime.datetime(2013, 5, 21, 1, 47, 9), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240797059L, datetime.datetime(2013, 5, 21, 1, 47, 9), 0.086594038090499, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240824424L, datetime.datetime(2013, 5, 21, 1, 47, 9), 0.0944109001048404, False, 'best']

['intervisiontv', 202557453, 'impression', '2', 240824424L, datetime.datetime(2013, 5, 21, 2, 25, 52), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240801655L, datetime.datetime(2013, 5, 21, 2, 25, 52), 0.313007407938011, False, 'best']
