['jennifer_smiley', 202573740, 'impression', '5', 241123931L, datetime.datetime(2013, 5, 23, 16, 59, 11), 0.0357577744016895, False, 'best']
['jennifer_smiley', 202573740, 'impression', '1', 241124216L, datetime.datetime(2013, 5, 23, 16, 59, 11), 0.0959573207564376, False, 'best']
['jennifer_smiley', 202573740, 'impression', '5', 241123931L, datetime.datetime(2013, 5, 23, 16, 59, 35), 0.0357577744016895, False, 'best']
['jennifer_smiley', 202573740, 'impression', '10', 241124212L, datetime.datetime(2013, 5, 23, 17, 0, 16), 0.00931552196340316, False, 'best']
['jennifer_smiley', 202573740, 'impression', '6', 241123380L, datetime.datetime(2013, 5, 23, 17, 0, 16), 0.0640696743485201, False, 'best']
['jennifer_smiley', 202573740, 'impression', '3', 241124216L, datetime.datetime(2013, 5, 23, 17, 0, 16), 0.0959573207564376, False, 'best']
['jennifer_smiley', 202573740, 'impression', '9', 241123931L, datetime.datetime(2013, 5, 23, 17, 0, 16), 0.0357577744016895, False, 'best']
['jennifer_smiley', 202573740, 'impression', '5', 241124430L, datetime.datetime(2013, 5, 23, 17, 0, 16), 0.0722135217038762, False, 'best']
['jennifer_smiley', 202573740, 'impression', '2', 241124631L, datetime.datetime(2013, 5, 23, 17, 0, 16), 0.132815014234838, False, 'best']
['jennifer_smiley', 202573740, 'impression', '8', 241125008L, datetime.datetime(2013, 5, 23, 17, 0, 16), 0.0476895709633159, False, 'best']
['jennifer_smiley', 202573740, 'impression', '1', 241124844L, datetime.datetime(2013, 5, 23, 17, 0, 16), 0.156581115754182, False, 'best']
['jennifer_smiley', 202573740, 'impression', '7', 241123949L, datetime.datetime(2013, 5, 23, 17, 0, 16), 0.06192318047896, False, 'best']
['jennifer_smiley', 202573740, 'impression', '4', 241124748L, datetime.datetime(2013, 5, 23, 17, 0, 16), 0.0868648325343593, False, 'best']
['jennifer_smiley', 202573740, 'view_full_application_via_name', '4', 241124748L, datetime.datetime(2013, 5, 23, 17, 0, 44), 0.0868648325343593, False, 'best']
['jennifer_smiley', 202573740, 'impression', '9', 241123931L, datetime.datetime(2013, 5, 23, 17, 1, 3), 0.0357577744016895, False, 'best']
['jennifer_smiley', 202573740, 'impression', '3', 241124216L, datetime.datetime(2013, 5, 23, 17, 1, 3), 0.0959573207564376, False, 'best']
['jennifer_smiley', 202573740, 'impression', '5', 241124430L, datetime.datetime(2013, 5, 23, 17, 1, 3), 0.0722135217038762, False, 'best']
['jennifer_smiley', 202573740, 'impression', '10', 241124212L, datetime.datetime(2013, 5, 23, 17, 1, 3), 0.00931552196340316, False, 'best']
['jennifer_smiley', 202573740, 'impression', '7', 241123949L, datetime.datetime(2013, 5, 23, 17, 1, 3), 0.06192318047896, False, 'best']
['jennifer_smiley', 202573740, 'impression', '1', 241124844L, datetime.datetime(2013, 5, 23, 17, 1, 3), 0.156581115754182, False, 'best']
['jennifer_smiley', 202573740, 'impression', '4', 241124748L, datetime.datetime(2013, 5, 23, 17, 1, 3), 0.0868648325343593, False, 'best']
['jennifer_smiley', 202573740, 'impression', '2', 241124631L, datetime.datetime(2013, 5, 23, 17, 1, 3), 0.132815014234838, False, 'best']
['jennifer_smiley', 202573740, 'impression', '8', 241125008L, datetime.datetime(2013, 5, 23, 17, 1, 3), 0.0476895709633159, False, 'best']
['jennifer_smiley', 202573740, 'impression', '6', 241123380L, datetime.datetime(2013, 5, 23, 17, 1, 3), 0.0640696743485201, False, 'best']
['jennifer_smiley', 202573740, 'view_full_application_via_name', '2', 241124631L, datetime.datetime(2013, 5, 23, 17, 1, 11), 0.132815014234838, False, 'best']
['jennifer_smiley', 202573740, 'impression', '14', 241125439L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.0169114947707391, False, 'best']
['jennifer_smiley', 202573740, 'impression', '15', 241124212L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.00931552196340316, False, 'best']
['jennifer_smiley', 202573740, 'impression', '3', 241125128L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.10921900911199, False, 'best']
['jennifer_smiley', 202573740, 'impression', '6', 241125646L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.0865456641014814, False, 'best']
['jennifer_smiley', 202573740, 'impression', '11', 241125008L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.0476895709633159, False, 'best']
['jennifer_smiley', 202573740, 'impression', '4', 241126386L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.103537905301567, False, 'best']
['jennifer_smiley', 202573740, 'impression', '8', 241126820L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.0720141057554287, False, 'best']
['jennifer_smiley', 202573740, 'impression', '10', 241123949L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.06192318047896, False, 'best']
['jennifer_smiley', 202573740, 'impression', '5', 241124748L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.0868648325343593, False, 'best']
['jennifer_smiley', 202573740, 'impression', '1', 241124844L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.156581115754182, False, 'best']
['jennifer_smiley', 202573740, 'impression', '9', 241123380L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.0640696743485201, False, 'best']
['jennifer_smiley', 202573740, 'impression', '13', 241126703L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.028464191804961, False, 'best']
['jennifer_smiley', 202573740, 'impression', '2', 241124631L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.132815014234838, False, 'best']
['jennifer_smiley', 202573740, 'impression', '12', 241123931L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.0357577744016895, False, 'best']
['jennifer_smiley', 202573740, 'impression', '7', 241124430L, datetime.datetime(2013, 5, 23, 17, 30, 43), 0.0722135217038762, False, 'best']
['jennifer_smiley', 202573740, 'impression', '11', 241125008L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.0476895709633159, False, 'best']
['jennifer_smiley', 202573740, 'impression', '13', 241126703L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.028464191804961, False, 'best']
['jennifer_smiley', 202573740, 'impression', '2', 241124631L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.132815014234838, False, 'best']
['jennifer_smiley', 202573740, 'impression', '9', 241123380L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.0640696743485201, False, 'best']
['jennifer_smiley', 202573740, 'impression', '1', 241124844L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.156581115754182, False, 'best']
['jennifer_smiley', 202573740, 'impression', '10', 241123949L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.06192318047896, False, 'best']
['jennifer_smiley', 202573740, 'impression', '4', 241126386L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.103537905301567, False, 'best']
['jennifer_smiley', 202573740, 'impression', '5', 241124748L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.0868648325343593, False, 'best']
['jennifer_smiley', 202573740, 'impression', '8', 241126820L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.0720141057554287, False, 'best']
['jennifer_smiley', 202573740, 'impression', '12', 241123931L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.0357577744016895, False, 'best']
['jennifer_smiley', 202573740, 'impression', '14', 241125439L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.0169114947707391, False, 'best']
['jennifer_smiley', 202573740, 'impression', '6', 241125646L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.0865456641014814, False, 'best']
['jennifer_smiley', 202573740, 'impression', '15', 241124212L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.00931552196340316, False, 'best']
['jennifer_smiley', 202573740, 'impression', '3', 241125128L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.10921900911199, False, 'best']
['jennifer_smiley', 202573740, 'impression', '7', 241124430L, datetime.datetime(2013, 5, 23, 17, 45, 41), 0.0722135217038762, False, 'best']
['jennifer_smiley', 202573740, 'impression', '7', 241124430L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.0722135217038762, False, 'best']
['jennifer_smiley', 202573740, 'impression', '15', 241124212L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.00931552196340316, False, 'best']
['jennifer_smiley', 202573740, 'impression', '6', 241125646L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.0865456641014814, False, 'best']
['jennifer_smiley', 202573740, 'impression', '3', 241125128L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.10921900911199, False, 'best']
['jennifer_smiley', 202573740, 'impression', '9', 241123380L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.0640696743485201, False, 'best']
['jennifer_smiley', 202573740, 'impression', '12', 241123931L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.0357577744016895, False, 'best']
['jennifer_smiley', 202573740, 'impression', '11', 241125008L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.0476895709633159, False, 'best']
['jennifer_smiley', 202573740, 'impression', '14', 241125439L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.0169114947707391, False, 'best']
