['janeyjosh', 202545090, 'impression', '1', 240535220L, datetime.datetime(2013, 5, 16, 11, 33), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '7', 240536578L, datetime.datetime(2013, 5, 16, 11, 33, 10), 0.348313515144908, False, 'best']
['janeyjosh', 202545090, 'view_full_application', '7', 240536578L, datetime.datetime(2013, 5, 16, 11, 33, 18), 0.348313515144908, False, 'best']
['janeyjosh', 202545090, 'impression', '1', 240535220L, datetime.datetime(2013, 5, 16, 11, 34, 34), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'impression', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 34, 34), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'impression', '2', 240535231L, datetime.datetime(2013, 5, 16, 11, 34, 34), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'impression', '5', 240536095L, datetime.datetime(2013, 5, 16, 11, 34, 34), 0.188237446292619, False, 'best']
['janeyjosh', 202545090, 'impression', '6', 240536309L, datetime.datetime(2013, 5, 16, 11, 34, 34), 0.0525926203602796, False, 'best']
['janeyjosh', 202545090, 'impression', '8', 240536703L, datetime.datetime(2013, 5, 16, 11, 34, 34), 0.0663401322472486, False, 'best']
['janeyjosh', 202545090, 'impression', '3', 240535315L, datetime.datetime(2013, 5, 16, 11, 34, 34), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'impression', '7', 240536578L, datetime.datetime(2013, 5, 16, 11, 34, 34), 0.348313515144908, False, 'best']
['janeyjosh', 202545090, 'impression', '9', 240536706L, datetime.datetime(2013, 5, 16, 11, 34, 34), 0.0762078464666087, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '8', 240536703L, datetime.datetime(2013, 5, 16, 11, 34, 41), 0.0663401322472486, False, 'best']
['janeyjosh', 202545090, 'view_full_application', '8', 240536703L, datetime.datetime(2013, 5, 16, 11, 34, 56), 0.0663401322472486, False, 'best']
['janeyjosh', 202545090, 'impression', '3', 240535315L, datetime.datetime(2013, 5, 16, 11, 36, 34), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'impression', '9', 240536706L, datetime.datetime(2013, 5, 16, 11, 36, 34), 0.0762078464666087, False, 'best']
['janeyjosh', 202545090, 'impression', '7', 240536578L, datetime.datetime(2013, 5, 16, 11, 36, 34), 0.348313515144908, False, 'best']
['janeyjosh', 202545090, 'impression', '1', 240535220L, datetime.datetime(2013, 5, 16, 11, 36, 34), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'impression', '5', 240536095L, datetime.datetime(2013, 5, 16, 11, 36, 34), 0.188237446292619, False, 'best']
['janeyjosh', 202545090, 'impression', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 36, 34), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'impression', '2', 240535231L, datetime.datetime(2013, 5, 16, 11, 36, 34), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'impression', '6', 240536309L, datetime.datetime(2013, 5, 16, 11, 36, 34), 0.0525926203602796, False, 'best']
['janeyjosh', 202545090, 'impression', '8', 240536703L, datetime.datetime(2013, 5, 16, 11, 36, 34), 0.0663401322472486, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '9', 240536706L, datetime.datetime(2013, 5, 16, 11, 36, 43), 0.0762078464666087, False, 'best']
['janeyjosh', 202545090, 'collapse_tile', '9', 240536706L, datetime.datetime(2013, 5, 16, 11, 36, 54), 0.0762078464666087, False, 'best']
