['shivam510', 202562536, 'shortlist', '8', 240907498L, datetime.datetime(2013, 5, 21, 9, 33, 26), 0.0274956012491092, False, 'best']
['shivam510', 202562536, 'impression', '7', 240907299L, datetime.datetime(2013, 5, 21, 9, 33, 39), 0.030028139889691, False, 'best']
['shivam510', 202562536, 'shortlist', '7', 240907299L, datetime.datetime(2013, 5, 21, 9, 33, 40), 0.030028139889691, False, 'best']
['shivam510', 202562536, 'shortlist', '9', 240904682L, datetime.datetime(2013, 5, 21, 9, 33, 43), 0.0262409616244011, False, 'best']
['shivam510', 202562536, 'impression', '5', 240904935L, datetime.datetime(2013, 5, 21, 9, 33, 49), 0.0366648389870237, False, 'best']
['shivam510', 202562536, 'shortlist', '5', 240904935L, datetime.datetime(2013, 5, 21, 9, 33, 49), 0.0366648389870237, False, 'best']
['shivam510', 202562536, 'impression', '5', 240904935L, datetime.datetime(2013, 5, 21, 9, 33, 51), 0.0366648389870237, False, 'best']
['shivam510', 202562536, 'impression', None, 240904935L, datetime.datetime(2013, 5, 21, 9, 33, 51), 0.0366648389870237, False, 'best']
['shivam510', 202562536, 'shortlist', '4', 240906457L, datetime.datetime(2013, 5, 21, 9, 33, 56), 0.0368073414149307, False, 'best']
['shivam510', 202562536, 'shortlist', '2', 240905415L, datetime.datetime(2013, 5, 21, 9, 34, 6), 0.0523870130823488, False, 'best']
['shivam510', 202562536, 'shortlist', '1', 240903559L, datetime.datetime(2013, 5, 21, 9, 34, 8), 0.110792048701244, False, 'best']
['shivam510', 202562536, 'impression', None, 240903559L, datetime.datetime(2013, 5, 21, 9, 34, 9), 0.110792048701244, False, 'best']
['shivam510', 202562536, 'impression', '1', 240903559L, datetime.datetime(2013, 5, 21, 9, 34, 9), 0.110792048701244, False, 'best']

['shivam510', 202562536, 'impression', '19', 240914394L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.025922010123333, False, 'best']
['shivam510', 202562536, 'impression', '14', 240904376L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0335936709428745, False, 'best']
