['tuliofelipe', 202556842, 'impression', '6', 240802213L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0094961804802196, False, 'time']
['tuliofelipe', 202556842, 'impression', '13', 240789116L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0449511411787771, False, 'time']
['tuliofelipe', 202556842, 'impression', '14', 240788079L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0342705383638322, False, 'time']
['tuliofelipe', 202556842, 'impression', '1', 240857270L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0437673602813708, False, 'time']
['tuliofelipe', 202556842, 'impression', '17', 240785186L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0234934747488141, False, 'time']
['tuliofelipe', 202556842, 'impression', '8', 240801448L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.00789070024376921, False, 'time']
['tuliofelipe', 202556842, 'impression', '2', 240838280L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0815662412258877, False, 'time']
['tuliofelipe', 202556842, 'impression', '5', 240804908L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0109250281811861, False, 'time']
['tuliofelipe', 202556842, 'impression', '12', 240790991L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.03068484477248, False, 'time']
['tuliofelipe', 202556842, 'impression', '3', 240823125L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0297710651633924, False, 'time']
['tuliofelipe', 202556842, 'impression', '7', 240801502L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.018932214958472, False, 'time']
['tuliofelipe', 202556842, 'impression', '10', 240792162L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0256403490396016, False, 'time']
['tuliofelipe', 202556842, 'impression', '11', 240791652L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0154512372450433, False, 'time']
['tuliofelipe', 202556842, 'impression', '18', 240785098L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0428818516120145, False, 'time']
['tuliofelipe', 202556842, 'impression', '15', 240787492L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0214218178521773, False, 'time']
['tuliofelipe', 202556842, 'impression', '4', 240820188L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0264483027043099, False, 'time']
['tuliofelipe', 202556842, 'impression', '9', 240797540L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0322185032353057, False, 'time']
['tuliofelipe', 202556842, 'impression', '16', 240786798L, datetime.datetime(2013, 5, 21, 0, 59, 6), 0.0310923224069619, False, 'time']
['tuliofelipe', 202556842, 'expand_tile', '1', 240857270L, datetime.datetime(2013, 5, 21, 0, 59, 42), 0.0437673602813708, False, 'time']
['tuliofelipe', 202556842, 'expand_tile', '2', 240838280L, datetime.datetime(2013, 5, 21, 0, 59, 53), 0.0815662412258877, False, 'time']
['tuliofelipe', 202556842, 'impression', '10', 240792162L, datetime.datetime(2013, 5, 21, 1, 0, 5), 0.0256403490396016, False, 'time']
['tuliofelipe', 202556842, 'expand_tile', '10', 240792162L, datetime.datetime(2013, 5, 21, 1, 0, 12), 0.0256403490396016, False, 'time']
['tuliofelipe', 202556842, 'collapse_tile', '10', 240792162L, datetime.datetime(2013, 5, 21, 1, 0, 25), 0.0256403490396016, False, 'time']
