['fossle', 202570515, 'impression', '6', 241060104L, datetime.datetime(2013, 5, 23, 19, 15, 49), 0.0545589741437652, True, 'best']
['fossle', 202570515, 'impression', '2', 241058805L, datetime.datetime(2013, 5, 23, 19, 15, 49), 0.1711451154182, False, 'best']
['fossle', 202570515, 'impression', '5', 241066800L, datetime.datetime(2013, 5, 23, 19, 15, 49), 0.116103682924487, False, 'best']
['fossle', 202570515, 'impression', '1', 241101029L, datetime.datetime(2013, 5, 23, 19, 15, 49), 0.273191225110699, False, 'best']
['fossle', 202570515, 'impression', '7', 241067783L, datetime.datetime(2013, 5, 23, 19, 15, 49), 0.0480921293642825, False, 'best']
['fossle', 202570515, 'impression', '4', 241071275L, datetime.datetime(2013, 5, 23, 19, 15, 49), 0.121716238041119, False, 'best']
['fossle', 202570515, 'impression', '3', 241082604L, datetime.datetime(2013, 5, 23, 19, 15, 49), 0.154076295508849, False, 'best']
['fossle', 202570515, 'view_full_application_via_name', '7', 241067783L, datetime.datetime(2013, 5, 23, 19, 16, 32), 0.0480921293642825, False, 'best']
['fossle', 202570515, 'impression', '3', 241082604L, datetime.datetime(2013, 5, 23, 19, 16, 44), 0.154076295508849, False, 'best']
['fossle', 202570515, 'impression', '7', 241067783L, datetime.datetime(2013, 5, 23, 19, 16, 44), 0.0480921293642825, False, 'best']
['fossle', 202570515, 'impression', '4', 241071275L, datetime.datetime(2013, 5, 23, 19, 16, 44), 0.121716238041119, False, 'best']
['fossle', 202570515, 'impression', '1', 241101029L, datetime.datetime(2013, 5, 23, 19, 16, 44), 0.273191225110699, False, 'best']
['fossle', 202570515, 'impression', '5', 241066800L, datetime.datetime(2013, 5, 23, 19, 16, 44), 0.116103682924487, False, 'best']
['fossle', 202570515, 'impression', '6', 241060104L, datetime.datetime(2013, 5, 23, 19, 16, 44), 0.0545589741437652, True, 'best']
['fossle', 202570515, 'impression', '2', 241058805L, datetime.datetime(2013, 5, 23, 19, 16, 44), 0.1711451154182, False, 'best']
['fossle', 202570515, 'view_full_application_via_name', '6', 241060104L, datetime.datetime(2013, 5, 23, 19, 16, 46), 0.0545589741437652, True, 'best']

['fossle', 202570515, 'impression', '1', 241101029L, datetime.datetime(2013, 5, 24, 12, 38, 11), 0.273191225110699, False, 'best']
['fossle', 202570515, 'impression', '5', 241066800L, datetime.datetime(2013, 5, 24, 12, 38, 11), 0.116103682924487, False, 'best']
['fossle', 202570515, 'impression', '7', 241067783L, datetime.datetime(2013, 5, 24, 12, 38, 11), 0.0480921293642825, False, 'best']
['fossle', 202570515, 'impression', '3', 241082604L, datetime.datetime(2013, 5, 24, 12, 38, 11), 0.154076295508849, False, 'best']
['fossle', 202570515, 'impression', '2', 241058805L, datetime.datetime(2013, 5, 24, 12, 38, 11), 0.1711451154182, False, 'best']
['fossle', 202570515, 'impression', '6', 241060104L, datetime.datetime(2013, 5, 24, 12, 38, 11), 0.0545589741437652, True, 'best']
['fossle', 202570515, 'impression', '4', 241071275L, datetime.datetime(2013, 5, 24, 12, 38, 11), 0.121716238041119, False, 'best']
['fossle', 202570515, 'impression', '7', 241067783L, datetime.datetime(2013, 5, 24, 12, 38, 27), 0.0480921293642825, False, 'best']
['fossle', 202570515, 'impression', '4', 241071275L, datetime.datetime(2013, 5, 24, 12, 38, 27), 0.121716238041119, False, 'best']
['fossle', 202570515, 'impression', '6', 241060104L, datetime.datetime(2013, 5, 24, 12, 38, 27), 0.0545589741437652, True, 'best']
['fossle', 202570515, 'impression', '2', 241058805L, datetime.datetime(2013, 5, 24, 12, 38, 27), 0.1711451154182, False, 'best']
['fossle', 202570515, 'impression', '3', 241082604L, datetime.datetime(2013, 5, 24, 12, 38, 27), 0.154076295508849, False, 'best']
['fossle', 202570515, 'impression', '1', 241101029L, datetime.datetime(2013, 5, 24, 12, 38, 27), 0.273191225110699, False, 'best']
['fossle', 202570515, 'impression', '5', 241066800L, datetime.datetime(2013, 5, 24, 12, 38, 27), 0.116103682924487, False, 'best']
['fossle', 202570515, 'view_full_application_via_name', '5', 241066800L, datetime.datetime(2013, 5, 24, 12, 38, 53), 0.116103682924487, False, 'best']
['fossle', 202570515, 'impression', '2', 241058805L, datetime.datetime(2013, 5, 24, 12, 39, 24), 0.1711451154182, False, 'best']
['fossle', 202570515, 'impression', '7', 241067783L, datetime.datetime(2013, 5, 24, 12, 39, 24), 0.0480921293642825, False, 'best']
['fossle', 202570515, 'impression', '3', 241082604L, datetime.datetime(2013, 5, 24, 12, 39, 24), 0.154076295508849, False, 'best']
['fossle', 202570515, 'impression', '5', 241066800L, datetime.datetime(2013, 5, 24, 12, 39, 24), 0.116103682924487, False, 'best']
['fossle', 202570515, 'impression', '1', 241101029L, datetime.datetime(2013, 5, 24, 12, 39, 24), 0.273191225110699, False, 'best']
['fossle', 202570515, 'impression', '4', 241071275L, datetime.datetime(2013, 5, 24, 12, 39, 24), 0.121716238041119, False, 'best']
['fossle', 202570515, 'impression', '6', 241060104L, datetime.datetime(2013, 5, 24, 12, 39, 24), 0.0545589741437652, True, 'best']
['fossle', 202570515, 'view_full_application_via_name', '4', 241071275L, datetime.datetime(2013, 5, 24, 12, 39, 33), 0.121716238041119, False, 'best']
['fossle', 202570515, 'impression', '6', 241060104L, datetime.datetime(2013, 5, 24, 12, 50, 40), 0.0545589741437652, True, 'best']
