['tapdance', 202553000, 'impression', '1', 240704586L, datetime.datetime(2013, 5, 18, 13, 43, 20), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '2', 240704538L, datetime.datetime(2013, 5, 18, 13, 43, 20), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '2', 240704538L, datetime.datetime(2013, 5, 18, 13, 46, 55), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '1', 240704586L, datetime.datetime(2013, 5, 18, 13, 46, 55), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '5', 240702009L, datetime.datetime(2013, 5, 18, 13, 46, 55), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'impression', '4', 240702947L, datetime.datetime(2013, 5, 18, 13, 46, 55), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'impression', '6', 240701811L, datetime.datetime(2013, 5, 18, 13, 46, 55), 0.00500768807423113, False, 'time']
['tapdance', 202553000, 'impression', '3', 240703353L, datetime.datetime(2013, 5, 18, 13, 46, 55), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'expand_tile', '1', 240704586L, datetime.datetime(2013, 5, 18, 13, 47), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'expand_tile', '2', 240704538L, datetime.datetime(2013, 5, 18, 13, 47, 37), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '3', 240703353L, datetime.datetime(2013, 5, 18, 13, 47, 46), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'expand_tile', '3', 240703353L, datetime.datetime(2013, 5, 18, 13, 47, 47), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'impression', '5', 240702009L, datetime.datetime(2013, 5, 18, 13, 48, 3), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'expand_tile', '4', 240702947L, datetime.datetime(2013, 5, 18, 13, 48, 4), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'expand_tile', '5', 240702009L, datetime.datetime(2013, 5, 18, 13, 48, 30), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'expand_tile', '6', 240701811L, datetime.datetime(2013, 5, 18, 13, 48, 50), 0.00500768807423113, False, 'time']
['tapdance', 202553000, 'view_full_application', '1', 240704586L, datetime.datetime(2013, 5, 18, 13, 50, 3), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '6', 240701811L, datetime.datetime(2013, 5, 18, 13, 54, 35), 0.00500768807423113, False, 'time']
['tapdance', 202553000, 'impression', '3', 240703353L, datetime.datetime(2013, 5, 18, 13, 54, 35), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'impression', '4', 240702947L, datetime.datetime(2013, 5, 18, 13, 54, 35), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'impression', '5', 240702009L, datetime.datetime(2013, 5, 18, 13, 54, 35), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'impression', '2', 240704538L, datetime.datetime(2013, 5, 18, 13, 54, 35), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '1', 240704586L, datetime.datetime(2013, 5, 18, 13, 54, 35), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'expand_tile', '4', 240702947L, datetime.datetime(2013, 5, 18, 13, 54, 50), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'view_full_application', '4', 240702947L, datetime.datetime(2013, 5, 18, 13, 54, 53), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'impression', '4', 240702947L, datetime.datetime(2013, 5, 18, 14, 18, 17), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'impression', '5', 240702009L, datetime.datetime(2013, 5, 18, 14, 18, 17), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'impression', '2', 240704538L, datetime.datetime(2013, 5, 18, 14, 18, 17), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '1', 240704586L, datetime.datetime(2013, 5, 18, 14, 18, 17), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '6', 240701811L, datetime.datetime(2013, 5, 18, 14, 18, 17), 0.00500768807423113, False, 'time']
['tapdance', 202553000, 'impression', '3', 240703353L, datetime.datetime(2013, 5, 18, 14, 18, 17), 0.0150081184850569, False, 'time']

['tapdance', 202553000, 'impression', '4', 240704538L, datetime.datetime(2013, 5, 18, 15, 50, 50), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '2', 240710583L, datetime.datetime(2013, 5, 18, 15, 50, 50), 0.0349111701498908, False, 'time']
['tapdance', 202553000, 'impression', '3', 240704586L, datetime.datetime(2013, 5, 18, 15, 50, 50), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '6', 240702947L, datetime.datetime(2013, 5, 18, 15, 50, 50), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'impression', '5', 240703353L, datetime.datetime(2013, 5, 18, 15, 50, 50), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'impression', '8', 240701811L, datetime.datetime(2013, 5, 18, 15, 50, 50), 0.00500768807423113, False, 'time']
['tapdance', 202553000, 'impression', '1', 240711612L, datetime.datetime(2013, 5, 18, 15, 50, 50), 0.0300467502315945, False, 'time']
['tapdance', 202553000, 'impression', '7', 240702009L, datetime.datetime(2013, 5, 18, 15, 50, 50), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'expand_tile', '1', 240711612L, datetime.datetime(2013, 5, 18, 15, 51, 1), 0.0300467502315945, False, 'time']
