['inkyd', 202587769, 'view_full_application_via_name', '5', 241436217L, datetime.datetime(2013, 5, 27, 23, 43, 9), 0.0733854241471573, False, 'time']
['inkyd', 202587769, 'impression', '6', 241436508L, datetime.datetime(2013, 5, 27, 23, 43, 37), 0.0649307157428897, False, 'time']
['inkyd', 202587769, 'impression', '4', 241436857L, datetime.datetime(2013, 5, 27, 23, 43, 37), 0.0741617407576925, False, 'time']
['inkyd', 202587769, 'impression', '1', 241436531L, datetime.datetime(2013, 5, 27, 23, 43, 37), 0.108730504235418, False, 'time']
['inkyd', 202587769, 'impression', '8', 241436587L, datetime.datetime(2013, 5, 27, 23, 43, 37), 0.0389145511604398, False, 'time']
['inkyd', 202587769, 'impression', '3', 241436539L, datetime.datetime(2013, 5, 27, 23, 43, 37), 0.0782781519974393, False, 'time']
['inkyd', 202587769, 'impression', '5', 241436217L, datetime.datetime(2013, 5, 27, 23, 43, 37), 0.0733854241471573, False, 'time']
['inkyd', 202587769, 'impression', '2', 241436469L, datetime.datetime(2013, 5, 27, 23, 43, 37), 0.0801677658459463, False, 'time']
['inkyd', 202587769, 'impression', '7', 241436549L, datetime.datetime(2013, 5, 27, 23, 43, 37), 0.0495945945327705, False, 'time']
['inkyd', 202587769, 'shortlist', '3', 241436539L, datetime.datetime(2013, 5, 27, 23, 43, 58), 0.0782781519974393, False, 'best']
['inkyd', 202587769, 'view_full_application_via_name', '4', 241436857L, datetime.datetime(2013, 5, 27, 23, 44, 6), 0.0741617407576925, False, 'best']
['inkyd', 202587769, 'impression', '4', 241436857L, datetime.datetime(2013, 5, 27, 23, 44, 12), 0.0741617407576925, False, 'best']
['inkyd', 202587769, 'impression', '7', 241436549L, datetime.datetime(2013, 5, 27, 23, 44, 12), 0.0495945945327705, False, 'best']
['inkyd', 202587769, 'impression', '2', 241436469L, datetime.datetime(2013, 5, 27, 23, 44, 12), 0.0801677658459463, False, 'best']
['inkyd', 202587769, 'impression', '8', 241436587L, datetime.datetime(2013, 5, 27, 23, 44, 12), 0.0389145511604398, False, 'best']
['inkyd', 202587769, 'impression', '3', 241436539L, datetime.datetime(2013, 5, 27, 23, 44, 12), 0.0782781519974393, False, 'best']
['inkyd', 202587769, 'impression', '1', 241436531L, datetime.datetime(2013, 5, 27, 23, 44, 12), 0.108730504235418, False, 'best']
['inkyd', 202587769, 'impression', '5', 241436217L, datetime.datetime(2013, 5, 27, 23, 44, 12), 0.0733854241471573, False, 'best']
['inkyd', 202587769, 'impression', '6', 241436508L, datetime.datetime(2013, 5, 27, 23, 44, 12), 0.0649307157428897, False, 'best']
['inkyd', 202587769, 'hide', '2', 241436469L, datetime.datetime(2013, 5, 27, 23, 44, 19), 0.0801677658459463, False, 'best']
['inkyd', 202587769, 'shortlist', '1', 241436531L, datetime.datetime(2013, 5, 27, 23, 44, 23), 0.108730504235418, False, 'best']
['inkyd', 202587769, 'hide', '4', 241436857L, datetime.datetime(2013, 5, 27, 23, 44, 32), 0.0741617407576925, False, 'best']
['inkyd', 202587769, 'view_full_application_via_name', '6', 241436508L, datetime.datetime(2013, 5, 27, 23, 44, 37), 0.0649307157428897, False, 'best']
['inkyd', 202587769, 'impression', '3', 241436217L, datetime.datetime(2013, 5, 27, 23, 45, 27), 0.0733854241471573, False, 'best']
['inkyd', 202587769, 'impression', '5', 241436549L, datetime.datetime(2013, 5, 27, 23, 45, 27), 0.0495945945327705, False, 'best']
['inkyd', 202587769, 'impression', '6', 241436587L, datetime.datetime(2013, 5, 27, 23, 45, 27), 0.0389145511604398, False, 'best']
['inkyd', 202587769, 'impression', '2', 241436539L, datetime.datetime(2013, 5, 27, 23, 45, 27), 0.0782781519974393, False, 'best']
['inkyd', 202587769, 'impression', '1', 241436531L, datetime.datetime(2013, 5, 27, 23, 45, 27), 0.108730504235418, False, 'best']
['inkyd', 202587769, 'impression', '4', 241436508L, datetime.datetime(2013, 5, 27, 23, 45, 27), 0.0649307157428897, False, 'best']
['inkyd', 202587769, 'impression', '4', 241436508L, datetime.datetime(2013, 5, 27, 23, 46, 2), 0.0649307157428897, False, 'best']
['inkyd', 202587769, 'impression', '2', 241436539L, datetime.datetime(2013, 5, 27, 23, 46, 2), 0.0782781519974393, False, 'best']
['inkyd', 202587769, 'impression', '1', 241436531L, datetime.datetime(2013, 5, 27, 23, 46, 2), 0.108730504235418, False, 'best']
['inkyd', 202587769, 'impression', '6', 241436587L, datetime.datetime(2013, 5, 27, 23, 46, 2), 0.0389145511604398, False, 'best']
['inkyd', 202587769, 'impression', '5', 241436549L, datetime.datetime(2013, 5, 27, 23, 46, 2), 0.0495945945327705, False, 'best']
['inkyd', 202587769, 'impression', '3', 241436217L, datetime.datetime(2013, 5, 27, 23, 46, 2), 0.0733854241471573, False, 'best']
['inkyd', 202587769, 'view_full_application_via_name', '5', 241436549L, datetime.datetime(2013, 5, 27, 23, 46, 8), 0.0495945945327705, False, 'best']
['inkyd', 202587769, 'impression', '5', 241436549L, datetime.datetime(2013, 5, 27, 23, 51, 9), 0.0495945945327705, False, 'best']
['inkyd', 202587769, 'impression', '4', 241436508L, datetime.datetime(2013, 5, 27, 23, 51, 9), 0.0649307157428897, False, 'best']
['inkyd', 202587769, 'impression', '2', 241436539L, datetime.datetime(2013, 5, 27, 23, 51, 9), 0.0782781519974393, False, 'best']
['inkyd', 202587769, 'impression', '1', 241436531L, datetime.datetime(2013, 5, 27, 23, 51, 9), 0.108730504235418, False, 'best']
['inkyd', 202587769, 'impression', '6', 241436587L, datetime.datetime(2013, 5, 27, 23, 51, 9), 0.0389145511604398, False, 'best']
['inkyd', 202587769, 'impression', '3', 241436217L, datetime.datetime(2013, 5, 27, 23, 51, 9), 0.0733854241471573, False, 'best']
['inkyd', 202587769, 'impression', '6', 241436587L, datetime.datetime(2013, 5, 27, 23, 51, 25), 0.0389145511604398, False, 'best']
['inkyd', 202587769, 'impression', '1', 241436531L, datetime.datetime(2013, 5, 27, 23, 51, 25), 0.108730504235418, False, 'best']
['inkyd', 202587769, 'impression', '2', 241436539L, datetime.datetime(2013, 5, 27, 23, 51, 25), 0.0782781519974393, False, 'best']
['inkyd', 202587769, 'impression', '4', 241436508L, datetime.datetime(2013, 5, 27, 23, 51, 25), 0.0649307157428897, False, 'best']
['inkyd', 202587769, 'impression', '3', 241436217L, datetime.datetime(2013, 5, 27, 23, 51, 25), 0.0733854241471573, False, 'best']
['inkyd', 202587769, 'impression', '5', 241436549L, datetime.datetime(2013, 5, 27, 23, 51, 25), 0.0495945945327705, False, 'best']
['inkyd', 202587769, 'expand_tile', '1', 241436531L, datetime.datetime(2013, 5, 27, 23, 51, 54), 0.108730504235418, False, 'best']
['inkyd', 202587769, 'impression', '4', 241436508L, datetime.datetime(2013, 5, 27, 23, 52, 4), 0.0649307157428897, False, 'best']
