['michaelkeith2377', 202555954, 'impression', '5', 240769869L, datetime.datetime(2013, 5, 19, 17, 37, 18), 0.266665067266068, False, 'time']
['michaelkeith2377', 202555954, 'impression', '9', 240769084L, datetime.datetime(2013, 5, 19, 17, 37, 18), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'impression', '1', 240770465L, datetime.datetime(2013, 5, 19, 17, 37, 18), 0.125682648260064, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '1', 240770465L, datetime.datetime(2013, 5, 19, 17, 37, 22), 0.125682648260064, False, 'time']
['michaelkeith2377', 202555954, 'view_full_application', '1', 240770465L, datetime.datetime(2013, 5, 19, 17, 37, 33), 0.125682648260064, False, 'time']
['michaelkeith2377', 202555954, 'impression', '1', 240770465L, datetime.datetime(2013, 5, 19, 17, 43, 34), 0.125682648260064, False, 'time']
['michaelkeith2377', 202555954, 'impression', '6', 240769714L, datetime.datetime(2013, 5, 19, 17, 43, 34), 0.0866418640371846, False, 'time']
['michaelkeith2377', 202555954, 'impression', '5', 240769869L, datetime.datetime(2013, 5, 19, 17, 43, 34), 0.266665067266068, False, 'time']
['michaelkeith2377', 202555954, 'impression', '2', 240770127L, datetime.datetime(2013, 5, 19, 17, 43, 34), 0.185085961031889, False, 'time']
['michaelkeith2377', 202555954, 'impression', '8', 240769259L, datetime.datetime(2013, 5, 19, 17, 43, 34), 0.068922172943741, False, 'time']
['michaelkeith2377', 202555954, 'impression', '9', 240769084L, datetime.datetime(2013, 5, 19, 17, 43, 34), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'impression', '3', 240770066L, datetime.datetime(2013, 5, 19, 17, 43, 34), 0.070422384189465, False, 'time']
['michaelkeith2377', 202555954, 'impression', '4', 240769895L, datetime.datetime(2013, 5, 19, 17, 43, 34), 0.173864487041743, False, 'time']
['michaelkeith2377', 202555954, 'impression', '7', 240769529L, datetime.datetime(2013, 5, 19, 17, 43, 34), 0.133746963764407, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '6', 240769714L, datetime.datetime(2013, 5, 19, 17, 43, 52), 0.0866418640371846, False, 'time']
['michaelkeith2377', 202555954, 'view_full_application', '6', 240769714L, datetime.datetime(2013, 5, 19, 17, 43, 57), 0.0866418640371846, False, 'time']
['michaelkeith2377', 202555954, 'impression', '9', 240769084L, datetime.datetime(2013, 5, 19, 17, 44, 23), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'impression', '1', 240770465L, datetime.datetime(2013, 5, 19, 17, 44, 23), 0.125682648260064, False, 'time']
['michaelkeith2377', 202555954, 'impression', '5', 240769869L, datetime.datetime(2013, 5, 19, 17, 44, 23), 0.266665067266068, False, 'time']
['michaelkeith2377', 202555954, 'impression', '6', 240769714L, datetime.datetime(2013, 5, 19, 17, 44, 23), 0.0866418640371846, False, 'time']
['michaelkeith2377', 202555954, 'impression', '8', 240769259L, datetime.datetime(2013, 5, 19, 17, 44, 23), 0.068922172943741, False, 'time']
['michaelkeith2377', 202555954, 'impression', '2', 240770127L, datetime.datetime(2013, 5, 19, 17, 44, 23), 0.185085961031889, False, 'time']
['michaelkeith2377', 202555954, 'impression', '4', 240769895L, datetime.datetime(2013, 5, 19, 17, 44, 23), 0.173864487041743, False, 'time']
['michaelkeith2377', 202555954, 'impression', '7', 240769529L, datetime.datetime(2013, 5, 19, 17, 44, 23), 0.133746963764407, False, 'time']
['michaelkeith2377', 202555954, 'impression', '3', 240770066L, datetime.datetime(2013, 5, 19, 17, 44, 23), 0.070422384189465, False, 'time']
['michaelkeith2377', 202555954, 'impression', '1', 240771397L, datetime.datetime(2013, 5, 19, 17, 50, 25), 0.113976874551145, False, 'time']
['michaelkeith2377', 202555954, 'impression', '3', 240770465L, datetime.datetime(2013, 5, 19, 17, 50, 25), 0.125682648260064, False, 'time']
['michaelkeith2377', 202555954, 'impression', '9', 240769529L, datetime.datetime(2013, 5, 19, 17, 50, 25), 0.133746963764407, False, 'time']
['michaelkeith2377', 202555954, 'impression', '6', 240769895L, datetime.datetime(2013, 5, 19, 17, 50, 25), 0.173864487041743, False, 'time']
['michaelkeith2377', 202555954, 'impression', '5', 240770066L, datetime.datetime(2013, 5, 19, 17, 50, 25), 0.070422384189465, False, 'time']
['michaelkeith2377', 202555954, 'impression', '7', 240769869L, datetime.datetime(2013, 5, 19, 17, 50, 25), 0.266665067266068, False, 'time']
['michaelkeith2377', 202555954, 'impression', '8', 240769714L, datetime.datetime(2013, 5, 19, 17, 50, 25), 0.0866418640371846, False, 'time']
['michaelkeith2377', 202555954, 'impression', '2', 240771305L, datetime.datetime(2013, 5, 19, 17, 50, 25), 0.148420573645807, False, 'time']
['michaelkeith2377', 202555954, 'impression', '10', 240769259L, datetime.datetime(2013, 5, 19, 17, 50, 25), 0.068922172943741, False, 'time']
['michaelkeith2377', 202555954, 'impression', '4', 240770127L, datetime.datetime(2013, 5, 19, 17, 50, 25), 0.185085961031889, False, 'time']
['michaelkeith2377', 202555954, 'impression', '11', 240769084L, datetime.datetime(2013, 5, 19, 17, 50, 25), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '2', 240771305L, datetime.datetime(2013, 5, 19, 17, 50, 33), 0.148420573645807, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '1', 240771397L, datetime.datetime(2013, 5, 19, 17, 50, 49), 0.113976874551145, False, 'time']
['michaelkeith2377', 202555954, 'view_full_application', '1', 240771397L, datetime.datetime(2013, 5, 19, 17, 50, 53), 0.113976874551145, False, 'time']
['michaelkeith2377', 202555954, 'impression', '7', 240769869L, datetime.datetime(2013, 5, 19, 17, 59, 36), 0.266665067266068, False, 'time']
['michaelkeith2377', 202555954, 'impression', '8', 240769714L, datetime.datetime(2013, 5, 19, 17, 59, 36), 0.0866418640371846, False, 'time']
['michaelkeith2377', 202555954, 'impression', '1', 240771397L, datetime.datetime(2013, 5, 19, 17, 59, 36), 0.113976874551145, False, 'time']
['michaelkeith2377', 202555954, 'impression', '3', 240770465L, datetime.datetime(2013, 5, 19, 17, 59, 36), 0.125682648260064, False, 'time']
['michaelkeith2377', 202555954, 'impression', '11', 240769084L, datetime.datetime(2013, 5, 19, 17, 59, 36), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'impression', '2', 240771305L, datetime.datetime(2013, 5, 19, 17, 59, 36), 0.148420573645807, False, 'time']
['michaelkeith2377', 202555954, 'impression', '6', 240769895L, datetime.datetime(2013, 5, 19, 17, 59, 36), 0.173864487041743, False, 'time']
['michaelkeith2377', 202555954, 'impression', '5', 240770066L, datetime.datetime(2013, 5, 19, 17, 59, 36), 0.070422384189465, False, 'time']
['michaelkeith2377', 202555954, 'impression', '9', 240769529L, datetime.datetime(2013, 5, 19, 17, 59, 36), 0.133746963764407, False, 'time']
