['gbakiris', 202554987, 'impression', '2', 240747077L, datetime.datetime(2013, 5, 19, 8, 52, 24), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'impression', '1', 240747471L, datetime.datetime(2013, 5, 19, 9, 10, 47), 0.514727518110891, True, 'time']
['gbakiris', 202554987, 'impression', '2', 240747077L, datetime.datetime(2013, 5, 19, 9, 10, 47), 0.13438366459716, False, 'time']

['gbakiris', 202554987, 'impression', '3', 240747471L, datetime.datetime(2013, 5, 19, 12, 24, 11), 0.514727518110891, True, 'time']
['gbakiris', 202554987, 'impression', '1', 240752030L, datetime.datetime(2013, 5, 19, 12, 24, 11), 0.0423669899518999, False, 'time']
['gbakiris', 202554987, 'impression', '2', 240751160L, datetime.datetime(2013, 5, 19, 12, 24, 11), 0.0415105597437846, False, 'time']
['gbakiris', 202554987, 'impression', '4', 240747077L, datetime.datetime(2013, 5, 19, 12, 24, 11), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'expand_tile', '2', 240751160L, datetime.datetime(2013, 5, 19, 12, 41, 59), 0.0415105597437846, False, 'time']
['gbakiris', 202554987, 'send_message', '2', 240751160L, datetime.datetime(2013, 5, 19, 12, 42, 5), 0.0415105597437846, False, 'time']
['gbakiris', 202554987, 'expand_tile', '2', 240751160L, datetime.datetime(2013, 5, 19, 12, 43, 29), 0.0415105597437846, False, 'time']
['gbakiris', 202554987, 'expand_tile', '1', 240752030L, datetime.datetime(2013, 5, 19, 12, 43, 30), 0.0423669899518999, False, 'time']
['gbakiris', 202554987, 'view_full_application', '1', 240752030L, datetime.datetime(2013, 5, 19, 12, 43, 59), 0.0423669899518999, False, 'time']
['gbakiris', 202554987, 'impression', '4', 240747077L, datetime.datetime(2013, 5, 19, 13, 8, 10), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'impression', '2', 240751160L, datetime.datetime(2013, 5, 19, 13, 8, 10), 0.0415105597437846, False, 'time']
['gbakiris', 202554987, 'impression', '3', 240747471L, datetime.datetime(2013, 5, 19, 13, 8, 10), 0.514727518110891, True, 'time']
['gbakiris', 202554987, 'impression', '1', 240752030L, datetime.datetime(2013, 5, 19, 13, 8, 10), 0.0423669899518999, False, 'time']
['gbakiris', 202554987, 'expand_tile', '4', 240747077L, datetime.datetime(2013, 5, 19, 13, 8, 14), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'send_message', '4', 240747077L, datetime.datetime(2013, 5, 19, 13, 8, 18), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'expand_tile', '4', 240747077L, datetime.datetime(2013, 5, 19, 13, 10, 52), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'send_message', '4', 240747077L, datetime.datetime(2013, 5, 19, 13, 10, 56), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'view_full_application_via_name', '4', 240747077L, datetime.datetime(2013, 5, 19, 13, 11, 17), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'impression', '2', 240751160L, datetime.datetime(2013, 5, 19, 13, 16), 0.0415105597437846, False, 'time']
['gbakiris', 202554987, 'impression', '3', 240747471L, datetime.datetime(2013, 5, 19, 13, 16), 0.514727518110891, True, 'time']
['gbakiris', 202554987, 'impression', '1', 240752030L, datetime.datetime(2013, 5, 19, 13, 16), 0.0423669899518999, False, 'time']
['gbakiris', 202554987, 'impression', '4', 240747077L, datetime.datetime(2013, 5, 19, 13, 16), 0.13438366459716, False, 'time']

['gbakiris', 202554987, 'impression', '2', 240751160L, datetime.datetime(2013, 5, 19, 15, 2, 51), 0.0415105597437846, False, 'time']
['gbakiris', 202554987, 'impression', '3', 240747471L, datetime.datetime(2013, 5, 19, 15, 2, 51), 0.514727518110891, True, 'time']
['gbakiris', 202554987, 'impression', '4', 240747077L, datetime.datetime(2013, 5, 19, 15, 2, 51), 0.13438366459716, False, 'time']
