['mac_robert', 202543846, 'impression', '7', 240509684L, datetime.datetime(2013, 5, 16, 6, 25, 26), 0.132748991556483, False, 'time']
['mac_robert', 202543846, 'view_full_application_via_name', '1', 240515445L, datetime.datetime(2013, 5, 16, 6, 25, 34), 0.114308716692427, False, 'time']
['mac_robert', 202543846, 'impression', '3', 240514204L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.100636590956172, False, 'time']
['mac_robert', 202543846, 'impression', '12', 240506614L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.0441730382277663, False, 'time']
['mac_robert', 202543846, 'impression', '6', 240511989L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.124440610966244, False, 'time']
['mac_robert', 202543846, 'impression', '14', 240504508L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.028175207244427, False, 'time']
['mac_robert', 202543846, 'impression', '2', 240515445L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.114308716692427, False, 'time']
['mac_robert', 202543846, 'impression', '9', 240508910L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.151909407694782, False, 'time']
['mac_robert', 202543846, 'impression', '15', 240504236L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.16933290875929, False, 'time']
['mac_robert', 202543846, 'impression', '16', 240503626L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.129877450695625, False, 'time']
['mac_robert', 202543846, 'impression', '8', 240509684L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.132748991556483, False, 'time']
['mac_robert', 202543846, 'impression', '5', 240512619L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.0685706261104107, False, 'time']
['mac_robert', 202543846, 'impression', '1', 240516084L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.0521930609288032, False, 'time']
['mac_robert', 202543846, 'impression', '13', 240505001L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.166707665904704, False, 'time']
['mac_robert', 202543846, 'impression', '11', 240507286L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.0756358215536915, False, 'time']
['mac_robert', 202543846, 'impression', '7', 240511399L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.12952151412443, False, 'time']
['mac_robert', 202543846, 'impression', '10', 240508725L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.124555151324847, False, 'time']
['mac_robert', 202543846, 'impression', '4', 240513707L, datetime.datetime(2013, 5, 16, 6, 34, 34), 0.0871087497241858, False, 'time']

['mac_robert', 202543846, 'impression', '9', 240511989L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.124440610966244, False, 'time']
['mac_robert', 202543846, 'impression', '6', 240514204L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.100636590956172, False, 'time']
['mac_robert', 202543846, 'impression', '3', 240517970L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.104074238898249, False, 'time']
['mac_robert', 202543846, 'impression', '15', 240506614L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.0441730382277663, False, 'time']
['mac_robert', 202543846, 'impression', '2', 240518149L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.115557972695321, False, 'time']
['mac_robert', 202543846, 'impression', '17', 240504508L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.028175207244427, False, 'time']
['mac_robert', 202543846, 'impression', '5', 240515445L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.114308716692427, False, 'time']
['mac_robert', 202543846, 'impression', '4', 240516084L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.0521930609288032, False, 'time']
['mac_robert', 202543846, 'impression', '14', 240507286L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.0756358215536915, False, 'time']
['mac_robert', 202543846, 'impression', '16', 240505001L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.166707665904704, False, 'time']
['mac_robert', 202543846, 'impression', '8', 240512619L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.0685706261104107, False, 'time']
['mac_robert', 202543846, 'impression', '1', 240518545L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.160438965421995, False, 'time']
