['timo', 202569017, 'impression', '14', 241036680L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.0460753082159697, False, 'time']
['timo', 202569017, 'impression', '8', 241041298L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.0248564817306643, False, 'time']
['timo', 202569017, 'impression', '11', 241039689L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.0185871643889895, False, 'time']
['timo', 202569017, 'impression', '18', 241035729L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.0244476703203698, False, 'time']
['timo', 202569017, 'impression', '5', 241041688L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.0274864247017594, False, 'time']
['timo', 202569017, 'impression', '12', 241039169L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.0239151051594864, False, 'time']
['timo', 202569017, 'impression', '19', 241035627L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.0325904190546358, False, 'time']
['timo', 202569017, 'impression', '17', 241035743L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.0690982483583507, False, 'time']
['timo', 202569017, 'impression', '6', 241041348L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.0186862964130407, False, 'time']
['timo', 202569017, 'impression', '4', 241041932L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.0182036047496294, False, 'time']
['timo', 202569017, 'impression', '20', 241035566L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.330425546194292, True, 'time']
['timo', 202569017, 'impression', '3', 241041992L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.0279109972598734, False, 'time']
['timo', 202569017, 'impression', '16', 241036501L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.0187723470571949, False, 'time']
['timo', 202569017, 'impression', '7', 241041310L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.096695633037071, False, 'time']
['timo', 202569017, 'impression', '13', 241038351L, datetime.datetime(2013, 5, 22, 19, 58, 56), 0.0263446189652785, False, 'time']
['timo', 202569017, 'view_full_application_via_name', '9', 241041052L, datetime.datetime(2013, 5, 22, 19, 59, 23), 0.102080528862134, False, 'time']

['timo', 202569017, 'impression', '2', 241099747L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0260134916460676, False, 'time']
['timo', 202569017, 'impression', '16', 241041992L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0279109972598734, False, 'time']
['timo', 202569017, 'impression', '6', 241066880L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0424625453814699, False, 'time']
['timo', 202569017, 'impression', '9', 241054998L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0386193300272816, False, 'time']
['timo', 202569017, 'impression', '1', 241102575L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0120029098302854, False, 'time']
['timo', 202569017, 'impression', '11', 241053056L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.07158586308292, False, 'time']
['timo', 202569017, 'impression', '12', 241049506L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0379225363611339, False, 'time']
['timo', 202569017, 'impression', '13', 241049425L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0349947189923918, False, 'time']
